city_name,type,cluster_name
Abohar,city,Abohar
Abohar,cluster,Alamgarh
Abohar,cluster,Army Cantt
Abohar,cluster,Azimgarh
Abohar,cluster,Daulat Pura
Abohar,cluster,Hanumangarh
Abohar,cluster,Idhar Basti
Abohar,cluster,Kothi Faij
Abohar,cluster,Mena Bazzar
Abohar,cluster,Nai Abadi
Abohar,cluster,Panj Peer Nagar
Abohar,cluster,Patel Nagar
Abohar,cluster,Roshan Lal Jain Nagar
Abohar,cluster,Shiv Shakya Nagar
Adilabad,city,Adilabad
Adilabad,cluster,Bhuktapur Central
Adilabad,cluster,Chilukuri Lakshminagar
Adilabad,cluster,Dasnapur
Adilabad,cluster,Gandi Nagar
Adilabad,cluster,Iskcon Adilabad
Adilabad,cluster,Khanapur
Adilabad,cluster,RTA Adilabad
Adilabad,cluster,TSHB
Adoni,city,Adoni
Adoor,city,Adoor
Agar,city,Agar
Agar,cluster,Agar Malwa Bus Station
Agar,cluster,Ayodhya Basti
Agar,cluster,Bada Gawali Pura
Agar,cluster,Chhawani
Agar,cluster,Mali Khedi
Agar,cluster,Moti Sagar Talab
Agar,cluster,Pal
Agar,cluster,Ram Malipura
Agartala,city,agartala
Agartala,cluster,Abhay Nagar
Agartala,cluster,Agartala Railway Station
Agartala,cluster,Airport Agartala
Agartala,cluster,Ambedkar Palli
Agartala,cluster,Ananda Nagar
Agartala,cluster,Bardowali
Agartala,cluster,Battala
Agartala,cluster,Champamura
Agartala,cluster,Charipara
Agartala,cluster,City Centre
Agartala,cluster,Dhaleswar
Agartala,cluster,East Indra Nagar
Agartala,cluster,Gurkha Basti
Agartala,cluster,Jirania
Agartala,cluster,Jogendranagar
Agartala,cluster,Joy Nagar
Agartala,cluster,Khumulwng
Agartala,cluster,Kobrakhamar
Agartala,cluster,Krishna Nagar
Agartala,cluster,Laxmi Lunga
Agartala,cluster,Madhuban
Agartala,cluster,Madhuban 2
Agartala,cluster,Madhupur
Agartala,cluster,Medical College
Agartala,cluster,Milan Chakra
Agartala,cluster,NIT Agartala
Agartala,cluster,Nagicherra
Agartala,cluster,Purba Noabadi
Agartala,cluster,Radha Krishna Nagar
Agartala,cluster,Radhamohanpur
Agartala,cluster,Ram Nagar
Agartala,cluster,Ramchandra Nagar
Agartala,cluster,Ramnagar Part
Agartala,cluster,Ranir Bazar
Agartala,cluster,Sipai Para
Agartala,cluster,Tripura Institute Of Technology
Agartala,cluster,Tripura Medical College
Agartala,cluster,Uttar Champamura
Agra,city,agra
Agra,cluster,AGRA Cant
Agra,cluster,Abhay pura
Agra,cluster,Achhnera
Agra,cluster,Agra Cant Railway Station
Agra,cluster,Agra Cantt Railway Station
Agra,cluster,Agra fort
Agra,cluster,Bain bazar
Agra,cluster,Bamrauli
Agra,cluster,Barauli Gujar
Agra,cluster,Basai
Agra,cluster,Bichpuri
Agra,cluster,Dayalbagh
Agra,cluster,Dehtora
Agra,cluster,Digner
Agra,cluster,Etmadpur
Agra,cluster,Fatehabad
Agra,cluster,Fatehpur Sikri
Agra,cluster,Gamri
Agra,cluster,Gautam Nagar
Agra,cluster,Idgah Bus Stand
Agra,cluster,Idgah Railway Station
Agra,cluster,Inner Ring Road
Agra,cluster,Itora
Agra,cluster,Jaipuria
Agra,cluster,KAMLA NAGAR
Agra,cluster,Kala Kunj
Agra,cluster,Kala kheria
Agra,cluster,Kalndi vihar
Agra,cluster,Keetham
Agra,cluster,Khandari
Agra,cluster,Khandauli
Agra,cluster,Kherai
Agra,cluster,Kheria airport
Agra,cluster,Kuberpur
Agra,cluster,Kundol
Agra,cluster,Lohamndi
Agra,cluster,MG Road
Agra,cluster,Madhu Nagar
Agra,cluster,Maharishi puram colony
Agra,cluster,Midhakur
Agra,cluster,Mohanpura
Agra,cluster,Mohpal Bangar
Agra,cluster,Naripura
Agra,cluster,Nehru nagar
Agra,cluster,Panwari
Agra,cluster,Paschimpuri
Agra,cluster,Patholi
Agra,cluster,Poiya
Agra,cluster,Rambagh
Agra,cluster,Ratan pura
Agra,cluster,Rhota
Agra,cluster,Sadar Bazar
Agra,cluster,Sahaganj
Agra,cluster,Sanik Nagar
Agra,cluster,Sewla
Agra,cluster,TATA gate
Agra,cluster,Taj mahal
Agra,cluster,Tedi bagiya
Agra,cluster,Tundla
Agra,cluster,Yamuna Exp
Agra,cluster,central jail and ISBT
Agra,cluster,industrial area
Agra,cluster,poiya ghat
Ahmedabad,city,ahmedabad
Ahmedabad,cluster,AHMD_IYAVA
Ahmedabad,cluster,AHMD_Kalokl_Borishana
Ahmedabad,cluster,AHMD_Kalol_Aayojannagar
Ahmedabad,cluster,AHMD_Kalol_Court
Ahmedabad,cluster,AHMD_Kalol_Kalyanpura
Ahmedabad,cluster,AHMD_Kalol_Pratppura
Ahmedabad,cluster,AHMD_Sanad_Kaneti2
Ahmedabad,cluster,AHMD_Sanand
Ahmedabad,cluster,AHMD_Sanand_Bol
Ahmedabad,cluster,AHMD_Sanand_Chharodi
Ahmedabad,cluster,AHMD_Sanand_Gibpura
Ahmedabad,cluster,AHMD_Sanand_Godhavi
Ahmedabad,cluster,AHMD_Sanand_Gokuldham
Ahmedabad,cluster,AHMD_Sanand_Jivanpura
Ahmedabad,cluster,AHMD_Sanand_Kaneti
Ahmedabad,cluster,AHMD_Sanand_Kolat
Ahmedabad,cluster,AHMD_Sanand_MuniAshram
Ahmedabad,cluster,AHMD_Sanand_Nidhraad
Ahmedabad,cluster,AHMD_Sanand_Telav
Ahmedabad,cluster,AHMD_Sanand_Vadnagar
Ahmedabad,cluster,AHMD_Shantipura
Ahmedabad,cluster,Adalaj
Ahmedabad,cluster,Adani Shantigram
Ahmedabad,cluster,Ahmedabad Cantonment
Ahmedabad,cluster,Ahmedabad Railway station
Ahmedabad,cluster,Ahmedabad airport
Ahmedabad,cluster,Ambapur
Ahmedabad,cluster,Ambavadi
Ahmedabad,cluster,Ambli iskcon
Ahmedabad,cluster,Amraiwadi
Ahmedabad,cluster,Asarwa
Ahmedabad,cluster,Ashram road
Ahmedabad,cluster,BSF headquarters
Ahmedabad,cluster,Bakrol Badrabad
Ahmedabad,cluster,Bapunagar
Ahmedabad,cluster,Bavla
Ahmedabad,cluster,Behrampura
Ahmedabad,cluster,Bhaijipura
Ahmedabad,cluster,Bhat gaam
Ahmedabad,cluster,Bhimjipura
Ahmedabad,cluster,Bodakdev
Ahmedabad,cluster,Borij
Ahmedabad,cluster,Chandkheda
Ahmedabad,cluster,Chandlodia
Ahmedabad,cluster,Changodar
Ahmedabad,cluster,Chhipakuva
Ahmedabad,cluster,Chiloda
Ahmedabad,cluster,D cabin
Ahmedabad,cluster,Danilimda
Ahmedabad,cluster,Dariapur
Ahmedabad,cluster,Delhi Darwaja
Ahmedabad,cluster,Dholakuva
Ahmedabad,cluster,GIDC Vatva
Ahmedabad,cluster,Geeta Mandir
Ahmedabad,cluster,Ghatlodia
Ahmedabad,cluster,Ghodasar
Ahmedabad,cluster,Gift city
Ahmedabad,cluster,Godrej grden city
Ahmedabad,cluster,Gomtipur
Ahmedabad,cluster,Gyaspur
Ahmedabad,cluster,Hansol
Ahmedabad,cluster,Hathijan
Ahmedabad,cluster,Hatkeshwar
Ahmedabad,cluster,IIT ganhinagar
Ahmedabad,cluster,Indroda
Ahmedabad,cluster,Infocity
Ahmedabad,cluster,Isanpur
Ahmedabad,cluster,Jamalpur
Ahmedabad,cluster,Jashoda Nagar
Ahmedabad,cluster,Jaspur
Ahmedabad,cluster,Juhapura
Ahmedabad,cluster,Kaligam
Ahmedabad,cluster,Kalupur
Ahmedabad,cluster,Kankaria
Ahmedabad,cluster,Kathwada
Ahmedabad,cluster,Khodiyar
Ahmedabad,cluster,Khokhra
Ahmedabad,cluster,Khoraj
Ahmedabad,cluster,Koba
Ahmedabad,cluster,Krishnanagar
Ahmedabad,cluster,Kudasan
Ahmedabad,cluster,Lal Darwaja
Ahmedabad,cluster,Lambha
Ahmedabad,cluster,Lavarpur
Ahmedabad,cluster,Maninagar
Ahmedabad,cluster,Matoda
