StartDate,city,link_lifetime_stage,,,,coin_credited,coin_expired,coin_burn,subs_coin_credited,subs_coin_expired,subs_coin_burn,coin_uitilized,subs_coin_uitilized
31/10/22,bangalore,0.NEW,44,Bangalore,0.NEW,172076,8398,163678,0,0,0,25258,0
31/10/22,bangalore,1.HANDHOLDING,44,Bangalore,1.HANDHOLDING,39173,550183,-511010,0,0,0,23976,100
31/10/22,bangalore,2.HOOK,44,Bangalore,2.HOOK,8166,5970,2196,40,0,40,5835,400
31/10/22,bangalore,3.DETOX,44,Bangalore,3.DETOX,3707,1461,2246,100,0,100,2512,460
31/10/22,bangalore,4.SUSTENANCE,44,Bangalore,4.SUSTENANCE,3705,2617,1088,0,0,0,2508,10
31/10/22,bangalore,5.COMMITTED,44,Bangalore,5.COMMITTED,7901,2129,5772,34,0,34,5903,690
31/10/22,bangalore,6.CHURN_OTB,44,Bangalore,6.CHURN_OTB,2912,4086,-1174,64,0,64,2181,160
31/10/22,bangalore,7.SOFT_CHURN,44,Bangalore,7.SOFT_CHURN,1597,2408,-811,0,0,0,1225,50
31/10/22,bangalore,8.DORMANT,44,Bangalore,8.DORMANT,26271,43285,-17014,96,0,96,10592,51
31/10/22,bangalore,9.INACTIVE,44,Bangalore,9.INACTIVE,72030,465341,-393311,0,0,0,47099,0
31/10/22,chandigarh,0.NEW,44,Chandigarh,0.NEW,33534,100,33434,0,0,0,8546,0
31/10/22,chandigarh,1.HANDHOLDING,44,Chandigarh,1.HANDHOLDING,15814,36634,-20820,0,0,0,12977,80
31/10/22,chandigarh,2.HOOK,44,Chandigarh,2.HOOK,4849,13307,-8458,0,0,0,5701,105
31/10/22,chandigarh,3.DETOX,44,Chandigarh,3.DETOX,5467,5564,-97,20,0,20,6786,267
31/10/22,chandigarh,4.SUSTENANCE,44,Chandigarh,4.SUSTENANCE,715,515,200,0,0,0,324,8
31/10/22,chandigarh,5.COMMITTED,44,Chandigarh,5.COMMITTED,5620,1807,3813,20,0,20,6113,138
31/10/22,chandigarh,6.CHURN_OTB,44,Chandigarh,6.CHURN_OTB,2150,1781,369,0,0,0,1970,47
31/10/22,chandigarh,7.SOFT_CHURN,44,Chandigarh,7.SOFT_CHURN,956,166,790,0,0,0,529,0
31/10/22,chandigarh,8.DORMANT,44,Chandigarh,8.DORMANT,20547,2039,18508,0,0,0,6526,76
31/10/22,chandigarh,9.INACTIVE,44,Chandigarh,9.INACTIVE,20896,1802,19094,0,0,0,5004,0
31/10/22,chennai,0.NEW,44,Chennai,0.NEW,73206,150,73056,0,0,0,16741,0
31/10/22,chennai,1.HANDHOLDING,44,Chennai,1.HANDHOLDING,47549,166773,-119224,0,0,0,31087,50
31/10/22,chennai,2.HOOK,44,Chennai,2.HOOK,8036,32666,-24630,27,0,27,7247,87
31/10/22,chennai,3.DETOX,44,Chennai,3.DETOX,2110,8281,-6171,226,0,226,2755,357
31/10/22,chennai,4.SUSTENANCE,44,Chennai,4.SUSTENANCE,1737,1832,-95,0,0,0,1293,6
31/10/22,chennai,5.COMMITTED,44,Chennai,5.COMMITTED,4324,992,3332,195,0,195,3369,346
31/10/22,chennai,6.CHURN_OTB,44,Chennai,6.CHURN_OTB,1555,2511,-956,0,0,0,1186,95
31/10/22,chennai,7.SOFT_CHURN,44,Chennai,7.SOFT_CHURN,1172,1226,-54,0,0,0,683,5
31/10/22,chennai,8.DORMANT,44,Chennai,8.DORMANT,41383,6188,35195,0,0,0,9416,78
31/10/22,chennai,9.INACTIVE,44,Chennai,9.INACTIVE,76140,11574,64566,0,0,0,16492,0
31/10/22,delhi,0.NEW,44,Delhi,0.NEW,141901,408,141493,0,0,0,42315,0
31/10/22,delhi,1.HANDHOLDING,44,Delhi,1.HANDHOLDING,78597,202738.35,-124141.35,4,0,4,56526.4,307.75
31/10/22,delhi,2.HOOK,44,Delhi,2.HOOK,15163,47138,-31975,89,0,89,16736,432
31/10/22,delhi,3.DETOX,44,Delhi,3.DETOX,10060,13875,-3815,1232,0,1232,13573.99,2450
31/10/22,delhi,4.SUSTENANCE,44,Delhi,4.SUSTENANCE,3064,1598,1466,0,0,0,1777,20
31/10/22,delhi,5.COMMITTED,44,Delhi,5.COMMITTED,10267,15591,-5324,62,0,62,13277.6,857
31/10/22,delhi,6.CHURN_OTB,44,Delhi,6.CHURN_OTB,5770,6739,-969,70,0,70,6629,514
31/10/22,delhi,7.SOFT_CHURN,44,Delhi,7.SOFT_CHURN,4149,1188,2961,0,0,0,2463,85
31/10/22,delhi,8.DORMANT,44,Delhi,8.DORMANT,122294,10039,112255,102,0,102,37986,597
31/10/22,delhi,9.INACTIVE,44,Delhi,9.INACTIVE,128941,10445,118496,0,0,0,35741.26,35
31/10/22,hyderabad,0.NEW,44,Hyderabad,0.NEW,34278,580,33698,0,0,0,12349,0
31/10/22,hyderabad,1.HANDHOLDING,44,Hyderabad,1.HANDHOLDING,41590,23753,17837,0,0,0,24766,190
31/10/22,hyderabad,2.HOOK,44,Hyderabad,2.HOOK,120934,16937,103997,120,0,120,55451,1303
31/10/22,hyderabad,3.DETOX,44,Hyderabad,3.DETOX,17551,1906,15645,443,0,443,13770,2162
31/10/22,hyderabad,4.SUSTENANCE,44,Hyderabad,4.SUSTENANCE,27963,3879,24084,20,0,20,14410,231
31/10/22,hyderabad,5.COMMITTED,44,Hyderabad,5.COMMITTED,41837,2899,38938,217,0,217,33226,1206
31/10/22,hyderabad,6.CHURN_OTB,44,Hyderabad,6.CHURN_OTB,13628,2913,10715,46,0,46,8431,367
31/10/22,hyderabad,7.SOFT_CHURN,44,Hyderabad,7.SOFT_CHURN,13364,3249,10115,0,0,0,5498,95
31/10/22,hyderabad,8.DORMANT,44,Hyderabad,8.DORMANT,140527,40832,99695,37,0,37,44378,353
31/10/22,hyderabad,9.INACTIVE,44,Hyderabad,9.INACTIVE,194950,93244,101706,0,0,0,57279.16,0
31/10/22,indore,0.NEW,44,Indore,0.NEW,36771,0,36771,0,0,0,9689,0
31/10/22,indore,1.HANDHOLDING,44,Indore,1.HANDHOLDING,21379,31323,-9944,0,0,0,12745,0
31/10/22,indore,2.HOOK,44,Indore,2.HOOK,3293,5857,-2564,0,0,0,3275,7
31/10/22,indore,3.DETOX,44,Indore,3.DETOX,996,1656,-660,0,0,0,1488,0
31/10/22,indore,4.SUSTENANCE,44,Indore,4.SUSTENANCE,530,474,56,0,0,0,241,0
31/10/22,indore,5.COMMITTED,44,Indore,5.COMMITTED,1261,201,1060,0,0,0,1394,0
31/10/22,indore,6.CHURN_OTB,44,Indore,6.CHURN_OTB,709,612,97,0,0,0,901,0
31/10/22,indore,7.SOFT_CHURN,44,Indore,7.SOFT_CHURN,602,316,286,0,0,0,551,0
31/10/22,indore,8.DORMANT,44,Indore,8.DORMANT,16882,4009,12873,0,0,0,5664,0
31/10/22,indore,9.INACTIVE,44,Indore,9.INACTIVE,28287,4019,24268,0,0,0,7554,0
31/10/22,jaipur,0.NEW,44,Jaipur,0.NEW,66390,400,65990,0,0,0,14200,0
31/10/22,jaipur,1.HANDHOLDING,44,Jaipur,1.HANDHOLDING,17575,49393,-31818,0,0,0,13778,108
31/10/22,jaipur,2.HOOK,44,Jaipur,2.HOOK,32995,19965,13030,20,0,20,23673,240
