order_week,pickup_cluster,cluster_orders,cluster_net_customers,income_segment,ps_tag_link,ps_tag_auto,segment_level_orders,segment_level_orders%,segment_level_customers,segment_level_customers%
13/03/23,Hitech City,70906,43087,HIGH_INCOME,NPS,NPS,5489,7.74,2801,6.5
13/03/23,Hitech City,70906,43087,HIGH_INCOME,NPS,PS,3595,5.07,1854,4.3
13/03/23,Hitech City,70906,43087,HIGH_INCOME,NPS,UNKNOWN,4973,7.01,2890,6.71
13/03/23,Hitech City,70906,43087,HIGH_INCOME,PS,NPS,2297,3.24,1387,3.22
13/03/23,Hitech City,70906,43087,HIGH_INCOME,PS,PS,1420,2,877,2.04
13/03/23,Hitech City,70906,43087,HIGH_INCOME,PS,UNKNOWN,2562,3.61,1627,3.78
13/03/23,Hitech City,70906,43087,HIGH_INCOME,UNKNOWN,NPS,985,1.39,698,1.62
13/03/23,Hitech City,70906,43087,HIGH_INCOME,UNKNOWN,PS,613,0.86,440,1.02
13/03/23,Hitech City,70906,43087,HIGH_INCOME,UNKNOWN,UNKNOWN,12613,17.79,8138,18.89
13/03/23,Hitech City,70906,43087,LOW_INCOME,NPS,NPS,6432,9.07,3334,7.74
13/03/23,Hitech City,70906,43087,LOW_INCOME,NPS,PS,3712,5.24,1937,4.5
13/03/23,Hitech City,70906,43087,LOW_INCOME,NPS,UNKNOWN,6721,9.48,3950,9.17
13/03/23,Hitech City,70906,43087,LOW_INCOME,PS,NPS,2587,3.65,1587,3.68
13/03/23,Hitech City,70906,43087,LOW_INCOME,PS,PS,1508,2.13,906,2.1
13/03/23,Hitech City,70906,43087,LOW_INCOME,PS,UNKNOWN,3373,4.76,2245,5.21
13/03/23,Hitech City,70906,43087,LOW_INCOME,UNKNOWN,NPS,1006,1.42,750,1.74
13/03/23,Hitech City,70906,43087,LOW_INCOME,UNKNOWN,PS,529,0.75,435,1.01
13/03/23,Hitech City,70906,43087,LOW_INCOME,UNKNOWN,UNKNOWN,2865,4.04,2533,5.88
13/03/23,Hitech City,70906,43087,UNKNOWN,NPS,NPS,1260,1.78,638,1.48
13/03/23,Hitech City,70906,43087,UNKNOWN,NPS,PS,748,1.05,397,0.92
13/03/23,Hitech City,70906,43087,UNKNOWN,NPS,UNKNOWN,1304,1.84,748,1.74
13/03/23,Hitech City,70906,43087,UNKNOWN,PS,NPS,505,0.71,313,0.73
13/03/23,Hitech City,70906,43087,UNKNOWN,PS,PS,358,0.5,209,0.49
13/03/23,Hitech City,70906,43087,UNKNOWN,PS,UNKNOWN,672,0.95,431,1
13/03/23,Hitech City,70906,43087,UNKNOWN,UNKNOWN,NPS,185,0.26,134,0.31
13/03/23,Hitech City,70906,43087,UNKNOWN,UNKNOWN,PS,144,0.2,103,0.24
13/03/23,Hitech City,70906,43087,UNKNOWN,UNKNOWN,UNKNOWN,2450,3.46,1725,4
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,NPS,NPS,1755,6.2,1171,5.61
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,NPS,PS,1154,4.08,773,3.7
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,NPS,UNKNOWN,871,3.08,608,2.91
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,PS,NPS,812,2.87,575,2.76
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,PS,PS,523,1.85,357,1.71
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,PS,UNKNOWN,411,1.45,322,1.54
