month,ltr_auto,recency_auto,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,1-4,1. LAST_30_DAYS,1327552,8.17,948658,71.46,863136,65.02,524933,39.54,60.82,350502,26.4,66.77,12.41,739939,9.94,2.11,1806696.0,97322462.0,1.8564018653782104,2.4416823548968227
2022-11-01,1-4,2. 31_90_DAYS,1943050,11.96,976288,50.25,853745,43.94,396681,20.42,46.46,224151,11.54,56.51,7.94,367451,4.94,1.64,1066526.0,49593223.0,2.150547868203686,2.9024985644344414
2022-11-01,1-4,3. 91_180_DAYS,2025002,12.47,743120,36.7,633413,31.28,236729,11.69,37.37,123835,6.12,52.31,4.38,188135,2.53,1.52,528617.0,25885582.0,2.0421290894676427,2.809774895686608
2022-11-01,1-4,4. 181_365_DAYS,1703400,10.49,442450,25.97,378422,22.22,115685,6.79,30.57,59621,3.5,51.54,2.11,88316,1.19,1.48,289012.0,12090954.0,2.39031593371375,3.2724761085194074
2022-11-01,1-4,5. 365_ABOVE,964260,5.94,185610,19.25,158382,16.43,40007,4.15,25.26,19936,2.07,49.83,0.71,29106,0.39,1.46,124239.0,4011536.0,3.097043127619944,4.268501339929911
2022-11-01,5-20,1. LAST_30_DAYS,1125295,6.93,984211,87.46,946163,84.08,747121,66.39,78.96,578130,51.38,77.38,20.47,1703746,22.89,2.95,3003395.0,216819747.0,1.385203627232348,1.7628185187228613
2022-11-01,21-50,1. LAST_30_DAYS,343603,2.12,323243,94.07,317488,92.4,289579,84.28,91.21,250913,73.02,86.65,8.88,1199068,16.11,4.78,1921922.0,145386457.0,1.3219401859418034,1.6028465441492892
2022-11-01,50+,1. LAST_30_DAYS,144279,0.89,138988,96.33,137646,95.4,133083,92.24,96.68,124399,86.22,93.47,4.4,1179697,15.85,9.48,2075370.0,129184303.0,1.6065187114877262,1.759239872611357
2022-11-01,>=5,2. 31_90_DAYS,1001031,6.16,686698,68.6,635777,63.51,405101,40.47,63.72,263628,26.34,65.08,9.33,533527,7.17,2.02,1031215.0,69798345.0,1.4774204173465717,1.932826267461628
2022-11-01,>=5,3. 91_180_DAYS,605406,3.73,287354,47.46,256026,42.29,127665,21.09,49.86,73995,12.22,57.96,2.62,126642,1.7,1.71,233289.0,17009865.0,1.3714923663415317,1.8421139906192259
2022-11-01,>=5,4. 181_365_DAYS,323614,1.99,95474,29.5,83608,25.84,33194,10.26,39.7,18207,5.63,54.85,0.64,29777,0.4,1.64,65928.0,3998813.0,1.6486892485345026,2.2140578298686906
2022-11-01,>=5,5. 365_ABOVE,105430,0.65,19327,18.33,16691,15.83,5202,4.93,31.17,2751,2.61,52.88,0.1,4560,0.06,1.66,13521.0,625340.0,2.162183772028017,2.9651315789473682
2022-11-01,LTR=0,LTR=0,4630078,28.51,1364430,29.47,1145807,24.75,423297,9.14,36.94,209424,4.52,49.47,7.41,346424,4.65,1.65,2662284.0,47132791.0,5.648475177292174,7.685044916056624
2022-11-01,NEW,NEW,0,0.0,5483579,0.0,4411222,0.0,936359,0.0,21.23,525069,0.0,56.08,18.59,907936,12.2,1.73,7988465.0,119915121.0,6.661766200444396,8.798489100553343
2022-11-01,TOTAL,,16242000,100.0,12679430,78.07,10837526,66.73,4414636,27.18,40.73,2824561,17.39,63.98,100.0,7444324,100.0,2.6,22810479.0,938774539.0,2.4298144072269094,3.064143769132026
2022-10-01,1-4,1. LAST_30_DAYS,1444300,9.58,1045530,72.39,969386,67.12,626504,43.38,64.63,408419,28.28,65.19,13.69,848711,11.22,2.08,2178986.0,115449243.0,1.887397390730401,2.567406337375149
2022-10-01,1-4,2. 31_90_DAYS,1922552,12.76,1017718,52.94,907810,47.22,457071,23.77,50.35,245645,12.78,53.74,8.23,395441,5.23,1.61,1194690.0,55485017.0,2.1531758744887832,3.021158655779244
