month,ltr_link,recency_link,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,1-4,1. LAST_30_DAYS,1626810,5.51,995351,61.18,874207,53.74,564284,34.69,64.55,444709,27.34,78.81,9.39,1109346,7.01,2.49,4068936.0,67603337.0,6.018838981276915,3.6678691769745417
2022-11-01,1-4,2. 31_90_DAYS,2179150,7.38,895202,41.08,747989,34.32,386166,17.72,51.63,274720,12.61,71.14,5.8,509782,3.22,1.86,1976467.0,32533742.0,6.075129630031491,3.877082753019918
2022-11-01,1-4,3. 91_180_DAYS,2431872,8.24,644844,26.52,525925,21.63,238860,9.82,45.42,163474,6.72,68.44,3.45,285568,1.8,1.75,1185069.0,18551946.0,6.387842008595756,4.149866231510534
2022-11-01,1-4,4. 181_365_DAYS,2457042,8.33,396332,16.13,325644,13.25,142020,5.78,43.61,96116,3.91,67.68,2.03,166831,1.05,1.74,757076.0,10900794.0,6.945145463715762,4.537981550191511
2022-11-01,1-4,5. 365_ABOVE,5624523,19.06,330354,5.87,273938,4.87,126984,2.26,46.36,86843,1.54,68.39,1.83,159592,1.01,1.84,781669.0,10457284.0,7.4748758855549875,4.897920948418467
2022-11-01,5-20,1. LAST_30_DAYS,1664552,5.64,1318511,79.21,1237035,74.32,974575,58.55,78.78,842625,50.62,86.46,17.8,2894488,18.29,3.44,8051290.0,167132592.0,4.817306967871353,2.7815938431943747
2022-11-01,21-50,1. LAST_30_DAYS,764409,2.59,663818,86.84,638351,83.51,556229,72.77,87.14,507172,66.35,91.18,10.71,2585594,16.33,5.1,7500019.0,142460075.0,5.2646462526430655,2.900694772651855
2022-11-01,50+,1. LAST_30_DAYS,557823,1.89,510730,91.56,498465,89.36,461385,82.71,92.56,436312,78.22,94.57,9.22,4171131,26.35,9.56,15509721.0,220412976.0,7.036664211638792,3.718349052091627
2022-11-01,>=5,2. 31_90_DAYS,2023875,6.86,1159941,57.31,1036667,51.22,678742,33.54,65.47,538497,26.61,79.34,11.38,1234319,7.8,2.29,3527919.0,74484671.0,4.736436306471703,2.8581906298128765
2022-11-01,>=5,3. 91_180_DAYS,1478038,5.01,544903,36.87,466152,31.54,262373,17.75,56.28,196057,13.26,74.72,4.14,390181,2.47,1.99,1171660.0,24145067.0,4.852585416308846,3.002862773943375
2022-11-01,>=5,4. 181_365_DAYS,1178015,3.99,251970,21.39,212084,18.0,110963,9.42,52.32,80219,6.81,72.29,1.69,153869,0.97,1.92,511836.0,9717249.0,5.267293243180246,3.326440023656487
2022-11-01,>=5,5. 365_ABOVE,2601417,8.82,196528,7.55,164722,6.33,84068,3.23,51.04,59274,2.28,70.51,1.25,121028,0.76,2.04,455228.0,7728414.0,5.8903159173408675,3.7613444822685658
2022-11-01,LTR=0,LTR=0,4923004,16.68,999674,20.31,838822,17.04,347507,7.06,41.43,203974,4.14,58.7,4.31,417023,2.63,2.04,3217662.0,27437207.0,11.727367147829588,7.715790256172921
2022-11-01,NEW,NEW,0,0.0,3798474,0.0,3058986,0.0,1177209,0.0,38.48,803817,0.0,68.28,16.98,1630051,10.3,2.03,13512532.0,105074768.0,12.859920851788129,8.289637563487277
2022-11-01,TOTAL,,29510530,100.0,12706632,43.06,10898987,36.93,6111365,20.71,56.07,4733809,16.04,77.46,100.0,15828803,100.0,3.3,62227084.0,918640122.0,6.7738260619973225,3.9312564569790904
2022-10-01,1-4,1. LAST_30_DAYS,1651497,5.85,1062265,64.32,948541,57.44,613671,37.16,64.7,473173,28.65,77.11,10.13,1108204,7.74,2.34,4190628.0,69015507.0,6.072009294954539,3.781459009352069
2022-10-01,1-4,2. 31_90_DAYS,2109155,7.47,888755,42.14,753157,35.71,381930,18.11,50.71,260992,12.37,68.34,5.59,455101,3.18,1.74,1823711.0,30073885.0,6.064101794630125,4.007266518860648
2022-10-01,1-4,3. 91_180_DAYS,2303551,8.16,633867,27.52,527108,22.88,235515,10.22,44.68,153754,6.67,65.28,3.29,252478,1.76,1.64,1096692.0,16920140.0,6.481577575599256,4.343713115598191
2022-10-01,1-4,4. 181_365_DAYS,2164498,7.67,358934,16.58,301305,13.92,131967,6.1,43.8,84992,3.93,64.4,1.82,141003,0.99,1.66,661182.0,9525445.0,6.941219019163934,4.689134273738857
2022-10-01,1-4,5. 365_ABOVE,5492237,19.46,339452,6.18,287273,5.23,130760,2.38,45.52,85331,1.55,65.26,1.83,149774,1.05,1.76,737190.0,9970166.0,7.393959137691389,4.9220158371947065
2022-10-01,5-20,1. LAST_30_DAYS,1695321,6.01,1364740,80.5,1293819,76.32,1016082,59.93,78.53,866019,51.08,85.23,18.54,2772698,19.37,3.2,7441086.0,164152361.0,4.533036232113652,2.683698693474731
2022-10-01,21-50,1. LAST_30_DAYS,758614,2.69,664039,87.53,642657,84.71,557719,73.52,86.78,502621,66.26,90.12,10.76,2356014,16.46,4.69,6753901.0,133039298.0,5.076621044708158,2.866664204881635
2022-10-01,50+,1. LAST_30_DAYS,536110,1.9,492577,91.88,482650,90.03,444986,83.0,92.2,417371,77.85,93.79,8.93,3574932,24.98,8.57,13245109.0,194141763.0,6.8223903993289685,3.7049960670580586
2022-10-01,>=5,2. 31_90_DAYS,1876918,6.65,1083000,57.7,976628,52.03,625411,33.32,64.04,475295,25.32,76.0,10.17,994066,6.95,2.09,2744251.0,61932647.0,4.431024884177807,2.7606325938116787
2022-10-01,>=5,3. 91_180_DAYS,1349466,4.78,513215,38.03,445795,33.03,246566,18.27,55.31,176029,13.04,71.39,3.77,324661,2.27,1.84,963455.0,20680265.0,4.658813608046125,2.967572329291168
2022-10-01,>=5,4. 181_365_DAYS,1051011,3.72,231632,22.04,199007,18.93,103704,9.87,52.11,71432,6.8,68.88,1.53,128960,0.9,1.81,427103.0,8322565.0,5.131867399053056,3.3119029156327544
2022-10-01,>=5,5. 365_ABOVE,2552115,9.04,203135,7.96,174271,6.83,86827,3.4,49.82,58148,2.28,66.97,1.24,112446,0.79,1.93,421600.0,7307026.0,5.769789241204288,3.7493552460736708
2022-10-01,LTR=0,LTR=0,4676858,16.57,993031,21.23,854221,18.26,359857,7.69,42.13,204399,4.37,56.8,4.37,388532,2.71,1.9,2963346.0,26414005.0,11.218843942825028,7.627032007659601
2022-10-01,NEW,NEW,0,0.0,3977756,0.0,3340820,0.0,1266258,0.0,37.9,842638,0.0,66.55,18.04,1552841,10.85,1.84,13306031.0,100915501.0,13.185319270227872,8.568830292348025
2022-10-01,TOTAL,,28217351,100.0,12806398,45.38,11227252,39.79,6201253,21.98,55.23,4672194,16.56,75.34,100.0,14311710,100.0,3.1,56775285.0,852410574.0,6.6605561605808985,3.9670511071004095
2022-09-01,1-4,1. LAST_30_DAYS,1642301,6.09,1047277,63.77,925256,56.34,601090,36.6,64.96,480008,29.23,79.86,10.52,1202587,8.0,2.51,5222698.0,73278959.0,7.127145460677191,4.342885795372808
2022-09-01,1-4,2. 31_90_DAYS,2127715,7.9,864891,40.65,719026,33.79,366917,17.24,51.03,262708,12.35,71.6,5.76,482735,3.21,1.84,2208773.0,31269240.0,7.063724606034556,4.575539374605115
2022-09-01,1-4,3. 91_180_DAYS,2072596,7.69,554664,26.76,452855,21.85,205607,9.92,45.4,142671,6.88,69.39,3.13,247187,1.64,1.73,1249967.0,16264962.0,7.685028713869728,5.056766739351179
2022-09-01,1-4,4. 181_365_DAYS,1931183,7.17,305808,15.84,254025,13.15,114891,5.95,45.23,78552,4.07,68.37,1.72,138769,0.92,1.77,731182.0,9241566.0,7.9118841979811645,5.269058651427913
2022-09-01,1-4,5. 365_ABOVE,5379504,19.96,329247,6.12,278097,5.17,128935,2.4,46.36,89637,1.67,69.52,1.96,168323,1.12,1.88,924223.0,11074306.0,8.345651637222232,5.490770720578887
2022-09-01,5-20,1. LAST_30_DAYS,1645938,6.11,1316550,79.99,1237858,75.21,971870,59.05,78.51,845487,51.37,87.0,18.52,2940730,19.55,3.48,10268410.0,170180051.0,6.033850583344813,3.4917894536390626
2022-09-01,21-50,1. LAST_30_DAYS,721276,2.68,628782,87.18,605129,83.9,526172,72.95,86.95,481242,66.72,91.46,10.54,2487988,16.54,5.17,9193251.0,137760145.0,6.673374944545826,3.695054397368476
2022-09-01,50+,1. LAST_30_DAYS,498325,1.85,456247,91.56,445159,89.33,410932,82.46,92.31,388445,77.95,94.53,8.51,3610905,24.01,9.3,15241693.0,193936982.0,7.859095693259783,4.221017445764981
2022-09-01,>=5,2. 31_90_DAYS,1810699,6.72,1020455,56.36,905189,49.99,581365,32.11,64.23,457438,25.26,78.68,10.02,1014459,6.74,2.22,3678153.0,62438856.0,5.8908078008347875,3.625728590312669
2022-09-01,>=5,3. 91_180_DAYS,1192290,4.42,443236,37.18,379312,31.81,211133,17.71,55.66,157356,13.2,74.53,3.45,307853,2.05,1.96,1164385.0,19232267.0,6.0543304645261005,3.78227595638178
2022-09-01,>=5,4. 181_365_DAYS,947532,3.52,201613,21.28,171277,18.08,90976,9.6,53.12,65584,6.92,72.09,1.44,128185,0.85,1.95,532865.0,8216539.0,6.485273178889554,4.156999648944884
2022-09-01,>=5,5. 365_ABOVE,2518751,9.35,203297,8.07,173915,6.9,88276,3.5,50.76,62757,2.49,71.09,1.37,131165,0.87,2.09,552239.0,8422871.0,6.556422388518119,4.210261883886708
2022-09-01,LTR=0,LTR=0,4461355,16.55,921708,20.66,788335,17.67,333118,7.47,42.26,200914,4.5,60.31,4.4,421312,2.8,2.1,3284793.0,27611841.0,11.896320133090727,7.796580681300319
2022-09-01,NEW,NEW,0,0.0,3834563,0.0,3251630,0.0,1231685,0.0,37.88,851478,0.0,69.13,18.66,1758444,11.69,2.07,14610573.0,111635485.0,13.087749831516385,8.308807673147395
2022-09-01,TOTAL,,26949465,100.0,12128338,45.0,10587063,39.28,5862967,21.76,55.38,4564277,16.94,77.85,100.0,15040642,100.0,3.3,68863205.0,880564070.0,7.82035144813483,4.578475107645006
