month,ltr_taxi,recency_taxi,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,1-4,1. LAST_30_DAYS,1978327,5.93,1166841,58.98,1011483,51.13,776717,39.26,76.79,594115,30.03,76.49,9.25,1523841,6.55,2.56,5991290.0,132895068.0,4.508286191629023,3.9317028482630407
2022-11-01,1-4,2. 31_90_DAYS,2608528,7.82,911649,34.95,735516,28.2,495795,19.01,67.41,337484,12.94,68.07,5.25,640089,2.75,1.9,2883590.0,57573495.0,5.00853734865323,4.504982900815356
2022-11-01,1-4,3. 91_180_DAYS,2792799,8.37,581630,20.83,452774,16.21,283531,10.15,62.62,186981,6.7,65.95,2.91,334908,1.44,1.79,1651142.0,29651735.0,5.56844987316931,4.930136037359514
2022-11-01,1-4,4. 181_365_DAYS,2693290,8.07,319080,11.85,253924,9.43,154311,5.73,60.77,102815,3.82,66.63,1.6,185466,0.8,1.8,1009692.0,15661300.0,6.447051011091033,5.444081394972663
2022-11-01,1-4,5. 365_ABOVE,5563172,16.67,251994,4.53,206416,3.71,129942,2.34,62.95,89463,1.61,68.85,1.39,174145,0.75,1.95,991528.0,14160973.0,7.001835255246938,5.693692038243992
2022-11-01,5-20,1. LAST_30_DAYS,2373880,7.11,1871742,78.85,1755207,73.94,1518823,63.98,86.53,1275245,53.72,83.96,19.85,4388148,18.85,3.44,11955704.0,368578291.0,3.243735263832997,2.724544386378946
2022-11-01,21-50,1. LAST_30_DAYS,1185961,3.55,1035439,87.31,997882,84.14,920278,77.6,92.22,826267,69.67,89.78,12.86,4183185,17.97,5.06,10565616.0,331217957.0,3.1899284977474816,2.5257348168919136
2022-11-01,50+,1. LAST_30_DAYS,857265,2.57,788777,92.01,771280,89.97,739804,86.3,95.92,697404,81.35,94.27,10.86,6734903,28.94,9.66,20541632.0,476624198.0,4.309817270335066,3.050026407210319
2022-11-01,>=5,2. 31_90_DAYS,2607108,7.81,1419098,54.43,1258340,48.27,965330,37.03,76.71,731424,28.05,75.77,11.39,1719034,7.39,2.35,5028414.0,143145707.0,3.512794134999801,2.9251393515195163
2022-11-01,>=5,3. 91_180_DAYS,1758563,5.27,564331,32.09,473789,26.94,328081,18.66,69.25,234198,13.32,71.38,3.65,480368,2.06,2.05,1565787.0,39039097.0,4.0108176682467835,3.259557256103654
2022-11-01,>=5,4. 181_365_DAYS,1310170,3.93,224523,17.14,186271,14.22,121450,9.27,65.2,85459,6.52,70.37,1.33,170953,0.73,2.0,651068.0,13394339.0,4.860769911826183,3.8084619749287816
2022-11-01,>=5,5. 365_ABOVE,2533335,7.59,147256,5.81,122457,4.83,81188,3.2,66.3,57903,2.29,71.32,0.9,127143,0.55,2.2,569543.0,9855594.0,5.778880501773917,4.479546652194773
