month,ltr_auto,recency_auto,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,LTR 2,1. LAST_30_DAYS,343104,2.11,251188,73.21,230164,67.08,142965,41.67,62.11,96541,28.14,67.53,3.42,198071,2.66,2.05,501979.0,26099391.0,1.923336065580994,2.5343386967299604
2022-11-01,LTR 4,1. LAST_30_DAYS,199479,1.23,161343,80.88,151904,76.15,105878,53.08,69.7,75625,37.91,71.43,2.68,174536,2.34,2.31,357407.0,22742989.0,1.5715040797847635,2.047755190906174
2022-11-01,LTR 1,1. LAST_30_DAYS,532455,3.28,340322,63.92,298490,56.06,154653,29.05,51.81,93205,17.5,60.27,3.3,179315,2.41,1.92,522415.0,23878310.0,2.1878223375104855,2.913392633075872
2022-11-01,LTR 3,1. LAST_30_DAYS,252514,1.55,195805,77.54,182578,72.3,121437,48.09,66.51,85131,33.71,70.1,3.01,188017,2.53,2.21,424895.0,24601772.0,1.727091040433998,2.259875436795609
2022-11-01,LTR 1-4,2. 31_45_DAYS,544116,3.35,313127,57.55,277917,51.08,139445,25.63,50.18,81305,14.94,58.31,2.88,137983,1.85,1.7,401075.0,18413257.0,2.178186075391225,2.906698651283129
2022-11-01,LTR 1-4,3. 46_60_DAYS,499117,3.07,255008,51.09,223293,44.74,104415,20.92,46.76,59376,11.9,56.87,2.1,97192,1.31,1.64,286754.0,13219602.0,2.1691575888593317,2.950386863116306
2022-11-01,LTR 1-4,4. 61_90_DAYS,899817,5.54,408153,45.36,352535,39.18,152821,16.98,43.35,83470,9.28,54.62,2.96,132276,1.78,1.58,378697.0,17960364.0,2.1085151726323588,2.862930539175663
2022-11-01,LTR 1-4,5. 91_180_DAYS,2025002,12.47,743120,36.7,633413,31.28,236729,11.69,37.37,123835,6.12,52.31,4.38,188135,2.53,1.52,528617.0,25885582.0,2.0421290894676427,2.809774895686608
2022-11-01,LTR 1-4,6. 181_365_DAYS,1703400,10.49,442450,25.97,378422,22.22,115685,6.79,30.57,59621,3.5,51.54,2.11,88316,1.19,1.48,289012.0,12090954.0,2.39031593371375,3.2724761085194074
2022-11-01,LTR 1-4,7. 365_ABOVE,964260,5.94,185610,19.25,158382,16.43,40007,4.15,25.26,19936,2.07,49.83,0.71,29106,0.39,1.46,124239.0,4011536.0,3.097043127619944,4.268501339929911
2022-11-01,LTR 5-20,1. LAST_30_DAYS,1125295,6.93,984211,87.46,946163,84.08,747121,66.39,78.96,578130,51.38,77.38,20.47,1703746,22.89,2.95,3003395.0,216819747.0,1.385203627232348,1.7628185187228613
2022-11-01,LTR 21-50,1. LAST_30_DAYS,343603,2.12,323243,94.07,317488,92.4,289579,84.28,91.21,250913,73.02,86.65,8.88,1199068,16.11,4.78,1921922.0,145386457.0,1.3219401859418034,1.6028465441492892
2022-11-01,LTR 50+,1. LAST_30_DAYS,144279,0.89,138988,96.33,137646,95.4,133083,92.24,96.68,124399,86.22,93.47,4.4,1179697,15.85,9.48,2075370.0,129184303.0,1.6065187114877262,1.759239872611357
2022-11-01,LTR >=5,2. 31_45_DAYS,353160,2.17,267795,75.83,251649,71.26,173326,49.08,68.88,117878,33.38,68.01,4.17,258398,3.47,2.19,495440.0,33386523.0,1.4839520725174047,1.9173523014884015
2022-11-01,LTR >=5,3. 46_60_DAYS,253521,1.56,176227,69.51,163191,64.37,103399,40.79,63.36,67002,26.43,64.8,2.37,131423,1.77,1.96,261875.0,17297998.0,1.5139035164647376,1.9926116433196626
2022-11-01,LTR >=5,4. 61_90_DAYS,394350,2.43,242676,61.54,220937,56.03,128376,32.55,58.11,78748,19.97,61.34,2.79,143706,1.93,1.82,273900.0,19113824.0,1.4329942558851645,1.9059746983424493
2022-11-01,LTR >=5,5. 91_180_DAYS,605406,3.73,287354,47.46,256026,42.29,127665,21.09,49.86,73995,12.22,57.96,2.62,126642,1.7,1.71,233289.0,17009865.0,1.3714923663415317,1.8421139906192259
2022-11-01,LTR >=5,6. 181_365_DAYS,323614,1.99,95474,29.5,83608,25.84,33194,10.26,39.7,18207,5.63,54.85,0.64,29777,0.4,1.64,65928.0,3998813.0,1.6486892485345026,2.2140578298686906
2022-11-01,LTR >=5,7. 365_ABOVE,105430,0.65,19327,18.33,16691,15.83,5202,4.93,31.17,2751,2.61,52.88,0.1,4560,0.06,1.66,13521.0,625340.0,2.162183772028017,2.9651315789473682
2022-11-01,LTR =0,LTR=0,4630078,28.51,1364430,29.47,1145807,24.75,423297,9.14,36.94,209424,4.52,49.47,7.41,346424,4.65,1.65,2662284.0,47132791.0,5.648475177292174,7.685044916056624
2022-11-01,TOTAL,,16242000,100.0,12679430,78.07,10837526,66.73,4414636,27.18,40.73,2824561,17.39,63.98,100.0,7444324,100.0,2.6,22810479.0,938774539.0,2.4298144072269094,3.064143769132026
2022-11-01,NEW,NEW,0,0.0,5483579,0.0,4411222,0.0,936359,0.0,21.23,525069,0.0,56.08,18.59,907936,12.2,1.73,7988465.0,119915121.0,6.661766200444396,8.798489100553343
