month,ltr_taxi,recency_taxi,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,LTR 3,1. LAST_30_DAYS,389823,1.17,261388,67.05,234554,60.17,186706,47.9,79.6,146918,37.69,78.69,2.29,393756,1.69,2.68,1419495.0,34156684.0,4.155833745453745,3.6050117331545426
2022-11-01,LTR 2,1. LAST_30_DAYS,507378,1.52,308454,60.79,269095,53.04,207997,40.99,77.3,159789,31.49,76.82,2.49,400911,1.72,2.51,1655271.0,35039690.0,4.723988711087341,4.128774216721417
2022-11-01,LTR 4,1. LAST_30_DAYS,327958,0.98,230908,70.41,210008,64.04,170597,52.02,81.23,136099,41.5,79.78,2.12,378800,1.63,2.78,1244909.0,32714143.0,3.805415290872819,3.2864545934530094
2022-11-01,LTR 1,1. LAST_30_DAYS,753168,2.26,366091,48.61,297826,39.54,211417,28.07,70.99,151309,20.09,71.57,2.36,350374,1.51,2.32,1671615.0,30984551.0,5.394995073512603,4.770944761883016
2022-11-01,LTR 1-4,2. 31_45_DAYS,741480,2.22,312463,42.14,257451,34.72,179385,24.19,69.68,124461,16.79,69.38,1.94,244379,1.05,1.96,1072567.0,21929547.0,4.890967423996492,4.388949132290418
2022-11-01,LTR 1-4,3. 46_60_DAYS,677619,2.03,241725,35.67,195410,28.84,131332,19.38,67.21,89343,13.18,68.03,1.39,168930,0.73,1.89,757591.0,15185186.0,4.989013634735854,4.484644527319008
2022-11-01,LTR 1-4,4. 61_90_DAYS,1189429,3.56,357461,30.05,282655,23.76,185078,15.56,65.48,123680,10.4,66.83,1.93,226780,0.97,1.83,1053432.0,20458762.0,5.149050563274552,4.645171531881118
2022-11-01,LTR 1-4,5. 91_180_DAYS,2792799,8.37,581630,20.83,452774,16.21,283531,10.15,62.62,186981,6.7,65.95,2.91,334908,1.44,1.79,1651142.0,29651735.0,5.56844987316931,4.930136037359514
2022-11-01,LTR 1-4,6. 181_365_DAYS,2693290,8.07,319080,11.85,253924,9.43,154311,5.73,60.77,102815,3.82,66.63,1.6,185466,0.8,1.8,1009692.0,15661300.0,6.447051011091033,5.444081394972663
2022-11-01,LTR 1-4,7. 365_ABOVE,5563172,16.67,251994,4.53,206416,3.71,129942,2.34,62.95,89463,1.61,68.85,1.39,174145,0.75,1.95,991528.0,14160973.0,7.001835255246938,5.693692038243992
2022-11-01,LTR 5-20,1. LAST_30_DAYS,2373880,7.11,1871742,78.85,1755207,73.94,1518823,63.98,86.53,1275245,53.72,83.96,19.85,4388148,18.85,3.44,11955704.0,368578291.0,3.243735263832997,2.724544386378946
2022-11-01,LTR 21-50,1. LAST_30_DAYS,1185961,3.55,1035439,87.31,997882,84.14,920278,77.6,92.22,826267,69.67,89.78,12.86,4183185,17.97,5.06,10565616.0,331217957.0,3.1899284977474816,2.5257348168919136
2022-11-01,LTR 50+,1. LAST_30_DAYS,857265,2.57,788777,92.01,771280,89.97,739804,86.3,95.92,697404,81.35,94.27,10.86,6734903,28.94,9.66,20541632.0,476624198.0,4.309817270335066,3.050026407210319
2022-11-01,LTR >=5,2. 31_45_DAYS,915602,2.74,576627,62.98,521609,56.97,416690,45.51,79.89,323993,35.39,77.75,5.04,818444,3.52,2.53,2331592.0,68248477.0,3.416328250079485,2.848810670003079
2022-11-01,LTR >=5,3. 46_60_DAYS,673899,2.02,370293,54.95,328304,48.72,250031,37.1,76.16,188350,27.95,75.33,2.93,429835,1.85,2.28,1281998.0,35726963.0,3.5883206753397987,2.98253515884002
2022-11-01,LTR >=5,4. 61_90_DAYS,1017607,3.05,472178,46.4,408427,40.14,298609,29.34,73.11,219081,21.53,73.37,3.41,470755,2.02,2.15,1414824.0,39170267.0,3.611984569826905,3.0054359486357023
2022-11-01,LTR >=5,5. 91_180_DAYS,1758563,5.27,564331,32.09,473789,26.94,328081,18.66,69.25,234198,13.32,71.38,3.65,480368,2.06,2.05,1565787.0,39039097.0,4.0108176682467835,3.259557256103654
2022-11-01,LTR >=5,6. 181_365_DAYS,1310170,3.93,224523,17.14,186271,14.22,121450,9.27,65.2,85459,6.52,70.37,1.33,170953,0.73,2.0,651068.0,13394339.0,4.860769911826183,3.8084619749287816
2022-11-01,LTR >=5,7. 365_ABOVE,2533335,7.59,147256,5.81,122457,4.83,81188,3.2,66.3,57903,2.29,71.32,0.9,127143,0.55,2.2,569543.0,9855594.0,5.778880501773917,4.479546652194773
2022-11-01,LTR =0,LTR=0,5107577,15.31,700034,13.71,542108,10.61,377156,7.38,69.57,239265,4.68,63.44,3.72,522653,2.25,2.18,4041937.0,47100669.0,8.581485328796498,7.733500046876226
2022-11-01,TOTAL,,33369975,100.0,12723591,38.13,10959429,32.84,8268669,24.78,75.45,6423254,19.25,77.68,100.0,23273127,100.0,3.6,85037563.0,1857414661.0,4.5782756422422795,3.6538950266545616
2022-11-01,NEW,NEW,0,0.0,2741197,0.0,2191982,0.0,1376263,0.0,62.79,965231,0.0,70.13,15.03,2088291,8.97,2.16,17590620.0,178516238.0,9.853792684114259,8.42345247860571
