month,ltr_auto,recency_auto,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR 1,1. 15_21_DAYS,129501,1.73,82056,63.36,73184,56.51,39008,30.12,53.3,21932,16.94,56.22,0.73,38321,0.51,1.75,125949.0,5311239.0,2.37136758485167,3.28668354166123
2022-10-01,LTR 4,1. 15_21_DAYS,41198,0.55,31871,77.36,30122,73.12,20302,49.28,67.4,13017,31.6,64.12,0.44,25488,0.34,1.96,63274.0,3507398.0,1.804015398309516,2.482501569365976
2022-10-01,LTR 3,1. 15_21_DAYS,59514,0.79,40495,68.04,37899,63.68,24544,41.24,64.76,15370,25.83,62.62,0.52,29244,0.39,1.9,75592.0,3984902.0,1.8969600758061302,2.584872110518397
2022-10-01,LTR 2,1. 15_21_DAYS,75504,1.01,53792,71.24,49775,65.92,30189,39.98,60.65,18188,24.09,60.25,0.61,33336,0.44,1.83,97170.0,4573761.0,2.1245097852729953,2.9148668106551474
2022-10-01,LTR 2,1. 1_7_DAYS,117965,1.57,100097,84.85,95267,80.76,71557,60.66,75.11,53491,45.34,74.75,1.79,117569,1.55,2.2,294194.0,15928016.0,1.8470222531167724,2.5023092822087456
2022-10-01,LTR 1,1. 1_7_DAYS,152126,2.03,115336,75.82,105019,69.03,63704,41.88,60.66,38998,25.64,61.22,1.31,81504,1.08,2.09,220796.0,11047917.0,1.9985305827333786,2.709020416175893
2022-10-01,LTR 4,1. 1_7_DAYS,76166,1.02,67802,89.02,65719,86.28,53441,70.16,81.32,41934,55.06,78.47,1.41,108690,1.44,2.59,236691.0,14562119.0,1.6253884479312386,2.1776704388628207
2022-10-01,LTR 3,1. 1_7_DAYS,94781,1.26,81002,85.46,77923,82.21,61617,65.01,79.07,47524,50.14,77.13,1.59,115216,1.52,2.42,258743.0,15530466.0,1.6660350050024255,2.2457210804054992
2022-10-01,LTR 1,1. 22_30_DAYS,158416,2.11,92942,58.67,82498,52.08,42597,26.89,51.63,23198,14.64,54.46,0.78,39468,0.52,1.7,128593.0,5518922.0,2.3300383661881794,3.258158508158508
2022-10-01,LTR 3,1. 22_30_DAYS,72179,0.96,44186,61.22,41094,56.93,25545,35.39,62.16,15512,21.49,60.72,0.52,28145,0.37,1.81,70328.0,3864284.0,1.8199490513637195,2.498774205009771
