month,ltr_auto,recency_auto,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR 4,1. LAST_30_DAYS,212298,1.41,172335,81.18,164566,77.52,120848,56.92,73.43,85514,40.28,70.76,2.87,195921,2.59,2.29,446161.0,26503343.0,1.6834140508237017,2.2772495036264617
2022-10-01,LTR 3,1. LAST_30_DAYS,292036,1.94,213700,73.18,202202,69.24,142690,48.86,70.57,98504,33.73,69.03,3.3,214422,2.83,2.18,505842.0,29071903.0,1.739968656334606,2.35909561518874
2022-10-01,LTR 1,1. LAST_30_DAYS,574762,3.81,382450,66.54,343718,59.8,191543,33.33,55.73,110675,19.26,57.78,3.71,208622,2.76,1.88,622259.0,28595763.0,2.1760531446564304,2.982710356529992
2022-10-01,LTR 2,1. LAST_30_DAYS,365204,2.42,277045,75.86,258900,70.89,171423,46.94,66.21,113726,31.14,66.34,3.81,229746,3.04,2.02,604724.0,31278234.0,1.9333700233843125,2.6321415824432197
2022-10-01,LTR 1-4,2. 31_45_DAYS,514111,3.41,297804,57.93,268697,52.26,146218,28.44,54.42,81725,15.9,55.89,2.74,137246,1.81,1.68,411149.0,19116539.0,2.150750195942895,2.9957084359471313
2022-10-01,LTR 1-4,3. 46_60_DAYS,540076,3.58,294431,54.52,262711,48.64,135176,25.03,51.45,73527,13.61,54.39,2.46,118210,1.56,1.61,364348.0,16684393.0,2.183765390805647,3.0822096269351156
2022-10-01,LTR 1-4,4. 61_90_DAYS,868365,5.76,425483,49.0,376402,43.35,175677,20.23,46.67,90393,10.41,51.45,3.03,139985,1.85,1.55,419193.0,19684085.0,2.1296036874459747,2.994556559631389
2022-10-01,LTR 1-4,5. 91_180_DAYS,1809109,12.0,695271,38.43,606504,33.53,252944,13.98,41.71,124113,6.86,49.07,4.16,186379,2.46,1.5,559040.0,26338044.0,2.122557012965731,2.9994795551000917
2022-10-01,LTR 1-4,6. 181_365_DAYS,1466169,9.73,397987,27.14,349503,23.84,120577,8.22,34.5,57862,3.95,47.99,1.94,85203,1.13,1.47,282659.0,12005006.0,2.354509443810357,3.3174770841402297
2022-10-01,LTR 1-4,7. 365_ABOVE,823296,5.46,171769,20.86,151121,18.36,43710,5.31,28.92,19725,2.4,45.13,0.66,28851,0.38,1.46,115845.0,4047786.0,2.8619348947795165,4.015285432047416
2022-10-01,LTR 5-20,1. LAST_30_DAYS,1117857,7.42,996446,89.14,967911,86.59,795731,71.18,82.21,615943,55.1,77.41,20.64,1800814,23.8,2.92,3538371.0,239072757.0,1.4800394007251942,1.964873107383661
2022-10-01,LTR 21-50,1. LAST_30_DAYS,321523,2.13,304080,94.57,299809,93.25,277873,86.42,92.68,243404,75.7,87.6,8.16,1158497,15.31,4.76,2013445.0,147323475.0,1.3666830761356938,1.737980331412166
2022-10-01,LTR 50+,1. LAST_30_DAYS,127682,0.85,122999,96.33,122009,95.56,118437,92.76,97.07,111487,87.32,94.13,3.74,1051462,13.9,9.43,2189576.0,123866859.0,1.76768509161922,2.0824109668252397
2022-10-01,LTR >=5,2. 31_45_DAYS,307030,2.04,236074,76.89,223739,72.87,160084,52.14,71.55,106323,34.63,66.42,3.56,222573,2.94,2.09,457462.0,30308878.0,1.5093333379084504,2.055334654248269
2022-10-01,LTR >=5,3. 46_60_DAYS,268640,1.78,191636,71.34,179784,66.92,120415,44.82,66.98,75793,28.21,62.94,2.54,144884,1.91,1.91,316312.0,20026472.0,1.5794694142832546,2.1832086358742164
2022-10-01,LTR >=5,4. 61_90_DAYS,343262,2.28,216250,63.0,200009,58.27,122718,35.75,61.36,73183,21.32,59.64,2.45,132477,1.75,1.81,285273.0,18287662.0,1.559920562836299,2.1533775674267988
2022-10-01,LTR >=5,5. 91_180_DAYS,496008,3.29,244947,49.38,222308,44.82,119850,24.16,53.91,66807,13.47,55.74,2.24,113093,1.49,1.69,250292.0,15689097.0,1.5953244472897326,2.21315200763973
2022-10-01,LTR >=5,6. 181_365_DAYS,263893,1.75,79673,30.19,71352,27.04,31419,11.91,44.03,16062,6.09,51.12,0.54,26373,0.35,1.64,63057.0,3635417.0,1.7345190386687415,2.3909680354908427
2022-10-01,LTR >=5,7. 365_ABOVE,83610,0.55,16378,19.59,14540,17.39,5337,6.38,36.71,2550,3.05,47.78,0.09,4138,0.05,1.62,12284.0,574779.0,2.137169242439268,2.9685838569357177
2022-10-01,LTR =0,LTR=0,4276512,28.37,1340968,31.36,1157602,27.07,478577,11.19,41.34,225400,5.27,47.1,7.55,372747,4.93,1.65,2924270.0,52129305.0,5.609647011407499,7.845187218139918
2022-10-01,TOTAL,,15071443,100.0,12784449,84.83,11202494,74.33,4849064,32.17,43.29,2984310,19.8,61.54,100.0,7566475,100.0,2.5,24915571.0,1002972500.0,2.4841728960664424,3.292890150301164
2022-10-01,NEW,NEW,0,0.0,5706723,0.0,4759107,0.0,1117817,0.0,23.49,591594,0.0,52.92,19.82,994832,13.15,1.68,8534009.0,138732703.0,6.151403969978153,8.578341870788234
