month,ltr_link,recency_link,,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
01/10/22,LTR 1,1. 1_7_DAYS,,174537,1.27,117690,67.43,101992,58.44,62409,35.76,61.19,45756,26.22,73.32,0.98,110166,0.77,2.41,487659,6831159,7.138744684,4.426583519
01/10/22,LTR 1,1. 15_21_DAYS,,135053,0.98,70980,52.56,59937,44.38,32021,23.71,53.42,21836,16.17,68.19,0.47,41972,0.29,1.92,180567,2712856,6.655974368,4.302082341
01/10/22,LTR 1,1. 22_30_DAYS,,173745,1.26,82166,47.29,68852,39.63,35121,20.21,51.01,23768,13.68,67.67,0.51,43211,0.3,1.82,193781,2812326,6.890417398,4.484529402
01/10/22,LTR 1,1. 8_14_DAYS,,147546,1.07,86174,58.4,73663,49.93,41442,28.09,56.26,29028,19.67,70.04,0.62,59783,0.42,2.06,268638,3799815,7.069765239,4.493551679
01/10/22,LTR 2,1. 1_7_DAYS,,140235,1.02,108968,77.7,100780,71.87,75528,53.86,74.94,63390,45.2,83.93,1.36,161100,1.13,2.54,647850,10004262,6.47574004,4.02141527
01/10/22,LTR 2,1. 15_21_DAYS,,86483,0.63,51042,59.02,44949,51.97,27013,31.24,60.1,19803,22.9,73.31,0.42,39628,0.28,2,167294,2516255,6.64853125,4.221610982
01/10/22,LTR 2,1. 22_30_DAYS,,107604,0.78,57987,53.89,50570,47,28998,26.95,57.34,20719,19.25,71.45,0.44,38921,0.27,1.88,169912,2513468,6.760062193,4.365561008
01/10/22,LTR 2,1. 8_14_DAYS,,98071,0.71,63268,64.51,56493,57.6,35842,36.55,63.45,26806,27.33,74.79,0.57,58193,0.41,2.17,243123,3671880,6.621213112,4.177873627
01/10/22,LTR 3,1. 1_7_DAYS,,114468,0.83,93735,81.89,88407,77.23,68921,60.21,77.96,59068,51.6,85.7,1.26,165597,1.16,2.8,556998,10081779,5.524798748,3.363575427
01/10/22,LTR 3,1. 15_21_DAYS,,62675,0.46,40502,64.62,36353,58,22711,36.24,62.47,16887,26.94,74.36,0.36,34405,0.24,2.04,118141,2185442,5.405817221,3.433832292
01/10/22,LTR 3,1. 22_30_DAYS,,75053,0.55,44944,59.88,40249,53.63,24068,32.07,59.8,17561,23.4,72.96,0.38,34116,0.24,1.94,116792,2169362,5.383702674,3.42337906
01/10/22,LTR 3,1. 8_14_DAYS,,72974,0.53,51074,69.99,46588,63.84,30608,41.94,65.7,23541,32.26,76.91,0.5,52667,0.37,2.24,190465,3293484,5.783085632,3.616401162
01/10/22,LTR 4,1. 1_7_DAYS,,95552,0.69,80478,84.22,76480,80.04,61348,64.2,80.21,53371,55.86,87,1.14,158490,1.11,2.97,495957,9517335,5.21109113,3.129263676
01/10/22,LTR 4,1. 15_21_DAYS,,49872,0.36,33707,67.59,30642,61.44,19922,39.95,65.02,15118,30.31,75.89,0.32,31296,0.22,2.07,95526,1973583,4.840232207,3.052338957
01/10/22,LTR 4,1. 22_30_DAYS,,58747,0.43,36766,62.58,33114,56.37,20565,35.01,62.1,15314,26.07,74.47,0.33,30130,0.21,1.97,93648,1912682,4.896161516,3.10813143
01/10/22,LTR 4,1. 8_14_DAYS,,58882,0.43,42784,72.66,39472,67.04,27154,46.12,68.79,21207,36.02,78.1,0.45,48529,0.34,2.29,164277,3019819,5.439961799,3.385130541
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
