month,ltr_link,recency_link,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR 3,1. LAST_30_DAYS,325170,1.15,230255,70.81,211597,65.07,146308,44.99,69.14,117057,36.0,80.01,2.51,286785,2.0,2.45,982396.0,17730067.0,5.540847645979003,3.4255487560367524
2022-10-01,LTR 1,1. LAST_30_DAYS,630881,2.24,357010,56.59,304444,48.26,170993,27.1,56.17,120388,19.08,70.41,2.58,255132,1.78,2.12,1130645.0,16156156.0,6.998230272101854,4.431607951962121
2022-10-01,LTR 2,1. LAST_30_DAYS,432393,1.53,281265,65.05,252792,58.46,167381,38.71,66.21,130718,30.23,78.1,2.8,297842,2.08,2.28,1228179.0,18705865.0,6.565742883314939,4.123592374480429
2022-10-01,LTR 4,1. LAST_30_DAYS,263053,0.93,193735,73.65,179708,68.32,128989,49.04,71.78,105010,39.92,81.41,2.25,268445,1.88,2.56,849408.0,16423419.0,5.171931617892717,3.164178882080128
2022-10-01,LTR 1-4,2. 31_45_DAYS,611384,2.17,297217,48.61,255292,41.76,135047,22.09,52.9,93896,15.36,69.53,2.01,169123,1.18,1.8,655235.0,11049072.0,5.930226538482146,3.8743104131312713
2022-10-01,LTR 1-4,3. 46_60_DAYS,541037,1.92,237063,43.82,201117,37.17,103152,19.07,51.29,70877,13.1,68.71,1.52,122842,0.86,1.73,492579.0,8155848.0,6.039580433573554,4.009858191823644
2022-10-01,LTR 1-4,4. 61_90_DAYS,956734,3.39,354475,37.05,296748,31.02,143731,15.02,48.44,96219,10.06,66.94,2.06,163136,1.14,1.7,675897.0,10868965.0,6.218595790859571,4.143150500196155
2022-10-01,LTR 1-4,5. 91_180_DAYS,2303551,8.16,633867,27.52,527108,22.88,235515,10.22,44.68,153754,6.67,65.28,3.29,252478,1.76,1.64,1096692.0,16920140.0,6.481577575599256,4.343713115598191
2022-10-01,LTR 1-4,6. 181_365_DAYS,2164498,7.67,358934,16.58,301305,13.92,131967,6.1,43.8,84992,3.93,64.4,1.82,141003,0.99,1.66,661182.0,9525445.0,6.941219019163934,4.689134273738857
2022-10-01,LTR 1-4,7. 365_ABOVE,5492237,19.46,339452,6.18,287273,5.23,130760,2.38,45.52,85331,1.55,65.26,1.83,149774,1.05,1.76,737190.0,9970166.0,7.393959137691389,4.9220158371947065
2022-10-01,LTR 5-20,1. LAST_30_DAYS,1695321,6.01,1364740,80.5,1293819,76.32,1016082,59.93,78.53,866019,51.08,85.23,18.54,2772698,19.37,3.2,7441086.0,164152361.0,4.533036232113652,2.683698693474731
2022-10-01,LTR 21-50,1. LAST_30_DAYS,758614,2.69,664039,87.53,642657,84.71,557719,73.52,86.78,502621,66.26,90.12,10.76,2356014,16.46,4.69,6753901.0,133039298.0,5.076621044708158,2.866664204881635
2022-10-01,LTR 50+,1. LAST_30_DAYS,536110,1.9,492577,91.88,482650,90.03,444986,83.0,92.2,417371,77.85,93.79,8.93,3574932,24.98,8.57,13245109.0,194141763.0,6.8223903993289685,3.7049960670580586
2022-10-01,LTR >=5,2. 31_45_DAYS,632876,2.24,412844,65.23,378053,59.74,254586,40.23,67.34,198487,31.36,77.96,4.25,438349,3.06,2.21,1182586.0,27133041.0,4.358472019409841,2.6978184049695564
2022-10-01,LTR >=5,3. 46_60_DAYS,494985,1.75,291500,58.89,262870,53.11,168694,34.08,64.17,128263,25.91,76.03,2.75,264132,1.85,2.06,726562.0,16442438.0,4.41882158838002,2.7507534111732013
2022-10-01,LTR >=5,4. 61_90_DAYS,749057,2.65,378656,50.55,335705,44.82,202131,26.98,60.21,148545,19.83,73.49,3.18,291585,2.04,1.96,835103.0,18357168.0,4.549192990988589,2.864012209132843
2022-10-01,LTR >=5,5. 91_180_DAYS,1349466,4.78,513215,38.03,445795,33.03,246566,18.27,55.31,176029,13.04,71.39,3.77,324661,2.27,1.84,963455.0,20680265.0,4.658813608046125,2.967572329291168
2022-10-01,LTR >=5,6. 181_365_DAYS,1051011,3.72,231632,22.04,199007,18.93,103704,9.87,52.11,71432,6.8,68.88,1.53,128960,0.9,1.81,427103.0,8322565.0,5.131867399053056,3.3119029156327544
2022-10-01,LTR >=5,7. 365_ABOVE,2552115,9.04,203135,7.96,174271,6.83,86827,3.4,49.82,58148,2.28,66.97,1.24,112446,0.79,1.93,421600.0,7307026.0,5.769789241204288,3.7493552460736708
2022-10-01,LTR =0,LTR=0,4676858,16.57,993031,21.23,854221,18.26,359857,7.69,42.13,204399,4.37,56.8,4.37,388532,2.71,1.9,2963346.0,26414005.0,11.218843942825028,7.627032007659601
2022-10-01,TOTAL,,28217351,100.0,12806398,45.38,11227252,39.79,6201253,21.98,55.23,4672194,16.56,75.34,100.0,14311710,100.0,3.1,56775285.0,852410574.0,6.6605561605808985,3.9670511071004095
2022-10-01,NEW,NEW,0,0.0,3977756,0.0,3340820,0.0,1266258,0.0,37.9,842638,0.0,66.55,18.04,1552841,10.85,1.84,13306031.0,100915501.0,13.185319270227872,8.568830292348025
