month,ltr_taxi,recency_taxi,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR 3,1. 15_21_DAYS,86112,0.57,49352,57.31,43779,50.84,33452,38.85,76.41,24013,27.89,71.78,0.37,51145,0.23,2.13,200208.0,4836553.0,4.139477020100886,3.914517548147424
2022-10-01,LTR 4,1. 15_21_DAYS,65701,0.44,42495,64.68,38324,58.33,29776,45.32,77.7,21645,32.94,72.69,0.33,47204,0.22,2.18,167141.0,4420152.0,3.781340551184665,3.5408228116261333
2022-10-01,LTR 2,1. 15_21_DAYS,106615,0.71,59790,56.08,51813,48.6,38346,35.97,74.01,27035,25.36,70.5,0.42,56126,0.26,2.08,254022.0,5323448.0,4.771756951509623,4.525923814275024
2022-10-01,LTR 1,1. 15_21_DAYS,156894,1.04,76412,48.7,62399,39.77,43919,27.99,70.38,29222,18.63,66.54,0.45,58565,0.27,2.0,303082.0,5630333.0,5.383020862176358,5.175138734739178
2022-10-01,LTR 1,1. 1_7_DAYS,203754,1.36,133445,65.49,113619,55.76,85472,41.95,75.23,61881,30.37,72.4,0.96,155763,0.71,2.52,750226.0,14192406.0,5.286108641480522,4.816458337345839
2022-10-01,LTR 4,1. 1_7_DAYS,128794,0.86,106860,82.97,101285,78.64,88826,68.97,87.7,75271,58.44,84.74,1.16,234489,1.07,3.12,768662.0,21035460.0,3.654124987045684,3.27803009949294
2022-10-01,LTR 3,1. 1_7_DAYS,152346,1.01,120066,78.81,112829,74.06,97353,63.9,86.28,81580,53.55,83.8,1.26,238627,1.09,2.93,851946.0,21460832.0,3.969771535418571,3.570199516400072
2022-10-01,LTR 2,1. 1_7_DAYS,175707,1.17,135046,76.86,123959,70.55,104164,59.28,84.03,85254,48.52,81.85,1.32,227331,1.04,2.67,949857.0,20624902.0,4.605389155303623,4.1782994840123
2022-10-01,LTR 4,1. 22_30_DAYS,77107,0.51,45413,58.9,40514,52.54,30536,39.6,75.37,21678,28.11,70.99,0.34,44402,0.2,2.05,158886.0,4209582.0,3.7743890010932204,3.5783523264717805
2022-10-01,LTR 3,1. 22_30_DAYS,105663,0.7,53576,50.7,47161,44.63,34828,32.96,73.85,24257,22.96,69.65,0.37,49032,0.22,2.02,194226.0,4672690.0,4.15662070456204,3.9612090063631915
2022-10-01,LTR 1,1. 22_30_DAYS,200893,1.34,86254,42.94,69770,34.73,47948,23.87,68.72,31478,15.67,65.65,0.49,60243,0.28,1.91,313522.0,5842902.0,5.365861005370276,5.2042892950218285
2022-10-01,LTR 2,1. 22_30_DAYS,129849,0.86,66358,51.1,56891,43.81,40845,31.46,71.8,27733,21.36,67.9,0.43,55014,0.25,1.98,250980.0,5211067.0,4.816288103760708,4.562111462536809
2022-10-01,LTR 3,1. 8_14_DAYS,98453,0.66,62709,63.69,56502,57.39,44231,44.93,78.28,32808,33.32,74.17,0.51,76418,0.35,2.33,293910.0,7151785.0,4.109603406701964,3.846083383496035
2022-10-01,LTR 1,1. 8_14_DAYS,169486,1.13,92891,54.81,77153,45.52,55319,32.64,71.7,37956,22.39,68.61,0.59,82703,0.38,2.18,418449.0,7778896.0,5.379285183912987,5.059659262662781
2022-10-01,LTR 2,1. 8_14_DAYS,119908,0.8,75043,62.58,66109,55.13,50612,42.21,76.56,36572,30.5,72.26,0.57,83085,0.38,2.27,364794.0,7790691.0,4.682434459279671,4.390612023831016
2022-10-01,LTR 4,1. 8_14_DAYS,77601,0.52,54543,70.29,49926,64.34,40105,51.68,80.33,30160,38.87,75.2,0.47,72784,0.33,2.41,256952.0,6796502.0,3.780650693547946,3.5303363376566277
2022-10-01,LTR =0,LTR=0,48853,0.33,48853,100.0,48853,100.0,48853,100.0,100.0,48853,100.0,100.0,0.76,123465,0.56,2.53,745564.0,11254973.0,6.624307317307647,6.038666828655894
2022-10-01,TOTAL,,2103736,100.0,12770356,607.03,11188310,531.83,8544944,406.18,76.37,6469059,307.5,75.71,100.0,21878185,100.0,3.4,81690856.0,1855383074.0,4.402910490278623,3.7338954762472296
2022-10-01,NEW,NEW,0,0.0,11461250,0.0,10027424,0.0,7630359,0.0,76.09,5771663,0.0,75.64,89.22,20161789,92.15,3.49,74448429.0,1697149900.0,4.386673740486919,3.6925507453728437
