month,ltr_taxi,recency_taxi,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR 4,1. LAST_30_DAYS,349203,1.1,249311,71.39,230049,65.88,189243,54.19,82.26,148754,42.6,78.6,2.3,398879,1.82,2.68,1351641.0,36461696.0,3.707016261668135,3.3885990488343585
2022-10-01,LTR 3,1. LAST_30_DAYS,442574,1.39,285703,64.55,260271,58.81,209864,47.42,80.63,162658,36.75,77.51,2.51,415222,1.9,2.55,1540290.0,38121860.0,4.040437691130496,3.709557778730414
2022-10-01,LTR 2,1. LAST_30_DAYS,532079,1.67,336237,63.19,298772,56.15,233967,43.97,78.31,176594,33.19,75.48,2.73,421556,1.93,2.39,1819653.0,38950108.0,4.671753413366659,4.316515480742772
2022-10-01,LTR 1,1. LAST_30_DAYS,731027,2.3,389002,53.21,322941,44.18,232658,31.83,72.04,160537,21.96,69.0,2.48,357274,1.63,2.23,1785279.0,33444537.0,5.338028748910472,4.996946321310815
2022-10-01,LTR 1-4,2. 31_45_DAYS,726310,2.28,311764,42.92,260105,35.81,182124,25.08,70.02,121582,16.74,66.76,1.88,228544,1.04,1.88,1045152.0,21926335.0,4.766651608670578,4.573088770652478
2022-10-01,LTR 1-4,3. 46_60_DAYS,680304,2.14,263386,38.72,216138,31.77,148409,21.82,68.66,96856,14.24,65.26,1.5,175114,0.8,1.81,818598.0,17167170.0,4.768392227723032,4.6746576515869664
2022-10-01,LTR 1-4,4. 61_90_DAYS,1130747,3.56,358423,31.7,288068,25.48,190429,16.84,66.11,121609,10.75,63.86,1.88,214389,0.98,1.76,1041444.0,20452191.0,5.092090133521636,4.857730573863398
2022-10-01,LTR 1-4,5. 91_180_DAYS,2606147,8.2,569033,21.83,450703,17.29,286531,10.99,63.57,179437,6.89,62.62,2.77,308287,1.41,1.72,1589677.0,28843569.0,5.511374129879697,5.156484055441845
2022-10-01,LTR 1-4,6. 181_365_DAYS,2369857,7.45,292957,12.36,237634,10.03,146832,6.2,61.79,92482,3.9,62.98,1.43,161766,0.74,1.75,894236.0,14359909.0,6.22730965774226,5.527960139955244
2022-10-01,LTR 1-4,7. 365_ABOVE,5404842,17.0,258101,4.78,214435,3.97,135998,2.52,63.42,89313,1.65,65.67,1.38,168370,0.77,1.89,968963.0,14325147.0,6.764070204654794,5.754962285442775
2022-10-01,LTR 5-20,1. LAST_30_DAYS,2409696,7.58,1940766,80.54,1838798,76.31,1603441,66.54,87.2,1334517,55.38,83.23,20.63,4420196,20.2,3.31,12139351.0,391680579.0,3.099298676230766,2.746337718960879
2022-10-01,LTR 21-50,1. LAST_30_DAYS,1160823,3.65,1024023,88.22,992455,85.5,919651,79.22,92.66,820942,70.72,89.27,12.69,3968075,18.14,4.83,10062569.0,330934987.0,3.040648282981334,2.535881756267208
2022-10-01,LTR 50+,1. LAST_30_DAYS,808983,2.54,747103,92.35,733004,90.61,703641,86.98,95.99,659338,81.5,93.7,10.19,5913968,27.03,8.97,18198848.0,444155155.0,4.097407807863898,3.0772652134742695
2022-10-01,LTR >=5,2. 31_45_DAYS,825937,2.6,524509,63.5,477081,57.76,380109,46.02,79.67,284919,34.5,74.96,4.4,656830,3.0,2.31,1858795.0,58674445.0,3.1679805407618256,2.829948388471903
2022-10-01,LTR >=5,3. 46_60_DAYS,662802,2.08,375333,56.63,335379,50.6,258421,38.99,77.05,187496,28.29,72.55,2.9,400026,1.83,2.13,1183672.0,35874753.0,3.299456863159448,2.9589876658017227
2022-10-01,LTR >=5,4. 61_90_DAYS,933025,2.93,438747,47.02,382981,41.05,281778,30.2,73.57,197981,21.22,70.26,3.06,402932,1.84,2.04,1247494.0,35333132.0,3.5306635143468177,3.0960410193283234
2022-10-01,LTR >=5,5. 91_180_DAYS,1565811,4.92,519382,33.17,441487,28.2,308145,19.68,69.8,210101,13.42,68.18,3.25,404524,1.85,1.93,1344956.0,34892381.0,3.8545836123937773,3.324786662843243
2022-10-01,LTR >=5,6. 181_365_DAYS,1159853,3.65,204456,17.63,172169,14.84,114256,9.85,66.36,76364,6.58,66.84,1.18,145745,0.67,1.91,555407.0,11922360.0,4.658532371107734,3.810813406977941
2022-10-01,LTR >=5,7. 365_ABOVE,2472361,7.77,150658,6.09,126891,5.13,84712,3.43,66.76,57556,2.33,67.94,0.89,121841,0.56,2.12,558040.0,9878946.0,5.6487807504970675,4.580067464974844
2022-10-01,LTR =0,LTR=0,4828702,15.18,704418,14.59,563158,11.66,402324,8.33,71.44,246005,5.09,61.15,3.8,510015,2.33,2.07,3935307.0,49121499.0,8.011374001432651,7.716061292314932
2022-10-01,TOTAL,,31801083,100.0,12821858,40.32,11243648,35.36,8544944,26.87,76.0,6469059,20.34,75.71,100.0,21878185,100.0,3.4,81690856.0,1855383074.0,4.402910490278623,3.7338954762472296
2022-10-01,NEW,NEW,0,0.0,2878546,0.0,2401129,0.0,1532411,0.0,63.82,1044018,0.0,68.13,16.14,2084632,9.53,2.0,17751484.0,188862315.0,9.399166795133269,8.515404157664278
