week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
45,0.NEW,0,171869,0.0,819719,223614,19,44,124862,55.8,27.3,1.3,2.3,0.0,2069583.0,471967.0,2541550.0,810.0,0.03913831916864412,30884845.0,6.700966121086248,8.229116901833246,138.11677712486696,9.255158442673535,11.365791050649781,4684727,3676428,562032,1506138,0.0,1489669,0.0,358817,0.0,15.3
45,1.HANDHOLDING,928984,108146,11.6,541782,162040,201,462,30933,19.1,29.9,1.5,2.3,0.3,354384.0,-360587.0,-6203.0,8283.0,2.33729513747799,21094735.0,1.6799642185597496,-0.029405441689596953,130.18226980992347,2.187015551715626,-0.03828067143915083,1417252,1123325,363345,362492,39.0,355217,38.2,183809,19.8,32.3
45,2.HOOK,506112,117066,23.1,623832,201847,1728,4603,28063,13.9,32.4,1.7,2.7,2.3,316035.0,-16214.0,299821.0,70150.0,22.196908570253296,25335462.0,1.2474017643727988,1.1834045102473363,125.51814988580459,1.5657156162836208,1.4853874469276234,1205227,946319,409839,274922,54.3,268708,53.1,175003,34.6,43.3
45,3.DETOX,24861,9298,37.4,59301,22314,2020,8063,13873,62.2,37.6,2.4,4.0,36.1,197669.0,-6841.0,190828.0,135000.0,68.2959897606605,2121683.0,9.316613273519183,8.994180563260393,95.08304203638971,8.858519315228108,8.551940485793672,99813,77728,39486,16979,68.3,16375,65.9,11852,47.7,50.8
45,4.SUSTENANCE,298135,93566,31.4,584467,159346,1187,2755,16802,10.5,27.3,1.7,2.3,1.7,179536.0,7549.0,187085.0,41652.0,23.199803939042866,20455121.0,0.8777068588350077,0.9146120426273695,128.36921541802116,1.126705408356658,1.1740803032394915,999931,769481,387907,199444,66.9,193287,64.8,148395,49.8,50.4
45,5.COMMITTED,245855,157674,64.1,1438357,461761,6147,25093,53050,11.5,32.1,2.9,4.1,5.4,601846.0,25111.0,626957.0,362848.0,60.289176965536036,52926707.0,1.1371310140266238,1.1845758701745794,114.61926624379278,1.3033712245079165,1.3577521704951263,1657566,1222173,931286,210534,85.6,202793,82.5,193271,78.6,76.2
45,6.CHURN_OTB,125256,34868,27.8,192017,63129,589,1722,12170,19.3,32.9,1.8,2.9,2.7,132205.0,2533.0,134738.0,26077.0,19.724670020044627,7804641.0,1.693928010269787,1.7263830584904545,123.63004324478449,2.094203931632055,2.134328121782382,347396,266696,129665,73676,58.8,71090,56.8,51585,41.2,48.6
45,7.SOFT_CHURN,85258,13793,16.2,58453,20509,95,203,5485,26.7,35.1,1.5,2.1,1.0,62820.0,1558.0,64378.0,2900.0,4.616364215218083,2669898.0,2.352898874788475,2.411253163978549,130.18177385538056,3.0630454922229267,3.1390121410112632,142806,112922,39870,37815,44.4,36992,43.4,21197,24.9,35.3
45,8.DORMANT,3625949,227726,6.3,1111444,310184,632,1335,59755,19.3,27.9,1.4,2.1,0.4,697841.0,92819.0,790660.0,21475.0,3.077348565074279,41154816.0,1.695648450961365,1.9211846312227467,132.67871972764553,2.2497646558171924,2.5490031723106283,3346437,2673861,762483,963751,26.6,945474,26.1,428552,11.8,28.5
45,9.INACTIVE,5922195,85017,1.4,390031,106585,26,50,18590,17.4,27.3,1.3,1.9,0.0,256227.0,34682.0,290909.0,956.0,0.3731066593294227,14692403.0,1.743942090344241,1.979996056465372,137.84681709433787,2.403968663507998,2.7293615424309237,1929420,1561041,272838,635308,10.7,630915,10.7,180248,3.0,17.5
45,TOTAL,11762605,1019023,8.7,5819403,1731329,12644,44330,363583,21.0,29.8,1.7,3.5,2.6,4868146.0,252577.0,5120723.0,670151.0,13.766041527924594,219140311.0,2.221474441550829,2.3367325603549043,126.57346523970892,2.8117971800853563,2.957683375025775,15830575,12429974,3898751,4281059,36.4,4210520,35.8,1752729,14.9,31.4
44,0.NEW,0,174000,0.0,815898,227170,15,42,121857,53.6,27.8,1.3,2.8,0.0,2057492.0,474488.0,2531980.0,732.0,0.03557729507575242,31384592.0,6.555739198393913,8.067589344478336,138.15465070211735,9.057058590482898,11.145749878945283,4631024,3690748,546122,1500787,0.0,1503875,0.0,352246,0.0,14.8
44,1.HANDHOLDING,961186,111635,11.6,541829,166856,215,541,29914,17.9,30.8,1.5,2.5,0.3,364424.0,-347731.0,16693.0,9814.0,2.6930169253397143,21852282.0,1.6676702231830982,0.07639019119376182,130.96491585558806,2.184062904540442,0.100044349618833,1421051,1161052,358102,368434,38.3,368791,38.4,184684,19.2,30.8
