week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,169610,0.0,769018,224535,11,30,134341,59.8,29.2,1.3,2.7,0.0,2247204.0,614694.0,2861898.0,569.0,0.02532035364835591,30427367.0,7.385469797633164,9.405670888315772,135.5128020130492,10.008257064600175,12.745888168882356,4670256,3635883,535414,1489925,0.0,1470112,0.0,341654,0.0,14.7
46,1.HANDHOLDING,897943,103295,11.5,502516,155422,209,551,37457,24.1,30.9,1.5,2.6,0.4,425611.0,-364556.0,61055.0,9774.0,2.29646320231385,20313626.0,2.0951995473383236,0.3005618002418672,130.69981083759055,2.7384218450412425,0.39283370436617726,1349022,1033420,340344,341326,38.0,323039,36.0,172551,19.2,32.9
46,2.HOOK,515841,120529,23.4,634997,209825,1997,5292,30195,14.4,33.0,1.7,2.6,2.5,342418.0,-21287.0,321131.0,80281.0,23.4453212155903,26159537.0,1.3089604758677496,1.2275867114926384,124.67311807458596,1.6319218396282615,1.530470630287144,1224535,913655,420543,275328,53.4,254874,49.4,177852,34.5,46.0
46,3.DETOX,23670,8988,38.0,59589,22516,2072,8988,14606,64.9,37.8,2.5,4.3,39.9,212777.0,-8260.0,204517.0,150018.0,70.50480080083844,2110780.0,10.080491571836005,9.689167037777503,93.74578077811334,9.450035530289572,9.083185290460117,97051,70209,38858,15910,67.2,14304,60.4,11203,47.3,55.3
46,4.SUSTENANCE,296290,92554,31.2,574424,157667,1205,2931,16288,10.3,27.4,1.7,2.4,1.9,177750.0,6914.0,184664.0,45463.0,25.576933895921236,20177576.0,0.8809284128083572,0.9151941739681714,127.97589857103897,1.1273760520590865,1.1712279678055648,980248,709065,381566,195206,65.9,175154,59.1,146441,49.4,53.8
46,5.COMMITTED,250792,161472,64.4,1474414,490775,6363,27397,57717,11.8,33.3,3.0,4.3,5.6,661568.0,22198.0,683766.0,401485.0,60.68688328335107,55329793.0,1.1956813212729713,1.2358007556616017,112.73963221435484,1.3480067240588864,1.3932372268351076,1702779,1114952,962795,213152,85.0,177573,70.8,196728,78.4,86.4
46,6.CHURN_OTB,109798,28497,26.0,138187,48009,328,804,8768,18.3,34.7,1.7,2.5,1.7,94063.0,434.0,94497.0,11885.0,12.63514878326228,6180825.0,1.521851856346038,1.5288735727026732,128.74304817846655,1.959278468620467,1.9683184402924452,280462,206929,95515,62175,56.6,56553,51.5,42391,38.6,46.2
46,7.SOFT_CHURN,79158,12654,16.0,51127,18549,77,140,4644,25.0,36.3,1.5,1.8,0.8,53092.0,1712.0,54804.0,1906.0,3.5899947261357643,2467619.0,2.15154770651385,2.2209263261467838,133.03245457976172,2.8622567254299423,2.9545528060811903,131196,101088,34891,34701,43.8,32780,41.4,19168,24.2,34.5
46,8.DORMANT,3628099,224159,6.2,1052780,306123,560,1289,60452,19.7,29.1,1.4,2.3,0.4,711582.0,93913.0,805495.0,21020.0,2.953981410434778,40731327.0,1.7470140366406428,1.9775810397731457,133.05542870022833,2.3244970159053713,2.631278930364592,3287062,2558993,731155,940969,25.9,898895,24.8,414784,11.4,28.6
46,9.INACTIVE,6132883,84300,1.4,367141,105482,35,92,20841,19.8,28.7,1.3,2.6,0.1,290229.0,42122.0,332351.0,1629.0,0.5612809195497349,14527733.0,1.9977583563794847,2.287700359030552,137.72712879922642,2.7514552245880814,3.1507840200223733,1932296,1548063,261048,632914,10.3,622581,10.2,174799,2.9,16.9
46,TOTAL,11934474,1006058,8.4,5624193,1738903,12857,47514,385309,22.2,30.9,1.7,3.7,2.7,5216294.0,387884.0,5604178.0,724030.0,13.880160895839076,218426183.0,2.3881267018249366,2.565707976502066,125.61148206656725,2.999761343789734,3.2228238147843786,15654907,11892257,3802129,4201606,35.2,4025865,33.7,1697571,14.2,32.0
