week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,348879,0.0,2015983,629074,4622,18322,153722,24.4,31.2,1.8,4.0,2.9,2274522.0,507893.0,2782415.0,289363.0,12.721925749673998,79087621.0,2.8759519773644473,3.5181422387202668,125.72069581639045,3.615666837287823,4.423032902329456,3978791,2945581,1365521,1223801,0.0,1162137,0.0,589819,0.0,46.4
46,1.HANDHOLDING,1133627,67147,5.9,368546,111955,643,2360,29176,26.1,30.4,1.7,3.7,2.1,387004.0,8690.0,395694.0,36385.0,9.401711610215916,14166918.0,2.731744476815635,2.793084565040893,126.54118172480014,3.4567817426644636,3.5344022151757404,1208388,925506,247339,316986,28.0,305894,27.0,113654,10.0,26.7
46,2.HOOK,1108987,87050,7.8,446288,141472,944,2971,30907,21.8,31.7,1.6,3.1,2.1,379841.0,21429.0,401270.0,43388.0,11.42267422421487,17872806.0,2.1252454706888217,2.245142704508738,126.33458210812033,2.6849199841664784,2.8363916534720652,1644079,1274923,297857,411362,37.1,396452,35.7,141331,12.7,23.4
46,3.DETOX,241472,24647,10.2,115313,40647,411,1349,11624,28.6,35.2,1.6,3.3,3.3,142639.0,7490.0,150129.0,19236.0,13.485792805614173,4360058.0,3.2714931773843374,3.443279882974034,107.26641572563781,3.509213472088961,3.693482913868182,917099,724910,81873,143880,59.6,139209,57.7,39954,16.5,11.3
46,4.SUSTENANCE,289880,34494,11.9,218920,61863,468,1542,9227,14.9,28.3,1.8,3.3,2.5,111579.0,5974.0,117553.0,22668.0,20.315650794504343,7889763.0,1.4142249900282176,1.489943360782827,127.53605547742592,1.8036467678580088,1.9002149911902106,630873,473475,144752,142642,49.2,136137,47.0,57244,19.7,30.6
46,5.COMMITTED,385656,66918,17.4,440318,132163,1138,3859,16814,12.7,30.0,2.0,3.4,2.9,197328.0,13286.0,210614.0,53889.0,27.309352955485284,15546383.0,1.269285595241028,1.3547459881825887,117.63037309988424,1.4930653813851078,1.5935927604548927,2013024,1517366,291235,266429,69.1,253894,65.8,104314,27.0,19.2
46,6.CHURN_OTB,208533,20306,9.7,112386,35757,341,1301,6935,19.4,31.8,1.8,3.8,3.6,83638.0,3255.0,86893.0,17868.0,21.363495062053133,4292394.0,1.9485163757101516,2.024348184253356,120.04346002181391,2.339066476494113,2.430097603266493,369403,284260,76105,91759,44.0,88094,42.2,32972,15.8,26.8
46,7.SOFT_CHURN,174316,11624,6.7,56214,18394,112,370,4048,22.0,32.7,1.6,3.3,2.0,49343.0,1576.0,50919.0,5301.0,10.743165190604543,2345387.0,2.1038319049265644,2.1710276385091247,127.50826356420572,2.6825595302816136,2.768239643361966,183987,143509,38275,55754,32.0,53916,30.9,19269,11.1,26.7
46,8.DORMANT,5323779,207429,3.9,1108934,343528,2531,9287,73579,21.4,31.0,1.7,3.7,2.7,931835.0,41458.0,973293.0,140260.0,15.05202101230368,43383687.0,2.1478925938221893,2.2434538585897505,126.2886489602012,2.712544537854265,2.833227568058499,2900355,2223827,755150,924411,17.4,889271,16.7,355218,6.7,34.0
46,9.INACTIVE,16144884,137564,0.9,741291,224050,1647,6153,49277,22.0,30.2,1.6,3.7,2.7,658565.0,34757.0,693322.0,95672.0,14.527343542399004,29481166.0,2.233849909464232,2.3517455177993978,131.58297701405937,2.9393662128989066,3.094496764115153,1808908,1378900,504022,624582,3.9,600861,3.7,243796,1.5,36.6
46,TOTAL,25011134,1006058,4.0,5624193,1738903,12857,47514,385309,22.2,30.9,1.7,3.7,2.7,5216294.0,645808.0,5862102.0,724030.0,13.880160895839076,218426183.0,2.3881267018249366,2.683790889666373,125.61148206656725,2.999761343789734,3.3711495120774417,15654907,11892257,3802129,4201606,16.8,4025865,16.1,1697571,6.8,32.0
