week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
45,0.NEW,0,97737,0.0,470145,132159,13,32,69112,52.3,28.1,1.4,2.5,0.0,1193740.0,281586.0,1475326.0,578.0,0.0484192537738536,18447213.0,6.4711130076939,7.997554969414621,139.58347899121512,9.032604665592203,11.16326546054374,1872990,1442793,323761,641938,0.0,628471,0.0,197687,0.0,22.4
45,1.HANDHOLDING,1435293,84385,5.9,420416,123777,126,295,30503,24.6,29.4,1.5,2.3,0.2,411228.0,-231191.0,180037.0,5223.0,1.2700983396072252,16306328.0,2.52189211452143,1.10409284052179,131.7395638931304,3.3223296735257764,1.4545270930786818,1279005,1012824,283728,376343,26.2,371119,25.9,150133,10.5,28.0
45,2.HOOK,1396420,140318,10.0,707436,224368,1389,3764,40836,18.2,31.7,1.6,2.7,1.7,486616.0,-39615.0,447001.0,58262.0,11.972890328308152,28656366.0,1.6981078480083622,1.559866313823602,127.72037902018113,2.1688297796477216,1.9922671682236326,1972081,1571056,476471,538968,38.6,531349,38.1,229628,16.4,30.3
45,3.DETOX,280707,30816,11.0,151810,52359,1990,7726,23010,43.9,34.5,1.7,3.9,14.8,306290.0,-8956.0,297334.0,128189.0,41.85216624767377,5389112.0,5.683496650283015,5.517309716331744,102.92618270020436,5.849806146030291,5.678756278767738,910900,739057,105013,165432,58.9,163525,58.3,49656,17.7,14.2
45,4.SUSTENANCE,546920,91684,16.8,535628,145307,819,1904,18490,12.7,27.1,1.6,2.3,1.3,206113.0,8567.0,214680.0,30063.0,14.58568843304401,19281147.0,1.0689872340063586,1.1134192379737575,132.69248556504505,1.4184657311760618,1.4774236616267626,1082332,844241,359094,283838,51.9,277699,50.8,156753,28.7,42.5
45,5.COMMITTED,731851,243629,33.3,1931597,598344,7099,27548,71201,11.9,31.0,2.5,3.9,4.6,809666.0,39146.0,848812.0,400358.0,49.447302961962095,70148283.0,1.1542206956084726,1.2100253401783192,117.23738016926718,1.3531781049028653,1.4186020082093245,3850780,2941495,1257377,553483,75.6,541942,74.1,336299,46.0,42.7
45,6.CHURN_OTB,366298,47781,13.0,251682,79320,572,1646,17249,21.7,31.5,1.7,2.9,2.1,196374.0,4645.0,201019.0,24785.0,12.621324615274935,9877239.0,1.9881466875510454,2.0351739995357003,124.52394099848713,2.4757186081694402,2.5342788703983863,633893,499854,169320,165952,45.3,162543,44.4,76686,20.9,33.9
45,7.SOFT_CHURN,255471,17389,6.8,73088,24437,78,159,7423,30.4,33.4,1.4,2.0,0.7,88742.0,4947.0,93689.0,2314.0,2.6075589912330126,3238016.0,2.740628829505475,2.893407568091078,132.50464459630888,3.6314604902402094,3.8338994148217864,228041,183339,49895,76403,29.9,75422,29.5,29099,11.4,27.2
45,8.DORMANT,6538406,199781,3.1,970308,267551,476,1053,61089,22.8,27.6,1.3,2.2,0.4,792070.0,127197.0,919267.0,17204.0,2.1720302498516544,36052997.0,2.1969602138762556,2.549765835001179,134.75186786818213,2.960444924519064,3.43585708892884,2806183,2249584,669350,1015634,15.5,1000743,15.3,391806,6.0,29.8
45,9.INACTIVE,16943555,65503,0.4,307293,83707,82,203,24670,29.5,27.2,1.3,2.5,0.2,377307.0,66251.0,443558.0,3175.0,0.8414898212861145,11743610.0,3.212870659022226,3.7770157558025175,140.29424062503733,4.507472493339864,5.298935572891156,1194370,945731,204742,463068,2.7,457707,2.7,134982,0.8,21.6
45,TOTAL,28494921,1019023,3.6,5819403,1731329,12644,44330,363583,21.0,29.8,1.7,3.5,2.6,4868146.0,252577.0,5120723.0,670151.0,13.766041527924594,219140311.0,2.221474441550829,2.3367325603549043,126.57346523970892,2.8117971800853563,2.957683375025775,15830575,12429974,3898751,4281059,15.0,4210520,14.8,1752729,6.2,31.4
44,0.NEW,0,99558,0.0,463727,134688,11,28,68235,50.7,29.0,1.4,2.5,0.0,1209026.0,284316.0,1493342.0,486.0,0.040197646700732656,18895624.0,6.3984444228991855,7.903110265106884,140.29181515799476,8.976493822760752,11.08741684485626,1850665,1460076,314061,638468,0.0,636965,0.0,194195,0.0,21.5
44,1.HANDHOLDING,1494564,87308,5.8,424025,128465,132,332,29434,22.9,30.3,1.5,2.5,0.3,405632.0,-235755.0,169877.0,6123.0,1.509496292205743,16922303.0,2.3970259839928407,1.0038645449144836,131.72695286653953,3.1575292881329546,1.3223601759234032,1267531,1029500,281593,380337,25.4,381561,25.5,151114,10.1,27.4
44,2.HOOK,1323999,134198,10.1,649346,213158,1216,3006,36675,17.2,32.8,1.6,2.5,1.4,464360.0,-21916.0,442444.0,46081.0,9.923550693427513,27634010.0,1.6803931097947782,1.6010850397752625,129.64097054766887,2.1784779365541054,2.07566218485818,1816679,1487593,431231,504469,38.1,506358,38.2,212383,16.0,29.0
44,3.DETOX,262696,29543,11.2,145721,49568,1809,7048,21869,44.1,34.0,1.7,3.9,14.2,298799.0,-2302.0,296497.0,115524.0,38.662779995916985,5169121.0,5.7804605463869,5.735926862613586,104.28342882504842,6.028062459651388,5.9816212072304715,839216,690128,97825,152879,58.2,152666,58.1,47312,18.0,14.2
44,4.SUSTENANCE,516110,86418,16.7,482288,137549,794,1844,16187,11.8,28.5,1.6,2.3,1.3,198889.0,14655.0,213544.0,28464.0,14.311500384636657,18513921.0,1.0742673040465065,1.1534239559518484,134.5987320882013,1.4459501704847,1.5524940203127613,990811,806952,320575,264738,51.3,265651,51.5,143558,27.8,39.7
44,5.COMMITTED,700016,233707,33.4,1782319,575192,6523,24820,61011,10.6,32.3,2.5,3.8,4.3,752790.0,49195.0,801985.0,359410.0,47.74372667012049,68156844.0,1.104496563837375,1.1766756688440563,118.49407502190573,1.3087629869678299,1.394290949804587,3643366,2927247,1148974,525619,75.1,525711,75.1,316248,45.2,39.3
44,6.CHURN_OTB,428407,62178,14.5,326114,109410,1111,3412,22314,20.4,33.5,1.8,3.1,3.1,282265.0,15603.0,297868.0,49819.0,17.649726321010398,13219662.0,2.135190748447275,2.2532194847341787,120.82681656155745,2.5798830088657345,2.7224933735490358,838534,689913,222080,203143,47.4,203750,47.6,96016,22.4,32.2
44,7.SOFT_CHURN,352333,27363,7.8,114000,39073,116,278,10702,27.4,34.3,1.4,2.4,0.7,141540.0,9184.0,150724.0,4069.0,2.874805708633602,5143132.0,2.7520195865087653,2.930587820806466,131.62879737926446,3.6224502853632945,3.8574975046707447,361212,297746,77763,116690,33.1,117259,33.3,44888,12.7,26.1
44,8.DORMANT,6448166,197467,3.1,899242,263741,387,890,57650,21.9,29.3,1.3,2.3,0.3,756004.0,117821.0,873825.0,14719.0,1.9469473706488325,35640308.0,2.1212050131553295,2.4517885760134286,135.13374105656686,2.8664636897562383,3.313193625564474,2699411,2228618,614796,991112,15.4,997157,15.5,371662,5.8,27.6
44,9.INACTIVE,16698577,65175,0.4,292454,83650,75,182,24349,29.1,28.6,1.3,2.4,0.2,371176.0,69514.0,440690.0,2897.0,0.7804922732073194,11695765.0,3.173593176675489,3.767945063875685,139.81787208607292,4.437250448296473,5.268260609683204,1168268,945173,191376,455620,2.7,458130,2.7,128614,0.8,20.2
44,TOTAL,28224868,1022915,3.6,5579236,1734494,12174,41840,348426,20.1,31.1,1.7,3.4,2.4,4880481.0,300315.0,5180796.0,627592.0,12.859224326454708,220990690.0,2.20845547837332,2.344350343446595,127.40931360961756,2.8137779663694427,2.9869206811900186,15475693,12562946,3700274,4233075,15.0,4245208,15.0,1705990,6.0,29.5
