week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,98988,0.0,453976,137166,6,19,79202,57.7,30.2,1.4,3.2,0.0,1377961.0,421053.0,1799014.0,359.0,0.026052986985843577,18603190.0,7.40712211185286,9.670459743732124,135.62537363486578,10.045937039791202,13.115597159645976,1912391,1468402,317079,651018,0.0,639228,0.0,192560,0.0,21.6
46,1.HANDHOLDING,1374409,81138,5.9,395623,120010,132,339,34355,28.6,30.3,1.5,2.6,0.3,449546.0,-241332.0,208214.0,6043.0,1.3442450828168864,15839633.0,2.8381086859777622,1.3145127794311902,131.98594283809683,3.74590450795767,1.7349720856595283,1235800,951360,268869,357523,26.0,344080,25.0,141513,10.3,28.3
46,2.HOOK,1430627,145605,10.2,724996,234591,1679,4607,45358,19.3,32.4,1.6,2.7,2.0,543174.0,-39996.0,503178.0,70299.0,12.942261595731754,29817405.0,1.82166757972399,1.6875311583955748,127.10378914792128,2.315408519508421,2.1449160453725846,2030980,1562925,491685,543162,38.0,518307,36.2,233696,16.3,31.5
46,3.DETOX,287317,31184,10.9,149933,53678,2058,8656,24876,46.3,35.8,1.7,4.2,16.1,338555.0,-10791.0,327764.0,144007.0,42.53577705247301,5545814.0,6.104694459641092,5.910115268921749,103.31633071276873,6.30714631692686,6.106114236745035,943161,746182,104142,163794,57.0,158022,55.0,49282,17.2,14.0
46,4.SUSTENANCE,544450,89900,16.5,526448,143851,855,2126,18420,12.8,27.3,1.6,2.5,1.5,211335.0,9133.0,220468.0,34079.0,16.12558260581541,19032334.0,1.1103998069811092,1.1583865646746216,132.30588595143587,1.46912430222939,1.5326136071351606,1059505,788171,352490,275224,50.6,256351,47.1,152346,28.0,44.7
46,5.COMMITTED,741160,243832,32.9,1924757,621454,7287,29783,76612,12.3,32.3,2.5,4.1,4.8,879380.0,38344.0,917724.0,437687.0,49.772225886419974,71742789.0,1.2257399137354417,1.2791864001830204,115.4434423143145,1.415036350236703,1.4767368139878414,3859655,2760568,1265468,544829,73.5,493757,66.6,332390,44.8,45.8
46,6.CHURN_OTB,319759,37688,11.8,175274,58737,293,701,12818,21.8,33.5,1.6,2.4,1.2,147000.0,1362.0,148362.0,10614.0,7.220408163265306,7602925.0,1.9334663961567422,1.9513805541946028,129.44013143333845,2.502681444404719,2.525869554114102,480363,368681,121335,136206,42.6,129252,40.4,60553,18.9,32.9
46,7.SOFT_CHURN,235446,15683,6.7,63253,21827,62,115,6242,28.6,34.5,1.4,1.9,0.5,74530.0,4171.0,78701.0,1634.0,2.192405742653965,2939398.0,2.535553198307953,2.6774530022814194,134.66798002474,3.4145782746140103,3.6056718742841434,201098,158652,43563,68622,29.1,66405,28.2,25852,11.0,27.5
46,8.DORMANT,6636272,197562,3.0,920188,264917,399,938,61839,23.3,28.8,1.3,2.4,0.4,806771.0,130000.0,936771.0,15550.0,1.9274366579859712,35767050.0,2.2556263376487578,2.6190893573834018,135.01228686720748,3.0453727016386263,3.5360924364989788,2751211,2155831,642090,1000039,15.1,966712,14.6,379018,5.7,29.8
46,9.INACTIVE,17202238,64478,0.4,289745,82672,86,230,25587,31.0,28.5,1.3,2.7,0.3,388042.0,75940.0,463982.0,3758.0,0.9684518686121606,11535645.0,3.3638517828868695,4.022159142379988,139.53509047803368,4.693753628798142,5.61232339849042,1180743,931485,195408,461189,2.7,453751,2.6,130361,0.8,21.0
46,TOTAL,28771678,1006058,3.5,5624193,1738903,12857,47514,385309,22.2,30.9,1.7,3.7,2.7,5216294.0,387884.0,5604178.0,724030.0,13.880160895839076,218426183.0,2.3881267018249366,2.565707976502066,125.61148206656725,2.999761343789734,3.2228238147843786,15654907,11892257,3802129,4201606,14.6,4025865,14.0,1697571,5.9,32.0
