week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
45,0.NEW,0,789391,0.0,2551630,1403681,11055,40953,584543,41.6,55.0,1.8,3.7,2.9,6663715.0,1460028.0,8123743.0,527677.0,7.9186609871520615,83311392.0,7.9985639899042855,9.75105901483437,59.352083557446456,4.747314382683815,5.787456694220411,6098556,4768061,2087213,1949730,0.0,1917012,0.0,1056948,0.0,43.8
45,1.HANDHOLDING,928984,125971,13.6,495588,275882,4207,16975,94821,34.4,55.7,2.2,4.0,6.2,983662.0,43593.0,1027255.0,212556.0,21.60864199287967,15888181.0,6.191155551412714,6.465529313896915,57.590495211720956,3.5655171413865347,3.723530349932217,1434796,1157122,396554,365074,39.3,362807,39.1,163902,17.6,34.3
45,2.HOOK,506112,95229,18.8,396387,225131,4140,18483,65789,29.2,56.8,2.4,4.5,8.2,659508.0,37614.0,697122.0,232809.0,35.30040575701887,12966075.0,5.086412040652241,5.376507539868465,57.593467803190144,2.929441080970635,3.0965171389102344,1194399,958234,312693,272600,53.9,270630,53.5,119949,23.7,32.6
45,3.DETOX,24861,5807,23.4,26582,16003,262,1255,6685,41.8,60.2,2.8,4.8,7.8,63171.0,4104.0,67275.0,17821.0,28.210729606939893,733055.0,8.617498004924597,9.177346856647864,45.80734862213335,3.947447353621196,4.203899268887084,97847,79525,21691,16802,67.6,16675,67.1,7228,29.1,27.3
45,4.SUSTENANCE,298135,65055,21.8,320449,170825,3516,17467,47733,27.9,53.3,2.6,5.0,10.2,495888.0,24446.0,520334.0,227208.0,45.81841060884716,10167338.0,4.877264825857073,5.117701408175867,59.51902824528026,2.90290062929899,3.0460061466412998,981477,777107,253667,196121,65.8,194208,65.1,85773,28.8,32.6
45,5.COMMITTED,245855,54197,22.0,320804,156716,2508,12995,33650,21.5,48.9,2.9,5.2,8.3,339132.0,20625.0,359757.0,163354.0,48.168264864418575,9502794.0,3.5687609349418707,3.7858023650728407,60.637037698767195,2.1639909134995787,2.2955984073100386,1559954,1227166,250186,204943,83.4,203122,82.6,77844,31.7,20.4
45,6.CHURN_OTB,125256,24028,19.2,110861,64163,1207,6139,19986,31.1,57.9,2.7,5.1,9.6,200836.0,10590.0,211426.0,79130.0,39.4003067179191,3654037.0,5.496277131293416,5.786093572670446,56.949285413711955,3.130090550628867,3.2951389430045355,340321,270459,89684,72414,57.8,71630,57.2,30875,24.6,33.2
45,7.SOFT_CHURN,85258,13372,15.7,52078,31611,595,2677,10798,34.2,60.7,2.4,4.5,8.5,107659.0,6667.0,114326.0,34028.0,31.607204228164854,1756496.0,6.1291912990408175,6.508753791639719,55.56597386985543,3.4057448356584734,3.616652431115751,143665,115220,41997,37730,44.3,37478,44.0,16626,19.5,36.4
45,8.DORMANT,3625949,360514,9.9,1329628,774140,14610,65313,272142,35.2,58.2,2.1,4.5,8.4,2787929.0,159481.0,2947410.0,848258.0,30.42609765169773,43862692.0,6.3560371533967865,6.719628608294265,56.65989614281654,3.6013240499134525,3.8073345906425193,3424342,2762809,1081550,977814,27.0,968901,26.7,459618,12.7,39.1
45,9.INACTIVE,5922195,263875,4.5,844115,500847,8257,34113,177095,35.4,59.3,1.9,4.1,6.8,1840387.0,112515.0,1952902.0,441118.0,23.968763091675825,28543887.0,6.447569667018371,6.841752141185256,56.99123085493174,3.6745493134629936,3.899198757305125,2042249,1643922,696735,664806,11.2,656993,11.1,336288,5.7,42.4
