week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,813299,0.0,2620076,1465303,11366,43653,613046,41.8,55.9,1.8,3.8,3.0,7124185.0,1191643.0,8315828.0,559888.0,7.858976149552546,87165746.0,8.173147511408898,9.54024761056941,59.486499379309265,4.861919343644284,5.675159335645938,6161610,4712773,2144402,1950230,0.0,1890532,0.0,1075406,0.0,45.5
46,1.HANDHOLDING,897943,125925,14.0,495642,282432,4212,17857,96120,34.0,57.0,2.2,4.2,6.3,990467.0,-17619.0,972848.0,220116.0,22.223456208031163,16294666.0,6.078473777860804,5.970346369787512,57.69412106276909,3.5069220201676865,3.444538862451847,1372635,1065836,397439,342501,38.1,330426,36.8,161073,17.9,37.3
46,2.HOOK,515841,100304,19.4,418330,242346,4468,20795,69260,28.6,57.9,2.4,4.7,8.6,683957.0,7348.0,691305.0,260934.0,38.150643973232235,14045832.0,4.8694659027674545,4.9217803544852305,57.957762867965634,2.8222335008624033,2.8525537867346684,1198137,925240,330161,268027,52.0,256830,49.8,124388,24.1,35.7
46,3.DETOX,23670,5694,24.1,26170,15660,294,1336,6612,42.2,59.8,2.8,4.5,8.5,65596.0,2186.0,67782.0,21583.0,32.90292090981158,727337.0,9.018652976543198,9.319201415574899,46.44553001277139,4.1887611749680715,4.328352490421456,92525,71939,21278,15305,64.7,14601,61.7,7070,29.9,29.6
46,4.SUSTENANCE,296290,66247,22.4,328877,178795,3510,18160,47946,26.8,54.4,2.7,5.2,10.2,489467.0,7017.0,496484.0,233885.0,47.78360951810847,10720803.0,4.565581514742878,4.631033701486726,59.961425095780086,2.737587740149333,2.7768338040772953,945631,715712,260983,185714,62.7,175933,59.4,86118,29.1,36.5
46,5.COMMITTED,250792,57241,22.8,334308,169205,2635,14625,35749,21.1,50.6,3.0,5.6,8.6,356861.0,10859.0,367720.0,182352.0,51.09888724181124,10352913.0,3.446962222130139,3.5518505757751466,61.18562099228746,2.1090452409798766,2.173221831506161,1491730,1119928,261604,190631,76.0,177907,70.9,80063,31.9,23.4
46,6.CHURN_OTB,109798,21971,20.0,100780,60523,1098,5984,18319,30.3,60.1,2.8,5.4,9.9,180244.0,4133.0,184377.0,74445.0,41.30234570914982,3464897.0,5.2020016756630865,5.321283720699346,57.24926061166829,2.9781074963237115,3.0463955851494475,276446,210177,82168,59942,54.6,57085,52.0,27606,25.1,39.1
46,7.SOFT_CHURN,79158,13028,16.5,51294,31844,591,2903,10287,32.3,62.1,2.4,4.9,9.1,100930.0,1825.0,102755.0,37401.0,37.056375705934805,1774794.0,5.686857178917666,5.78968601426419,55.73401582715739,3.1695138801658085,3.226824519532722,133321,103031,41603,34491,43.6,33169,41.9,15956,20.2,40.4
46,8.DORMANT,3628099,376135,10.4,1391121,827788,15478,72854,285868,34.5,59.5,2.2,4.7,8.8,2908863.0,20824.0,2929687.0,936323.0,32.18862490258221,46836606.0,6.210661378836886,6.2551223288895015,56.58043605367558,3.5140192899631306,3.539175489376507,3403731,2642924,1134411,958145,26.4,920885,25.4,471800,13.0,42.9
46,9.INACTIVE,6132883,277841,4.5,887337,537142,9002,38896,188903,35.2,60.5,1.9,4.3,7.2,1958546.0,-14436.0,1944110.0,496103.0,25.330168400435834,30577800.0,6.405123978834317,6.357913257330481,56.926846159860894,3.646235073779373,3.619359498977924,2080896,1629515,734949,671061,10.9,647938,10.6,349918,5.7,45.1
46,TOTAL,11934474,1857685,15.6,6653935,3811038,52654,237063,1372110,36.0,57.3,2.1,4.5,6.2,14859116.0,1213780.0,16072896.0,3023030.0,20.34461538627197,221961394.0,6.694459668062817,7.2413025122738235,58.241716298814126,3.8989682076116794,4.21745886553742,17156662,13197075,5408998,4676047,39.2,4505306,37.8,2399398,20.1,41.0
