week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
45,0.NEW,0,192897,0.0,574939,277497,2,5,200096,72.1,48.3,1.4,2.5,0.0,2709703.0,772144.0,3481847.0,119.0,0.004391625207633456,18796523.0,14.415980019283353,18.52388870005373,67.73595029856179,9.76480106091237,12.547332043229297,2145356,1668218,470410,739385,0.0,726333,0.0,290233,0.0,28.2
45,1.HANDHOLDING,1435293,138673,9.7,437833,228130,991,2237,104066,45.6,52.1,1.6,2.3,1.0,1082963.0,-465771.0,617192.0,28688.0,2.649028637174123,13860422.0,7.813347962998529,4.452909153848274,60.75668259325823,4.747131021785824,2.7054398807697364,1399062,1121583,351761,413735,28.8,410959,28.6,189071,13.2,31.4
45,2.HOOK,1396420,263693,18.9,846611,494186,6190,18898,153313,31.0,58.4,1.9,3.1,3.8,1476147.0,-195538.0,1280609.0,223941.0,15.170643574115585,28436886.0,5.190958672479117,4.503337672064374,57.54288061580053,2.9870271517202025,2.5913502203623735,2158263,1732994,691385,594850,42.6,587685,42.1,329768,23.6,39.9
45,3.DETOX,280707,124157,44.2,562155,366222,15956,76320,234977,64.2,65.1,2.9,4.8,20.8,2559125.0,-11666.0,2547459.0,1059713.0,41.40919259512529,16473198.0,15.535083108938531,15.46426504434658,44.981453872241424,6.987906242661555,6.956051247603912,1038758,833750,465286,186531,66.5,183956,65.5,139977,49.9,55.8
45,4.SUSTENANCE,546920,113584,20.8,378917,195128,1532,3527,38448,19.7,51.5,1.7,2.3,1.8,353795.0,42425.0,396220.0,37787.0,10.680478808349468,12608611.0,2.8059791835912775,3.1424555805552252,64.61712824402443,1.8131431675618055,2.0305645524988725,1133113,903905,306628,300903,55.0,297606,54.4,152651,27.9,33.9
45,5.COMMITTED,731851,342378,46.8,1919396,1117548,19501,98141,247351,22.1,58.2,3.3,5.0,8.8,2394668.0,105704.0,2500372.0,1224141.0,51.11944536779211,62428254.0,3.8358721357159853,4.005192905122735,55.8618099625251,2.1427876028591166,2.2373732492922005,4030460,3141615,1533849,586089,80.1,578104,79.0,399315,54.6,48.8
45,6.CHURN_OTB,366298,82171,22.4,272839,158942,2540,8197,57687,36.3,58.3,1.9,3.2,5.2,547493.0,13945.0,561438.0,105151.0,19.205907655440342,8967706.0,6.105162234355141,6.260664656044701,56.42124800241598,3.444608725195354,3.5323451321865837,678466,543136,221238,179094,48.9,176518,48.2,102088,27.9,40.7
45,7.SOFT_CHURN,255471,34330,13.4,91256,54126,445,1042,22899,42.3,59.3,1.6,2.3,1.9,217103.0,24338.0,241441.0,12452.0,5.735526455184866,3175476.0,6.836864772399476,7.60330104840975,58.668218601042014,4.011066770128958,4.460721279976352,250122,202636,75237,84384,33.0,83475,32.7,43340,17.0,37.1
45,8.DORMANT,6538406,344259,5.3,930933,498093,2756,6274,166829,33.5,53.5,1.4,2.3,1.3,1786733.0,454918.0,2241651.0,69710.0,3.901534252739497,30868757.0,5.788159853666929,7.2618764662276485,61.97388238742564,3.587147380107731,4.500466780300065,3077806,2499720,771391,1124083,17.2,1114304,17.0,481187,7.4,30.9
45,9.INACTIVE,16943555,161297,1.0,433243,229127,444,1729,87576,38.2,52.9,1.4,3.9,0.8,1014157.0,259965.0,1274122.0,22257.0,2.1946306143920515,14770114.0,6.866277403139881,8.626351834522062,64.46256442933395,4.426178494895844,5.560767609229816,1406200,1112068,344785,548980,3.2,540516,3.2,227421,1.3,31.0
45,TOTAL,28494921,1797439,6.3,6448122,3618999,50357,216370,1313242,36.3,56.1,2.0,4.3,6.0,14141887.0,1000464.0,15142351.0,2783959.0,19.685908959674194,210385947.0,6.721878149019146,7.197415614456416,58.1337400203758,3.907679167637239,4.184126881494026,17317606,13759625,5231970,4758034,16.7,4699456,16.5,2355051,8.3,38.0
44,0.NEW,0,183964,0.0,587878,265419,0,0,190653,71.8,45.1,1.4,0.0,0.0,2598318.0,743207.0,3341525.0,,0.0,17821563.0,14.579630305153369,18.749898648059094,67.14501599357996,9.78949510020006,12.589622446019312,2112755,1682274,457779,733817,0.0,734615,0.0,280761,0.0,27.2
