week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,203879,0.0,600470,296570,1,2,217593,73.4,49.4,1.5,2.0,0.0,3034429.0,782078.0,3816507.0,80.0,0.0026364103427695953,20293625.0,14.952621820892029,18.80643305471546,68.4277742185656,10.23174629935597,12.868823549246384,2194697,1700675,491864,751101,0.0,740795,0.0,301146,0.0,28.9
46,1.HANDHOLDING,1374409,140855,10.2,444245,236144,1038,2356,115377,48.9,53.2,1.7,2.3,1.0,1208692.0,-638476.0,570216.0,30988.0,2.5637631423058975,14291551.0,8.457388564754098,3.9898818539709233,60.520491733857305,5.118453147232198,2.414696117623145,1354673,1055407,356837,393541,28.6,381830,27.8,188635,13.7,33.8
46,2.HOOK,1430627,284166,19.9,915490,541579,7239,22313,169380,31.3,59.2,1.9,3.1,4.1,1605192.0,-278607.0,1326585.0,257841.0,16.062938265329006,31227825.0,5.140261929865432,4.248086442139342,57.66070139351784,2.9639110822243846,2.4494764383404823,2230729,1725675,745438,602841,42.1,574335,40.1,350072,24.5,43.2
46,3.DETOX,287317,130803,45.5,609124,402413,16950,86722,250361,62.2,66.1,3.1,5.1,21.6,2704389.0,-72117.0,2632272.0,1204666.0,44.544849132280895,17975159.0,15.045146471305205,14.643942787933058,44.66843516486794,6.720431496994381,6.541220089808232,1106794,839578,505438,189956,66.1,177507,61.8,146471,51.0,60.2
46,4.SUSTENANCE,544450,116651,21.4,389371,204886,1722,4250,40042,19.5,52.6,1.8,2.5,2.1,365682.0,12361.0,378043.0,44202.0,12.087551479154019,13272604.0,2.7551639452212995,2.848295632115597,64.78043399744249,1.7848071610554161,1.8451382720146814,1099639,845524,315929,288994,53.1,275222,50.6,154590,28.4,37.4
46,5.COMMITTED,741160,353199,47.7,2009070,1192728,20282,107569,259816,21.8,59.4,3.4,5.3,9.0,2461376.0,69651.0,2531027.0,1329392.0,54.01011466756806,66768848.0,3.686413759901923,3.7907303717446195,55.97994513417979,2.063652400211951,2.1220487822873277,4017469,2959635,1609153,571775,77.1,528559,71.3,407688,55.0,54.4
46,6.CHURN_OTB,319759,69393,21.7,210036,124756,1494,4136,43276,34.7,59.4,1.8,2.8,3.3,400444.0,-14004.0,386440.0,49374.0,12.329813906563714,7192627.0,5.567423418453369,5.37272404088242,57.653555740806055,3.209817563884703,3.0975664497098334,520837,402855,173303,148225,46.4,140969,44.1,86078,26.9,43.0
46,7.SOFT_CHURN,235446,32291,13.7,83093,49939,381,800,20299,40.6,60.1,1.5,2.1,1.6,189958.0,7858.0,197816.0,8818.0,4.642078775308226,2937913.0,6.465746262738209,6.73321504074491,58.83003263982058,3.803800636776868,3.9611526061795392,222069,175229,68390,76156,32.3,73435,31.2,40201,17.1,39.0
46,8.DORMANT,6636272,359910,5.4,953830,524537,3085,7001,168686,32.2,55.0,1.5,2.3,1.3,1843748.0,277522.0,2121270.0,74094.0,4.018661986345205,32639296.0,5.648859583245913,6.499129147883582,62.224964111206646,3.515000848367227,4.044080779811529,3019040,2397405,793479,1106694,16.7,1076985,16.2,494023,7.4,33.1
46,9.INACTIVE,17202238,166538,1.0,439206,237486,462,1914,87280,36.8,54.1,1.4,4.1,0.8,1045206.0,165860.0,1211066.0,23575.0,2.2555362292217995,15361946.0,6.803864562471447,7.88354548310481,64.6856909459926,4.401126803264193,5.099525866787937,1390715,1095092,349167,546764,3.2,535669,3.1,230494,1.3,31.9
46,TOTAL,28771678,1857685,6.5,6653935,3811038,52654,237063,1372110,36.0,57.3,2.1,4.5,6.2,14859116.0,312126.0,15171242.0,3023030.0,20.34461538627197,221961394.0,6.694459668062817,6.835081419609394,58.241716298814126,3.8989682076116794,3.9808687292018603,17156662,13197075,5408998,4676047,16.3,4505306,15.7,2399398,8.3,41.0
