week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
45,0.NEW,0,923272,0.0,3371349,1627295,11074,40997,709405,43.6,48.3,1.8,3.7,2.5,8733298.0,1931995.0,10665293.0,528487.0,6.051402345368268,114196237.0,7.647623275012118,9.339443470453409,70.17549798899401,5.366757717561966,6.554000964791264,10783283,8444489,2649245,1973142,0.0,1924221,0.0,1288461,0.0,31.4
45,1.HANDHOLDING,928984,208310,22.4,1037370,437922,4407,17437,125754,28.7,42.2,2.1,4.0,4.0,1338046.0,-316994.0,1021052.0,220839.0,16.50458952831218,36982916.0,3.618011083820432,2.7608747779650473,84.45092048355643,3.055443663483451,2.3315841633898273,2852048,2280447,759899,373247,40.2,365099,39.3,282877,30.5,33.3
45,2.HOOK,506112,182367,36.0,1020219,426978,5848,23086,93852,22.0,41.9,2.3,3.9,5.4,975543.0,21400.0,996943.0,302959.0,31.055422467282323,38301537.0,2.547007447769002,2.6028798792069363,89.70377162289392,2.284761744164805,2.3348814224620473,2399626,1904553,722532,278549,55.0,271158,53.6,232900,46.0,37.9
45,3.DETOX,24861,12745,51.3,85883,38317,2275,9318,20558,53.7,44.6,3.0,4.1,24.3,260840.0,-2737.0,258103.0,152821.0,58.58802330930839,2854738.0,9.137090689233128,9.041214990657636,74.50317091630347,6.807422292977008,6.735991857400109,197660,157253,61177,17298,69.6,16823,67.7,14892,59.9,38.9
45,4.SUSTENANCE,298135,133670,44.8,904916,330171,4687,20222,64535,19.5,36.5,2.5,4.3,6.1,675424.0,31995.0,707419.0,268860.0,39.806106978727435,30622459.0,2.2056491283080826,2.310131266728123,92.74727035384694,2.045679360089166,2.142583691481081,1981408,1546588,641574,201456,67.6,194637,65.3,178932,60.0,41.5
45,5.COMMITTED,245855,174455,71.0,1759161,618477,8609,38088,86700,14.0,35.2,3.5,4.4,6.2,940978.0,45736.0,986714.0,526202.0,55.92075478916617,62429501.0,1.50726497077079,1.5805252071452565,100.94069949246294,1.5214438047009025,1.5953931997471207,3217520,2449339,1181472,211249,85.9,203606,82.8,202881,82.5,48.2
45,6.CHURN_OTB,125256,50261,40.1,302878,127292,1793,7861,32156,25.3,42.0,2.5,4.4,6.2,333041.0,13123.0,346164.0,105207.0,31.58980425833456,11458678.0,2.906452210281151,3.0209767653825335,90.01883857587279,2.6163545234578764,2.7194481978443266,687717,537155,219349,74685,59.6,71836,57.4,64699,51.7,40.8
45,7.SOFT_CHURN,85258,24041,28.2,110531,52120,690,2880,16283,31.2,47.2,2.2,4.2,5.5,170479.0,8225.0,178704.0,36928.0,21.66131898943565,4426394.0,3.851419462433755,4.037236630991276,84.92697620874904,3.2708940905602457,3.4287029930928625,286471,228142,81867,38591,45.3,37580,44.1,31013,36.4,35.9
45,8.DORMANT,3625949,534573,14.7,2441072,1084324,15229,66648,331897,30.6,44.4,2.0,4.4,6.1,3485770.0,252300.0,3738070.0,869733.0,24.950957751085127,85017508.0,4.10006136618354,4.396823769522861,78.4060004205385,3.214694132012203,3.447373663222432,6770779,5436670,1844033,997545,27.5,971326,26.8,744278,20.5,33.9
45,9.INACTIVE,5922195,329310,5.6,1234146,607432,8283,34163,195685,32.2,49.2,1.8,4.1,5.6,2096614.0,147197.0,2243811.0,442074.0,21.08514013547558,43236290.0,4.849199595987537,5.189647400366683,71.17881507724321,3.4516028131543943,3.693929526267961,3971669,3204963,969573,672663,11.4,657887,11.1,455288,7.7,30.3
