week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
45,0.NEW,0,557362,0.0,2741182,943637,4704,17549,376626,39.9,34.4,1.7,3.7,1.9,5259373.0,1255788.0,6515161.0,273824.0,5.206400078488444,100241675.0,5.246693054560391,6.499453445884658,106.2290637183578,5.573512908035611,6.9043085423738155,8048812,6309735,1954378,1348484,0.0,1306273,0.0,874073,0.0,31.0
45,1.HANDHOLDING,1181844,204830,17.3,883864,376156,1979,5183,138589,36.8,42.6,1.8,2.6,1.4,1463419.0,-551543.0,911876.0,71225.0,4.867027146702346,30416041.0,4.811339516539973,2.998010161809027,80.86017769223407,3.890457682450898,2.4241963440700136,2619162,2079340,653615,375890,31.8,369170,31.2,272235,23.0,31.4
45,2.HOOK,1088533,317897,29.2,1326442,659495,7974,24761,185420,28.1,49.7,2.1,3.1,3.8,1842616.0,-195330.0,1647286.0,299867.0,16.273982207904414,47436695.0,3.884368419848811,3.4725985863897137,71.92881674614668,2.7939802424582445,2.497799073533537,3430646,2730284,996790,475938,43.7,464611,42.7,383506,35.2,36.5
45,3.DETOX,232548,130142,56.0,714255,428149,21018,103260,269504,62.9,59.9,3.3,4.9,24.1,3024651.0,18480.0,3043131.0,1438837.0,47.57034778557923,21858247.0,13.83757352545243,13.922118274169012,51.052897472608834,7.064482224646093,7.1076447685268445,1895919,1520905,572741,165273,71.1,162141,69.7,145174,62.4,37.7
45,4.SUSTENANCE,290042,117166,40.4,582555,244765,1998,5168,39528,16.1,42.0,2.1,2.6,2.1,371728.0,33616.0,405344.0,59858.0,16.102634184134637,19828928.0,1.874675221978717,2.044205314578781,81.01210548893837,1.518713868404388,1.6560537658570464,1367032,1066055,432010,169518,58.4,165419,57.0,146266,50.4,40.5
45,5.COMMITTED,379615,273756,72.1,2034794,1066411,14057,70908,199658,18.7,52.4,3.9,5.0,6.6,1869352.0,86542.0,1955894.0,853486.0,45.65678374110387,67349818.0,2.7755858226669594,2.9040820867548596,63.155591980952934,1.7529376572447208,1.8340902335028426,4336111,3352555,1552217,312150,82.2,306334,80.7,297116,78.3,46.3
45,6.CHURN_OTB,236514,87433,37.0,405018,196006,3053,10264,61297,31.3,48.4,2.2,3.4,5.2,598842.0,11825.0,610667.0,134144.0,22.40056642653655,13644692.0,4.388827538210463,4.475491275288588,69.613644480271,3.055222799302062,3.115552585124945,997418,791018,306763,125736,53.2,122591,51.8,105858,44.8,38.8
45,7.SOFT_CHURN,191349,43875,22.9,159340,77492,643,1578,27588,35.6,48.6,1.8,2.5,2.0,267829.0,22642.0,290471.0,19674.0,7.345731791553566,5896857.0,4.541894097143614,4.925861352920717,76.0963325246477,3.4562148350797504,3.748399834821659,440835,354325,122024,71810,37.5,70142,36.7,55405,29.0,34.4
45,8.DORMANT,5218992,536128,10.3,2175361,885402,5792,16079,240608,27.2,40.7,1.7,2.8,1.8,2657052.0,498826.0,3155878.0,210389.0,7.918136340575947,77060585.0,3.4480039309330444,4.0953205844466405,87.03457299622093,3.0009554981804873,3.5643447834994726,6178948,4949444,1620064,1066545,20.4,1041567,20.0,752776,14.4,32.7
45,9.INACTIVE,15958523,304415,1.9,1244714,472815,1677,5950,138007,29.2,38.0,1.6,3.5,1.3,1655171.0,324852.0,1980023.0,92806.0,5.607033956008171,45792720.0,3.6144850098443597,4.323881612623142,96.85124202912344,3.500673624990747,4.187733045694404,3833298,3035938,920119,727081,4.6,705925,4.4,463812,2.9,30.3
45,TOTAL,24777960,2573004,10.4,12267525,5350328,62895,260700,1676825,31.3,43.6,2.1,4.1,4.9,19010033.0,1505698.0,20515731.0,3454110.0,18.1699316355737,429526258.0,4.425813939412291,4.77636247328097,80.28036000783503,3.553059363837133,3.834480988829096,33148181,26189599,9130721,4838425,19.5,4714173,19.0,3496221,14.1,34.9
44,0.NEW,0,548562,0.0,2680457,932229,4680,17313,358769,38.5,34.8,1.7,3.7,1.9,5119106.0,1217201.0,6336307.0,266438.0,5.204775990182661,100141654.0,5.11186483898099,6.327344064039526,107.42173221386591,5.491253758464927,6.796942596722479,8007832,6484555,1877948,1327260,0.0,1327746,0.0,850911,0.0,29.0
44,1.HANDHOLDING,1229423,198052,16.1,881122,357784,2145,5610,120049,33.6,40.6,1.8,2.6,1.6,1324092.0,-464112.0,859980.0,77494.0,5.852614470897793,29575235.0,4.47702951472744,2.907770639861357,82.6622627059902,3.700813898888715,2.4036290052098472,2564970,2089184,626616,372713,30.3,375197,30.5,265953,21.6,30.0
44,2.HOOK,1048736,290596,27.7,1235294,589103,6974,19778,157654,26.8,47.7,2.0,2.8,3.4,1619583.0,37191.0,1656774.0,240740.0,14.864320013237975,43430664.0,3.7291232756653225,3.814756320557291,73.72337944298366,2.7492357024153673,2.8123672770296535,3154146,2579372,890735,442155,42.2,444792,42.4,352812,33.6,34.5
44,3.DETOX,213310,115291,54.0,676038,376256,19754,96749,238496,63.4,55.7,3.3,4.9,25.7,2763004.0,56764.0,2819768.0,1365853.0,49.433623693632,19385873.0,14.252667393415814,14.545478555440862,51.52309331944208,7.343415121619323,7.494280489879231,1725563,1417408,515202,148237,69.5,148788,69.8,130007,60.9,36.3
44,4.SUSTENANCE,274187,107711,39.3,536773,221775,1853,4607,35359,15.9,41.3,2.1,2.5,2.1,347446.0,54758.0,402204.0,55905.0,16.090270142698433,18258679.0,1.9029087482177653,2.202809962319837,82.32974411002142,1.566659903054898,1.813567805207981,1253159,1013521,385667,156969,57.2,157694,57.5,134498,49.1,38.1
44,5.COMMITTED,361694,255839,70.7,1978157,993418,12910,64093,183740,18.5,50.2,3.9,5.0,6.5,1772810.0,118050.0,1890860.0,781918.0,44.106136585420884,63079194.0,2.8104512559244177,2.9975969572471075,63.49713212363778,1.784555947244765,1.9033881004773419,4109046,3280745,1444471,293940,81.3,294508,81.4,278695,77.1,44.0
