,week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
0,45,0.NEW,0,276756,0.0,1045084,409656,15,37,269208,65.7,39.2,1.5,2.5,0.0,3903443.0,1053730.0,4957173.0,697.0,0.017856031201172913,37243736.0,10.480804074005894,13.310085218088755,90.91466010506376,9.528587400160134,12.100818735719725,4018346,3111011,794171,756903,0.0,732655,0.0,436500,0.0,25.5
1,45,1.HANDHOLDING,1435293,208408,14.5,858249,351907,1117,2532,134569,38.2,41.0,1.7,2.3,0.7,1494191.0,-696962.0,797229.0,33911.0,2.2695224372252274,30166750.0,4.953105654404269,2.6427407659094864,85.72364289428741,4.245982603358273,2.265453656790004,2678067,2134407,635489,421065,29.3,413160,28.8,293729,20.5,29.8
2,45,2.HOOK,1396420,369557,26.5,1554047,718554,7574,22662,194149,27.0,46.2,1.9,3.0,3.2,1962763.0,-235153.0,1727610.0,282203.0,14.377843886398919,57093252.0,3.4378195868051096,3.025944291980425,79.45575697859869,2.7315455762545335,2.4042869429437452,4130344,3304050,1167856,602870,43.2,588432,42.1,475553,34.1,35.3
3,45,3.DETOX,280707,140400,50.0,713965,418581,17936,84046,257987,61.6,58.6,3.0,4.7,20.1,2865415.0,-20622.0,2844793.0,1187902.0,41.45654294404127,21862310.0,13.106643351045705,13.012316630767746,52.229580415737935,6.845544828838385,6.796278378617281,1949658,1572807,570299,187709,66.9,184168,65.6,160449,57.2,36.3
4,45,4.SUSTENANCE,546920,187179,34.2,914545,340435,2350,5431,56938,16.7,37.2,1.8,2.3,1.6,559908.0,50992.0,610900.0,67850.0,12.118062253084435,31889758.0,1.7557612070935127,1.9156620755792502,93.67355882914507,1.6446840072260491,1.7944688413353505,2215445,1748146,665722,306934,56.1,298055,54.5,257866,47.1,38.1
5,45,5.COMMITTED,731851,494389,67.6,3850993,1715892,26517,125689,318552,18.6,44.6,3.5,4.7,7.3,3204334.0,144850.0,3349184.0,1624499.0,50.69693109394963,132576537.0,2.416969150431196,2.526226793810431,77.26391695980865,1.867445037333352,1.9518617721861282,7881240,6083110,2791226,594267,81.2,578656,79.1,561414,76.7,45.9
6,45,6.CHURN_OTB,366298,117598,32.1,524521,238262,3107,9843,74936,31.5,45.4,2.0,3.2,4.1,743867.0,18590.0,762457.0,129936.0,17.46763870423073,18844945.0,3.9473025790205276,4.045949722856713,79.09337200224962,3.1220547128790996,3.200078065323048,1312359,1042990,390558,182145,49.7,176782,48.3,149482,40.8,37.4
7,45,7.SOFT_CHURN,255471,48349,18.9,164344,78563,523,1201,30322,38.6,47.8,1.6,2.3,1.5,305845.0,29285.0,335130.0,14766.0,4.827935719073387,6413492.0,4.768774951305779,5.225390473707615,81.63501902931405,3.8929903389636342,4.265748507567175,478163,385975,125132,85602,33.5,83614,32.7,63452,24.8,32.4
8,45,8.DORMANT,6538406,513831,7.9,1901241,765644,3231,7327,227918,29.8,40.3,1.5,2.3,1.0,2578803.0,582115.0,3160918.0,86914.0,3.370323363203781,66921754.0,3.853459967591405,4.72330417400596,87.40583613271964,3.3681489047128954,4.128443506381556,5883989,4749304,1440741,1144186,17.5,1116963,17.1,770404,11.8,30.3
9,45,9.INACTIVE,16943555,216537,1.3,740536,312834,525,1932,112246,35.9,42.2,1.4,3.7,0.6,1391464.0,326216.0,1717680.0,25432.0,1.827715269672805,26513724.0,5.248089630864378,6.478456213846082,84.75333243828996,4.447930851505911,5.490707531790023,2600570,2057799,549527,556744,3.3,541688,3.2,327372,1.9,26.7
10,45,TOTAL,28494921,2573004,9.0,12267525,5350328,62895,260700,1676825,31.3,43.6,2.1,4.1,4.9,19010033.0,1253041.0,20263074.0,3454110.0,18.1699316355737,429526258.0,4.425813939412291,4.717540225445309,80.28036000783503,3.553059363837133,3.7872582765019267,33148181,26189599,9130721,4838425,17.0,4714173,16.5,3496221,12.3,34.9
11,44,0.NEW,0,270053,0.0,1051605,400107,11,28,258888,64.7,38.0,1.5,2.5,0.0,3807344.0,1027523.0,4834867.0,486.0,0.012764804020860736,36717187.0,10.369378242401849,13.167857875386805,91.76841944779771,9.515814519616002,12.083935047374828,3963420,3142350,771840,744205,0.0,741631,0.0,425602,0.0,24.6
12,44,1.HANDHOLDING,1494564,204265,13.7,864542,339239,1315,3065,119423,35.2,39.2,1.7,2.3,0.9,1374006.0,-634807.0,739199.0,42397.0,3.0856488254054204,29744625.0,4.61934215005232,2.485151518971915,87.68044063329982,4.05025955152562,2.178991802239719,2656433,2167473,616176,420951,28.2,423981,28.4,289533,19.4,28.4
13,44,2.HOOK,1323999,338506,25.6,1436501,643055,6537,17558,163144,25.4,44.8,1.9,2.7,2.7,1713524.0,-8825.0,1704699.0,218464.0,12.749398315985069,52605619.0,3.25730222849388,3.240526454027658,81.80578488620725,2.6646616541353385,2.6509381001625054,3808323,3128589,1043545,557399,42.1,560792,42.4,435697,32.9,33.4
14,44,3.DETOX,262696,125911,47.9,677915,367480,16590,77467,227020,61.8,54.2,2.9,4.7,21.1,2601239.0,35052.0,2636291.0,1105930.0,42.515508955540035,19479423.0,13.353778497443173,13.533722225755865,53.008117448568626,7.078586589746381,7.173971372591706,1781619,1470657,514262,171255,65.2,172063,65.5,145672,55.5,35.0
15,44,4.SUSTENANCE,516110,172141,33.4,834165,309870,2216,4935,50150,16.2,37.1,1.8,2.2,1.6,519565.0,80541.0,600106.0,62837.0,12.09415568793125,29610611.0,1.7546581527817848,2.0266586191011053,95.55817278213445,1.6767192693710267,1.9366379449446542,2045769,1670444,592572,283498,54.9,284865,55.2,235590,45.6,35.5
16,44,5.COMMITTED,700016,464376,66.3,3650083,1612286,24954,116454,290925,18.0,44.2,3.5,4.7,7.2,3048444.0,198068.0,3246512.0,1524555.0,50.010923605616505,125818387.0,2.422892291569435,2.5803160232852136,78.03726323989665,1.890758835591204,2.013608007512315,7512639,6052170,2574781,559875,80.0,560950,80.1,525986,75.1,42.5
17,44,6.CHURN_OTB,428407,145779,34.0,702803,319368,5438,19701,103741,32.5,45.4,2.2,3.6,6.2,1099233.0,72339.0,1171572.0,271125.0,24.664925452565562,24687839.0,4.452528226549112,4.745542937152174,77.30216865809975,3.441900879236492,3.6684076050199144,1738616,1435859,516315,219947,51.3,221073,51.6,182530,42.6,36.0
18,44,7.SOFT_CHURN,352333,73654,20.9,264587,122706,816,1941,45902,37.4,46.4,1.7,2.4,1.6,487895.0,56854.0,544749.0,24273.0,4.975045860277314,9923345.0,4.9166384923632105,5.489570301143415,80.87090280833863,3.9761299365964176,4.439465062833113,758836,628067,196866,129166,36.7,130112,36.9,96751,27.5,31.3
19,44,8.DORMANT,6448166,494260,7.7,1824667,730213,2992,6726,219094,30.0,40.0,1.5,2.2,0.9,2508476.0,626565.0,3135041.0,79828.0,3.18233062624478,64364730.0,3.897283496722506,4.870743651064799,88.1451439511485,3.435266148370407,4.2933240027224935,5686572,4711585,1348461,1106563,17.2,1115152,17.3,736325,11.4,28.6
20,44,9.INACTIVE,16698577,211550,1.3,736932,305389,550,2010,112733,36.9,41.4,1.4,3.7,0.7,1397573.0,398239.0,1795812.0,25980.0,1.8589368855866564,25842721.0,5.40799476959102,6.949005098959974,84.62230466716221,4.57636981030751,5.880408266178546,2539265,2058845,530203,541816,3.2,543452,3.3,317940,1.9,25.8
21,44,TOTAL,28224868,2500495,8.9,12043800,5149713,61419,249885,1591020,30.9,42.8,2.1,4.1,4.9,18557299.0,1851549.0,20408848.0,3355875.0,18.083854767873277,418794487.0,4.431123039114887,4.87323702520468,81.3238498922173,3.6035598488692475,3.9631039632694094,32491492,26466039,8705021,4734675,16.8,4754071,16.8,3391626,12.0,32.9
