week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,288974,0.0,1054446,433736,7,21,296795,68.4,41.1,1.5,3.0,0.0,4412390.0,1203131.0,5615521.0,439.0,0.009949256525375138,38896815.0,11.343833678927181,14.43696868239726,89.6785487024365,10.172985410480107,12.946863990999134,4107088,3169077,808943,767649,0.0,747211,0.0,443684,0.0,25.5
46,1.HANDHOLDING,1374409,207566,15.1,839868,356154,1170,2695,149732,42.0,42.4,1.7,2.3,0.8,1658238.0,-879808.0,778430.0,37031.0,2.233153503899923,30131184.0,5.503394755413527,2.5834696704915414,84.60155999932613,4.655957816000943,2.1856556433452945,2590473,2006767,625706,406248,29.6,384068,27.9,287405,20.9,31.2
46,2.HOOK,1430627,392221,27.4,1640486,776170,8914,26920,214738,27.7,47.3,2.0,3.0,3.5,2148366.0,-318603.0,1829763.0,328140.0,15.273933771061355,61045230.0,3.519301999517407,2.997388985183609,78.6493036319363,2.767906515325251,2.3574255639872708,4261709,3288600,1237123,620702,43.4,575086,40.2,496761,34.7,37.6
46,3.DETOX,287317,146607,51.0,759057,456091,18992,95378,275237,60.3,60.1,3.1,5.0,20.9,3042944.0,-82908.0,2960036.0,1348673.0,44.32132172001851,23520973.0,12.93715187717787,12.584666459163913,51.57078960119801,6.671791374966838,6.4900118616679565,2049955,1585760,609580,192410,67.0,177702,61.8,166068,57.8,38.4
46,4.SUSTENANCE,544450,188870,34.7,915819,348737,2577,6376,58462,16.8,38.1,1.8,2.5,1.8,577017.0,21494.0,598511.0,78281.0,13.566498040785627,32304938.0,1.7861572741603775,1.8526919940227096,92.63409962235151,1.6545907087576024,1.7162245474383275,2159144,1633695,668419,303466,55.7,275655,50.6,257593,47.3,40.9
46,5.COMMITTED,741160,505307,68.2,3933827,1814182,27469,137352,336428,18.5,46.1,3.6,5.0,7.6,3340756.0,107995.0,3448751.0,1767079.0,52.8945843395926,138511637.0,2.4118955434769713,2.4898637217030366,76.34936130994575,1.8414668429077128,1.9009950490083134,7877124,5720203,2874621,600303,81.0,529087,71.4,569390,76.8,50.3
46,6.CHURN_OTB,319759,97964,30.6,385310,183493,1787,4837,56094,30.6,47.6,1.9,2.7,2.6,547444.0,-12642.0,534802.0,59988.0,10.957833129963978,14795552.0,3.7000579633662873,3.6146133648815537,80.63278708179604,2.9834598595041775,2.9145634983350863,1001200,771536,294638,153394,48.0,141187,44.2,124988,39.1,38.2
46,7.SOFT_CHURN,235446,44986,19.1,146346,71766,443,915,26541,37.0,49.0,1.6,2.1,1.3,264488.0,12029.0,276517.0,10452.0,3.9517860923747015,5877311.0,4.50015321632631,4.70482164377553,81.89547975364378,3.6854220661594628,3.8530362567232395,423167,333881,111953,78153,33.2,73576,31.2,58254,24.7,33.5
46,8.DORMANT,6636272,526892,7.9,1874018,789454,3484,7939,230525,29.2,42.1,1.5,2.3,1.0,2650519.0,407522.0,3058041.0,89644.0,3.3821300658474813,68406346.0,3.8746682946637727,4.470405421157856,86.65019874495538,3.357407778033932,3.873615182138541,5770251,4553236,1435569,1139557,17.2,1079676,16.3,774630,11.7,31.5
46,9.INACTIVE,17202238,220832,1.3,728951,320158,548,2144,112867,35.3,43.9,1.4,3.9,0.7,1433248.0,241800.0,1675048.0,27333.0,1.9070670253856974,26897591.0,5.3285366708118955,6.22750193502459,84.01349021420674,4.476689634492969,5.231941728771419,2571458,2026577,544575,555938,3.2,536821,3.1,327480,1.9,26.9
46,TOTAL,28771678,2620219,9.1,12278128,5549941,65391,284577,1757419,31.7,45.2,2.1,4.4,5.1,20075410.0,700010.0,20775420.0,3747060.0,18.66492390441839,440387577.0,4.558577727545662,4.717530894383063,79.34995651305123,3.617229444421121,3.7433587131827166,32811569,25089332,9211127,4817820,16.7,4520069,15.7,3506253,12.2,36.7
