pickup_location_hex_8,drop_location_hex_8,hex_8_route,orders
883da11abdfffff,883da11a83fffff,883da11abdfffff--883da11a83fffff,"19,606"
883da11a83fffff,883da11abdfffff,883da11a83fffff--883da11abdfffff,"18,048"
883da102c5fffff,883da102c7fffff,883da102c5fffff--883da102c7fffff,"14,864"
883da102c7fffff,883da102c5fffff,883da102c7fffff--883da102c5fffff,"13,069"
883da102e9fffff,883da102e5fffff,883da102e9fffff--883da102e5fffff,"12,359"
883da111a3fffff,883da111a1fffff,883da111a3fffff--883da111a1fffff,"12,316"
883da111a3fffff,883da111abfffff,883da111a3fffff--883da111abfffff,"12,064"
883da11133fffff,883da11133fffff,883da11133fffff--883da11133fffff,"11,903"
883da102e5fffff,883da102e9fffff,883da102e5fffff--883da102e9fffff,"11,534"
883da11887fffff,883da1188bfffff,883da11887fffff--883da1188bfffff,"11,331"
883da102e1fffff,883da102e9fffff,883da102e1fffff--883da102e9fffff,"11,238"
883da102c5fffff,883da102c1fffff,883da102c5fffff--883da102c1fffff,"11,071"
883da11a99fffff,883da11a99fffff,883da11a99fffff--883da11a99fffff,"10,952"
883da102c3fffff,883da102c3fffff,883da102c3fffff--883da102c3fffff,"10,672"
883da1188bfffff,883da11883fffff,883da1188bfffff--883da11883fffff,"10,480"
883da111a3fffff,883da111a9fffff,883da111a3fffff--883da111a9fffff,"9,854"
883da11ab1fffff,883da11a83fffff,883da11ab1fffff--883da11a83fffff,"9,839"
883da111a3fffff,883da111adfffff,883da111a3fffff--883da111adfffff,"9,629"
883da1188bfffff,883da11887fffff,883da1188bfffff--883da11887fffff,"9,622"
883da11a83fffff,883da11ab1fffff,883da11a83fffff--883da11ab1fffff,"9,556"
883da1a93dfffff,883da1a939fffff,883da1a93dfffff--883da1a939fffff,"9,457"
883da102c5fffff,883da102c3fffff,883da102c5fffff--883da102c3fffff,"9,426"
883da11abdfffff,883da11a87fffff,883da11abdfffff--883da11a87fffff,"9,175"
883da1183dfffff,883da1183bfffff,883da1183dfffff--883da1183bfffff,"9,151"
883da11a87fffff,883da11a83fffff,883da11a87fffff--883da11a83fffff,"9,059"
