hex_8,usecase_tag
8860145845fffff,health_and_personal
8860145a2bfffff,transit_station
886189272dfffff,household_needs
8861892015fffff,Unknown
8860145a49fffff,health_and_personal
88601458cbfffff,Unknown
88618920e3fffff,Unknown
88618924a3fffff,educational
8861892e5bfffff,residential
886189255dfffff,govt_amenity
8861892543fffff,residential
8860145921fffff,Unknown
88601696c1fffff,Unknown
88618922a7fffff,Unknown
8861892e55fffff,residential
88618924b9fffff,leisure
886189241dfffff,Unknown
886014586bfffff,leisure
8860145aa5fffff,Unknown
8861892ec7fffff,residential
8860145b15fffff,educational
8860145813fffff,Unknown
8861892e9dfffff,residential
8861892c63fffff,Unknown
8861892569fffff,residential
886189258dfffff,residential
88601459cdfffff,Unknown
8860145ae5fffff,educational
8860145983fffff,Unknown
8861892449fffff,residential
8861892199fffff,residential
8861892459fffff,Unknown
8861892113fffff,Unknown
886189244bfffff,residential
8861892735fffff,residential
8861892597fffff,leisure
886016975bfffff,residential
8861892cd9fffff,residential
8860145a39fffff,office
8861892525fffff,residential
88618921b9fffff,Unknown
8861892589fffff,educational
8861892c3bfffff,residential
88618924dbfffff,residential
8861892027fffff,Unknown
88601696e9fffff,Unknown
8861892e05fffff,residential
886016962bfffff,residential
8861892eadfffff,health_and_personal
886014590bfffff,Unknown
8860145a89fffff,residential
8860145947fffff,residential
8860145167fffff,residential
8861892cb3fffff,residential
8861892555fffff,residential
88618925a9fffff,educational
8860145a53fffff,Unknown
8861892503fffff,Unknown
8861892451fffff,Unknown
886189241bfffff,Unknown
8861892c37fffff,residential
88618921d7fffff,residential
8860145b65fffff,residential
8860169635fffff,Unknown
8861892dc7fffff,residential
8860145163fffff,residential
8860145935fffff,residential
8861892c07fffff,Unknown
88618925a5fffff,residential
886016961dfffff,educational
8861892dc1fffff,residential
8860145967fffff,Unknown
8861892e47fffff,office
88618924c5fffff,residential
8861892c1dfffff,residential
88618920a3fffff,residential
88618924d9fffff,residential
88618920b7fffff,office
8860145107fffff,Unknown
8861892c0dfffff,Unknown
88618926b9fffff,residential
8861892481fffff,educational
8861892f43fffff,Unknown
8860145923fffff,residential
886189248bfffff,household_needs
8861892c11fffff,residential
8860145a51fffff,residential
886189252bfffff,transit_station
886189259dfffff,residential
8861892185fffff,educational
88601458ebfffff,Unknown
88618920c1fffff,residential
8861892595fffff,educational
8860145a33fffff,food
8861892cabfffff,Unknown
8860145b25fffff,residential
8861892d97fffff,Unknown
8861892ea9fffff,educational
8861892e09fffff,office
8861892cddfffff,residential
8860145805fffff,Unknown
8860169445fffff,residential
886014581dfffff,Unknown
8861892631fffff,residential
88618921d9fffff,residential
8861892181fffff,residential
886189245bfffff,Unknown
886189273dfffff,residential
88618925adfffff,residential
8860145b6dfffff,residential
8860145367fffff,Unknown
8861892eedfffff,residential
8861892eb1fffff,residential
8860145b49fffff,leisure
886189251dfffff,Unknown
8861892eebfffff,residential
886014582bfffff,office
88618920a5fffff,residential
8861892ce7fffff,residential
8860145135fffff,Unknown
8860145139fffff,Unknown
8861892cbdfffff,residential
8861892485fffff,residential
8861892465fffff,Unknown
8860145027fffff,Unknown
8861892523fffff,residential
88618921ebfffff,Unknown
8860145aa7fffff,Unknown
8861892583fffff,educational
88618925c1fffff,educational
8860169719fffff,educational
88618925abfffff,residential
88601459c1fffff,Unknown
8860169623fffff,residential
