city,pickup_cluster,pickup_hex_8,usecase_tag,fe_count,requested_orders,net_orders,high_income_%,high_income_thrshld,affluence_hi_tag,fe_bucket,flag_2
Bangalore,Hoskote_BLR,8861893893fffff,,48,2,0,25.0,32.0,Less,0-60,Less fe
Bangalore,Attibele,8861893713fffff,,268,21,2,21.0,32.0,Less,61-450,Less fe
Bangalore,Attibele,88618936a7fffff,,22,2,0,25.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935ebfffff,,57,9,2,45.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618935e9fffff,,1,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935e7fffff,,106,11,0,30.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618935e5fffff,,6,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935e3fffff,,267,57,6,29.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618935e1fffff,,11,3,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Attibele,88618935ddfffff,,53,13,4,8.0,32.0,Less,0-60,Less fe
Bangalore,Attibele,88618935dbfffff,,371,95,35,25.0,32.0,Less,61-450,Less fe
Bangalore,Attibele,88618935d9fffff,,85,17,3,20.0,32.0,Less,61-450,Less fe
Bangalore,Attibele,88618935d7fffff,,328,56,17,18.0,32.0,Less,61-450,Less fe
Bangalore,Attibele,88618935d5fffff,,34,4,0,25.0,32.0,Less,0-60,Less fe
Bangalore,Attibele,88618935d3fffff,,203,45,20,23.0,32.0,Less,61-450,Less fe
Bangalore,Attibele,88618935d1fffff,,199,27,8,25.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618935cdfffff,,10,1,0,25.0,32.0,Less,0-60,Less fe
Bangalore,Attibele,88618935cbfffff,,47,5,0,25.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935c5fffff,,8,2,2,0.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935c1fffff,,25,8,6,0.0,32.0,Less,0-60,Less fe
Bangalore,Huskur,88618935bdfffff,,37,5,1,31.0,32.0,Less,0-60,Less fe
Bangalore,Huskur,88618935bbfffff,,228,53,20,23.0,32.0,Less,61-450,Less fe
Bangalore,Huskur,88618935b9fffff,,161,25,7,19.0,32.0,Less,61-450,Less fe
Bangalore,Huskur,88618935b7fffff,,214,44,15,36.0,32.0,High,61-450,Less fe
Bangalore,Huskur,88618935b5fffff,,292,53,9,20.0,32.0,Less,61-450,Less fe
Bangalore,Huskur,88618935b3fffff,,380,73,33,33.0,32.0,High,61-450,Less fe
Bangalore,Huskur,88618935b1fffff,,43,10,4,31.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935adfffff,,78,16,0,12.0,32.0,Less,61-450,Less fe
Bangalore,Huskur,88618935abfffff,,17,4,0,38.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618935a9fffff,,87,19,1,34.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur,88618935a5fffff,,77,27,1,36.0,32.0,High,61-450,Less fe
Bangalore,Huskur,88618935a3fffff,,10,3,0,17.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618935a1fffff,,40,7,1,20.0,32.0,Less,0-60,Less fe
Bangalore,Huskur,886189359dfffff,,440,81,29,31.0,32.0,Less,61-450,Less fe
