city_name,affluence_tag,pickup_location_hex_8,usecase,residential
Bangalore,Less,8861892e2dfffff,residential,residential
Bangalore,Less,8860145a55fffff,health_and_personal,non-residential
Bangalore,Less,8861892dd9fffff,residential,residential
Bangalore,Less,8861892dd5fffff,residential,residential
Bangalore,Less,8861892eb7fffff,residential,residential
Bangalore,Less,886016966dfffff,residential,residential
Bangalore,Less,8860169669fffff,office,non-residential
Bangalore,Less,8860145a2bfffff,transit_station,non-residential
Bangalore,Less,8861892cd9fffff,residential,residential
Bangalore,Less,8861892e3bfffff,residential,residential
Bangalore,Less,8861892ca3fffff,residential,residential
Bangalore,Less,8861892e93fffff,health_and_personal,non-residential
Bangalore,Less,8861892521fffff,residential,residential
Bangalore,Less,8861892cd7fffff,leisure,non-residential
Bangalore,Less,8860145ad1fffff,residential,residential
Bangalore,Less,8861892c8bfffff,residential,residential
Bangalore,Less,8861892db7fffff,residential,residential
Bangalore,Less,8860145ad9fffff,transit_station,non-residential
Bangalore,Less,8860145b67fffff,leisure,non-residential
Bangalore,Less,886016966bfffff,transit_station,non-residential
Bangalore,Less,8861892ccbfffff,educational,non-residential
Bangalore,Less,8860145b0bfffff,residential,residential
Bangalore,Less,8860145913fffff,residential,residential
Bangalore,Less,8861892cc1fffff,educational,non-residential
Bangalore,Less,8860145b59fffff,educational,non-residential
Bangalore,Less,886189244dfffff,household_needs,non-residential
Bangalore,Less,8860145b51fffff,residential,residential
Bangalore,Less,886014584dfffff,health_and_personal,non-residential
Bangalore,Less,886016960dfffff,leisure,non-residential
Bangalore,Less,8861892c39fffff,residential,residential
Bangalore,Less,8860169663fffff,transit_station,non-residential
Bangalore,Less,88601696d3fffff,leisure,non-residential
Bangalore,Less,8860145951fffff,office,non-residential
Bangalore,Less,8861892e63fffff,residential,residential
Bangalore,Less,88618925a9fffff,residential,residential
Bangalore,Less,8861892c9dfffff,residential,residential
Bangalore,Less,8860145a21fffff,residential,residential
Bangalore,Less,8861892e85fffff,residential,residential
Bangalore,Less,8860145b35fffff,leisure,non-residential
Bangalore,Less,8861892e2bfffff,residential,residential
Bangalore,Less,8861892e8dfffff,residential,residential
Bangalore,Less,886014595dfffff,office,non-residential
Bangalore,Less,8860145a29fffff,residential,residential
Bangalore,Less,886014594bfffff,residential,residential
Bangalore,Less,8860145b55fffff,transit_station,non-residential
Bangalore,Less,8860145943fffff,leisure,non-residential
Bangalore,Less,88618921e3fffff,transit_station,non-residential
Bangalore,Less,8861892c95fffff,leisure,non-residential
Bangalore,Less,88618925e3fffff,residential,residential
Bangalore,Less,8861892407fffff,household_needs,non-residential
Bangalore,Less,8861892db5fffff,residential,residential
Bangalore,Less,8860169601fffff,residential,residential
Bangalore,Less,8861892eb5fffff,educational,non-residential
Bangalore,Less,8861892c0bfffff,residential,residential
Bangalore,Less,88618920e9fffff,educational,non-residential
Bangalore,Less,8861892e21fffff,residential,residential
Bangalore,Less,8861892eb1fffff,residential,residential
