city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,,Dashboard validation,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Friday,afternoon,56,27,3,1204,290,194,247,50,40,29,0.482142857,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Friday,evening_peak,83,46,4,1632,397,304,339,80,61,37,0.554216867,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Friday,morning_peak,137.5,6,16.25,2298,619,280,565.5,153,74,131.5,0.043636364,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Monday,afternoon,58,29,2.5,1239,290,201,247,56,35,29,0.5,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Monday,evening_peak,65,41,3.5,1283,327,247,277,71,50,24,0.630769231,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Monday,morning_peak,145,3.5,17,3025,709,245,767,192.5,60.5,141.5,0.024137931,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Saturday,afternoon,62,34,3,1791,333,239,364,59,42,28,0.548387097,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Saturday,evening_peak,74,39,4.5,2364,342,247,519,72,50,35,0.527027027,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Saturday,morning_peak,83,10,8,1492,333,234,376,85.5,63,73,0.120481928,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Sunday,afternoon,53,30,2.5,1663,267,197,354,54,40,23,0.566037736,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Sunday,evening_peak,60,33,3,1892,314,229,403,62,45,27,0.55,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Sunday,morning_peak,50.5,6,5,1135,181,144,284.5,43,35.5,44.5,0.118811881,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Thursday,afternoon,56,30,2.5,1124,270,198,224,58,42,26,0.535714286,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Thursday,evening_peak,68,46,2.5,1318,375,288,231,73,61,22,0.676470588,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Thursday,morning_peak,119,4.5,13.5,2683,627,223,633,142.5,54,114.5,0.037815126,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Tuesday,afternoon,51,29,1,1074,250,190,215,44,36,22,0.568627451,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Tuesday,evening_peak,71,48,2,1261,339,253,249,71,50,23,0.676056338,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Tuesday,morning_peak,116,5.5,13.5,2363,517,240,624.5,127.5,61.5,110.5,0.047413793,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Wednesday,afternoon,55,29,3,1139,267,200,217,50,39,26,0.527272727,no,,no,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Wednesday,evening_peak,71,128,-6,1485,363,270,303,74,56,-57,1.802816901,yes,,yes,
Chennai,Adambakkam,5bed473f1278885df4ea9d57,Wednesday,morning_peak,126.5,2.5,15,2701,625,276,676,140.5,67,124,0.019762846,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Friday,afternoon,104,67,6,2710,572,390,518,106,75,37,0.644230769,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Friday,evening_peak,179,53,17.5,4072,940,581,845,178,119,126,0.296089385,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Friday,morning_peak,122,40,11,1838,565,375,442,132.5,96,82,0.327868852,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Monday,afternoon,96,53,6,2616,559,363,473,108,75,43,0.552083333,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Monday,evening_peak,148,43,13.5,3248,761,505,671,147,99,105,0.290540541,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Monday,morning_peak,150,31,12.75,2542,685,346,544.5,157.5,87,119,0.206666667,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Saturday,afternoon,107,63,5.5,3340,612,407,644,116,81,44,0.588785047,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Saturday,evening_peak,138,45,11,5339,701,420,1061,137,83,93,0.326086957,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Saturday,morning_peak,111.5,40,7.25,1597,441,344,408.5,109.5,85,71.5,0.358744395,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Sunday,afternoon,69,46,2,2257,387,263,471,76,57,23,0.666666667,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Sunday,evening_peak,96,35,7,2516,482,320,491,97,56,61,0.364583333,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Sunday,morning_peak,68,25,3.75,1178,269,212,275.5,72.5,56.5,43,0.367647059,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Thursday,afternoon,90,58,3.5,2183,482,342,410,98,70,32,0.644444444,no,,no,
Chennai,Adyar,5bed473f1278885df4ea9d57,Thursday,evening_peak,159,45,16.5,3430,833,534,773,169,94,114,0.283018868,no,,no,
