city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,unique_name,dashboard validation,Note
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Friday,afternoon,137,169,-2,4440,779,559,893,159,112,-32,1.233576642,yes,AOC Centre_Friday,yes,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Friday,evening_peak,133,174,-4.5,4076,675,478,828,129,97,-41,1.308270677,yes,AOC Centre_Friday,yes,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Friday,morning_peak,196,138,7.75,6263,845,521,1345,211,131.5,58,0.704081633,no,AOC Centre_Friday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Monday,afternoon,175,171,0.5,5174,873,661,1050,185,142,4,0.977142857,no,AOC Centre_Monday,yes,Change in two week
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Monday,evening_peak,183,189,-2,4864,918,671,1069,186,139,-6,1.032786885,yes,AOC Centre_Monday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Monday,morning_peak,279.5,108,22.5,6699,1280,692,1571,325.5,174.5,171.5,0.386404293,no,AOC Centre_Monday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Saturday,afternoon,157,305,-20.5,5446,774,577,1081,157,118,-148,1.942675159,yes,AOC Centre_Saturday,yes,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Saturday,evening_peak,179,217,-2.5,4821,877,625,1028,182,136,-38,1.212290503,yes,AOC Centre_Saturday,yes,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Saturday,morning_peak,200.5,143,5.75,3690,811,593,952,203,147,57.5,0.713216958,no,AOC Centre_Saturday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Sunday,afternoon,155,186,-0.5,6671,871,588,1419,169,116,-31,1.2,yes,AOC Centre_Sunday,yes,Change in two week
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Sunday,evening_peak,188,135,7.5,8049,1019,523,1744,191,105,53,0.718085106,no,AOC Centre_Sunday,yes,Change in two week
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Sunday,morning_peak,134.5,114,2.5,3982,566,418,969.5,139,104,20.5,0.847583643,no,AOC Centre_Sunday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Thursday,afternoon,124,180,-3.5,5848,682,399,1185,123,77,-56,1.451612903,yes,AOC Centre_Thursday,yes,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Thursday,evening_peak,118,140,-2,4743,629,374,1144,124,81,-22,1.186440678,yes,AOC Centre_Thursday,yes,Change in two week
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Thursday,morning_peak,218,105.5,14.75,12482,1002,443,3191.5,250.5,109.5,112.5,0.483944954,no,AOC Centre_Thursday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Tuesday,afternoon,181,134,5,5768,851,487,1086,166,98,47,0.740331492,no,AOC Centre_Tuesday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Tuesday,evening_peak,169,177,0.5,4489,845,450,970,187,100,-8,1.047337278,yes,AOC Centre_Tuesday,yes,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Tuesday,morning_peak,295,96,23.75,9628,1368,538,2487,348,136,199,0.325423729,no,AOC Centre_Tuesday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Wednesday,afternoon,156,117,5,7413,794,418,1358,163,89,39,0.75,no,AOC Centre_Wednesday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Wednesday,evening_peak,153,130,3.5,5034,781,391,1093,160,88,23,0.849673203,no,AOC Centre_Wednesday,no,
Hyderabad,AOC Centre,574013f14fdf4798208bba26,Wednesday,morning_peak,309,123,26,8414,1331,646,2161,348,161.5,186,0.398058252,no,AOC Centre_Wednesday,no,
Hyderabad,Abids,574013f14fdf4798208bba26,Friday,afternoon,152,55,11,3089,734,508,636,158,109,97,0.361842105,no,Abids_Friday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Friday,evening_peak,140,44,12,3099,658,462,640,134,99,96,0.314285714,no,Abids_Friday,,
