order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-10-01,296693,1728,0.58,1305,285911,6285,1563,551,324,755,1239,246,36,53238.0,152742.0,30548.399999999947
2022-10-02,248258,1623,0.65,1360,239078,5319,1327,445,233,497,1131,171,33,49110.0,151291.0,30258.200000000055
2022-10-03,263123,1673,0.64,1415,253942,5361,1255,436,249,468,1122,154,34,51062.0,131075.0,26214.99999999995
2022-10-04,230194,1519,0.66,1336,221697,4964,1129,403,222,445,1040,116,19,46498.0,112028.0,22405.599999999977
2022-10-05,202819,1320,0.65,1151,194782,4744,1135,378,217,414,860,112,27,43184.0,102900.0,20580.00000000005
2022-10-06,245383,1418,0.58,1163,237296,4708,1149,384,233,451,968,168,27,44680.0,130536.0,26107.200000000103
2022-10-07,253488,1475,0.58,1181,245576,4484,1144,365,235,503,1039,158,34,45484.0,134188.0,26837.60000000001
2022-10-08,268431,1531,0.57,1179,259238,5271,1338,508,264,634,1092,215,45,39334.0,126800.0,25360.000000000087
2022-10-09,238646,1489,0.62,1215,230385,4703,1206,447,203,488,1028,163,29,37361.0,126679.0,25335.80000000003
2022-10-10,264190,1624,0.61,1234,255432,4916,1230,491,251,638,1158,235,33,40985.0,154185.0,30837.000000000044
2022-10-11,253119,1604,0.63,1272,244763,4696,1169,417,277,525,1143,172,38,40791.0,134689.0,26937.79999999997
2022-10-12,251205,1682,0.67,1323,242733,4690,1179,442,281,558,1224,195,17,43304.0,122414.0,24482.800000000094
2022-10-13,250037,1666,0.67,1372,241974,4474,1097,415,212,496,1190,164,26,42687.0,136215.0,27242.99999999999
2022-10-14,259358,1716,0.66,1373,250769,4751,1217,444,244,562,1200,193,30,44681.0,140489.0,28097.79999999999
2022-10-15,305176,1841,0.6,1310,294121,6318,1606,622,386,815,1357,281,47,47217.0,165206.0,33041.199999999946
2022-10-16,255419,1757,0.69,1346,245873,5450,1369,497,264,621,1231,217,27,43670.0,146969.0,29393.800000000192
2022-10-17,258167,1613,0.62,1286,249576,4940,1114,448,245,559,1123,173,34,40748.0,133039.0,26607.80000000016
2022-10-18,279370,1707,0.61,1349,270555,5034,1199,450,254,531,1237,215,28,43339.0,138025.0,27605.000000000164
2022-10-19,288951,1783,0.62,1398,279403,5420,1328,479,319,607,1265,208,31,45192.0,139802.0,27960.400000000143
2022-10-20,274716,1804,0.66,1413,265309,5272,1318,481,286,640,1278,239,25,46732.0,133036.0,26607.200000000197
2022-10-21,272872,1826,0.67,1331,263131,5510,1400,525,287,692,1327,297,36,46361.0,159983.0,31996.600000000188
2022-10-22,250931,1760,0.7,1363,241852,5123,1262,441,275,616,1299,258,36,45158.0,156364.0,31272.800000000174
2022-10-23,190326,1485,0.78,1311,183524,3769,905,312,162,345,1052,80,27,37128.0,112991.0,22598.20000000006
2022-10-24,143971,1119,0.78,1009,138835,2835,650,252,121,272,784,56,11,27457.0,85711.0,17142.19999999998
2022-10-25,153990,1088,0.71,950,149110,2729,588,230,115,269,791,78,19,28401.0,86108.0,17221.6
2022-10-26,211812,1505,0.71,1318,205081,3619,869,313,197,418,1072,99,30,38172.0,118998.0,23799.600000000133
2022-10-27,241225,1626,0.67,1414,233884,4082,907,333,194,412,1151,127,23,41050.0,124316.0,24863.200000000095
2022-10-28,240590,1599,0.66,1387,233233,4037,988,338,193,417,1175,115,23,39509.0,117193.0,23438.600000000133
2022-10-29,234006,1678,0.72,1399,226154,4334,1063,389,223,445,1231,138,31,41933.0,131409.0,26281.800000000054
2022-10-30,210129,1740,0.83,1515,202772,4016,891,316,185,436,1293,118,27,42685.0,135094.0,27018.800000000087
2022-10-31,245436,1846,0.75,1525,237593,4256,973,355,236,499,1347,163,36,45764.0,155700.0,31140.000000000182
2022-11-01,237806,2023,0.85,1662,229585,4273,1097,425,241,525,1496,182,25,51284.0,164828.0,32965.60000000037
2022-11-02,244089,1921,0.79,1555,236096,4245,1070,373,213,539,1431,189,33,46815.0,159087.0,31817.400000000216
2022-11-03,248445,2034,0.82,1658,240035,4482,1102,425,234,510,1549,214,33,50491.0,154237.0,30847.400000000212
2022-11-04,252378,2100,0.83,1735,244068,4371,1062,399,235,510,1589,198,27,51349.0,148240.0,29648.00000000015
2022-11-05,271581,2160,0.8,1659,261919,5233,1282,492,300,699,1638,267,31,53697.0,171477.0,34295.4000000001
2022-11-06,239576,2092,0.87,1717,230693,4823,1127,389,255,573,1562,181,37,51059.0,156425.0,31285.000000000233
2022-11-07,255149,2052,0.8,1658,246577,4580,1114,441,234,546,1526,209,30,51232.0,153907.0,30781.400000000118
2022-11-08,228218,1776,0.78,1549,220880,3882,922,367,213,407,1314,117,32,45177.0,136216.0,27243.200000000033
2022-11-09,250071,2052,0.82,1682,241748,4410,1028,395,228,580,1582,162,26,50802.0,149283.0,29856.600000000188
2022-11-10,247389,2111,0.85,1724,239196,4280,1047,374,233,535,1607,189,23,51987.0,148246.0,29649.20000000022
2022-11-11,255674,2200,0.86,1846,246752,4668,1159,434,251,564,1659,191,40,55003.0,178597.0,35719.40000000034
2022-11-12,268354,2417,0.9,1857,258175,5363,1323,539,316,784,1882,289,30,60834.0,176119.0,35223.800000000345
2022-11-13,232153,2251,0.97,1844,223117,4716,1161,435,270,612,1701,228,31,54308.0,161232.0,32246.400000000263
2022-11-14,256671,2335,0.91,1837,247756,4609,1161,425,256,628,1786,253,24,57819.0,180125.0,36025.00000000035
2022-11-15,242668,2002,0.82,1632,235081,3905,953,370,204,525,1533,172,31,48273.0,162701.0,32540.200000000117
2022-11-16,246485,2139,0.87,1823,238657,3929,935,404,232,506,1625,164,29,51571.0,169227.0,33845.40000000025
2022-11-17,246308,2578,1.05,2219,238179,3876,935,381,218,501,1826,161,30,63615.0,181847.0,36369.40000000038
2022-11-18,249609,2816,1.13,2377,240839,4162,999,451,240,544,1976,179,25,71107.0,187552.0,37510.40000000049
2022-11-19,268457,2454,0.91,1968,259150,4699,1198,479,281,684,1904,216,34,60060.0,190229.0,38045.800000000185
2022-11-20,235853,2305,0.98,1924,227325,4378,1033,407,253,534,1761,189,26,54661.0,182001.0,36400.20000000011
2022-11-21,251401,2297,0.91,1955,243304,4093,985,367,216,482,1780,190,29,55742.0,171465.0,34293.000000000204
2022-11-22,239938,2106,0.88,1857,232308,3933,861,343,195,441,1546,117,19,51216.0,138927.0,27785.40000000015
