order_month,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
01/10/22,7582031,49845,0.66,40503,7323582,146110,35568,12907,7387,16028,35447,5324,919,1322915,4096175,819235
01/11/22,7471081,67496,0.9,56460,7211534,134574,32102,12460,7259,16734,50721,5525,837,1652699,4842858,968571.6
01/12/22,8095498,72991,0.9,65746,7803998,149788,36586,13526,7923,17988,52247,3546,805,1666493,4731809,946361.8
01/01/23,7852148,48920,0.62,45152,6955201,748584,65957,14577,7540,15191,31774,2293,518,1162809,2827848,565569.6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
order_month,Total_orders,total_spd_orders,service,,,,,,,,,,,,,
01/10/22,7582031,49845,auto,49845,0.66%,,,,,,,,,,,
01/11/22,7471081,67496,auto,67496,0.90%,,,,,,,,,,,
01/12/22,8095498,72991,auto,72991,0.90%,,,,,,,,,,,
01/01/23,7852148,48920,auto,48920,0.62%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
order_month,Total_orders,distance<200m_orders,service,,,,,,,,,,,,,
01/10/22,7582031,40503,auto,40503,0.53%,,,,,,,,,,,
01/11/22,7471081,56460,auto,56460,0.76%,,,,,,,,,,,
01/12/22,8095498,65746,auto,65746,0.81%,,,,,,,,,,,
01/01/23,7852148,45152,auto,45152,0.58%,,,,,,,,,,,
