order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-10-01,546199,9955,1.82,6784,506214,17317,5528,3055,2219,5096,7641,2310,41,120119.0,297623.0,59524.60000000117
2022-10-02,391003,8250,2.11,6316,360740,12846,3875,2104,1506,3628,6054,1402,36,99368.0,230583.0,46116.60000000151
2022-10-03,515374,9400,1.82,7092,480798,14834,4509,2336,1801,4014,7056,1691,60,115306.0,291536.0,58307.2000000009
2022-10-04,473518,8763,1.85,6539,441755,13361,4079,2243,1646,3904,6532,1604,42,107586.0,251868.0,50373.60000000148
2022-10-05,347316,7095,2.04,5273,321325,11203,3369,1743,1286,3124,5317,1312,35,86972.5,209466.0,41893.2000000012
2022-10-06,468494,8430,1.8,6142,438195,13079,3963,2110,1659,3355,6428,1697,42,104032.5,252939.0,50587.80000000077
2022-10-07,509394,8848,1.74,6419,477366,13524,4216,2257,1694,3922,6773,1708,56,109650.5,264279.0,52855.80000000144
2022-10-08,415567,7604,1.83,5117,386401,11998,4065,2360,1630,4000,5809,1749,55,91334.0,237505.0,47501.00000000077
2022-10-09,351197,7212,2.05,5164,324801,10701,3498,1907,1603,3541,5508,1389,51,85251.0,217058.0,43411.60000000113
2022-10-10,513461,9305,1.81,6167,479461,14217,4752,2640,1982,4248,7213,2229,67,112044.0,292942.0,58588.40000000105
2022-10-11,537570,9526,1.77,6663,503112,14530,4434,2515,1906,4421,7343,1971,37,114987.5,284859.0,56971.800000001684
2022-10-12,560323,9690,1.73,6748,524642,15215,4715,2632,2033,4349,7432,2024,38,119016.0,290713.0,58142.60000000128
2022-10-13,551488,9633,1.75,7003,516486,14525,4489,2526,1938,4529,7368,1845,58,116432.0,293121.0,58624.20000000113
2022-10-14,556825,9734,1.75,6859,520483,15096,4856,2646,2172,4719,7425,2004,55,118213.0,299147.0,59829.40000000118
2022-10-15,559800,9966,1.78,6330,520299,16539,5544,3118,2488,5487,7895,2432,72,120283.0,299607.0,59921.4000000013
2022-10-16,434562,8942,2.06,6228,401513,13426,4364,2443,2035,4562,6847,1765,68,107938.5,266136.0,53227.200000001605
2022-10-17,579498,10486,1.81,7336,542025,15425,4886,2675,2198,4964,8133,2179,58,127224.5,294922.0,58984.40000000101
2022-10-18,556911,9827,1.76,6928,521458,14974,4613,2523,2009,4419,7555,1985,64,119436.5,288347.0,57669.40000000142
2022-10-19,573182,10008,1.75,6992,536106,15505,4873,2791,2139,4782,7756,2028,66,121691.0,298699.0,59739.80000000151
2022-10-20,569586,10283,1.81,7109,531992,15557,4867,2851,2215,5000,7920,2231,94,125456.0,310751.0,62150.20000000136
2022-10-21,573253,10398,1.81,6723,533050,16711,5527,3211,2478,5571,8234,2611,78,126095.5,315887.0,63177.40000000132
2022-10-22,513729,9965,1.94,6927,474782,16073,5241,2914,2394,5410,7588,2170,81,121607.5,315142.0,63028.40000000196
2022-10-23,329069,7407,2.25,5864,302493,10398,3367,1920,1497,3541,5330,995,60,89556.0,213701.0,42740.20000000168
2022-10-24,226049,5147,2.28,4053,208557,6851,2199,1217,995,2188,3706,713,29,62123.0,154671.0,30934.2000000009
2022-10-25,285980,5769,2.02,4525,265648,8027,2515,1473,1103,2694,4273,839,30,69670.0,180387.0,36077.400000001035
2022-10-26,400483,7695,1.92,5858,372897,11028,3462,2039,1562,3644,5768,1246,56,91815.5,238885.0,47777.00000000125
2022-10-27,454892,8321,1.83,6267,424894,11976,3834,2204,1762,3964,6315,1366,62,100666.0,237805.0,47561.00000000184
2022-10-28,485299,8885,1.83,6648,453584,12806,3921,2379,1798,4167,6728,1455,71,107050.0,260679.0,52135.80000000188
2022-10-29,460712,8660,1.88,6373,429157,12708,4037,2312,1795,4338,6559,1530,74,104114.0,257188.0,51437.60000000177
2022-10-30,344468,7458,2.17,5715,318801,9954,3208,1825,1419,3553,5653,1111,53,89070.5,207320.0,41464.0000000015
2022-10-31,498482,9354,1.88,6728,466350,12985,3962,2374,1826,4265,7224,1746,54,112687.5,274063.0,54812.600000001185
2022-11-01,467719,8941,1.91,6424,437190,12312,4041,2194,1776,3790,6863,1724,38,107355.0,262380.0,52476.00000000179
2022-11-02,507298,9409,1.85,6813,475057,12934,4136,2375,1831,4162,7376,1715,55,113605.0,272882.0,54576.400000001726
2022-11-03,515951,9561,1.85,7036,482520,13485,4258,2463,1907,4292,7377,1726,55,114716.5,275293.0,55058.60000000207
2022-11-04,543427,9849,1.81,7210,507847,14373,4612,2619,2079,4694,7549,1783,47,118475.0,271190.0,54238.00000000176
2022-11-05,544012,10628,1.95,7491,505702,15258,5047,2963,2323,5239,8274,2054,62,127231.5,295646.0,59129.20000000186
2022-11-06,405041,8949,2.21,6561,373691,12201,3987,2285,1858,4466,6815,1579,65,106961.0,262990.0,52598.0000000018
2022-11-07,572534,10663,1.86,7783,534715,15227,4882,2831,2198,4902,8260,1950,70,128849.0,303310.0,60662.00000000212
2022-11-08,496910,9355,1.88,7261,464709,13100,3910,2263,1672,4005,7072,1429,66,112439.0,268794.0,53758.80000000158
2022-11-09,586789,10659,1.82,7719,548984,15370,4862,2749,2202,4917,8290,1958,53,128966.0,300658.0,60131.600000001985
2022-11-10,559804,10323,1.84,7546,523456,14427,4676,2731,2179,4794,7998,1837,52,124592.5,300750.0,60150.00000000223
2022-11-11,554629,10379,1.87,7478,518335,14754,4661,2565,2145,4700,8007,1939,59,125024.0,289471.0,57894.20000000232
2022-11-12,511395,10156,1.99,6998,474037,14796,4998,2888,2392,5294,7866,2084,80,120361.0,310757.0,62151.400000000736
2022-11-13,407598,9084,2.23,6640,375593,12384,3998,2418,1984,4592,6952,1558,65,109425.0,253562.0,50712.40000000098
2022-11-14,581837,10894,1.87,7578,543238,15336,5036,2901,2366,5389,8517,2205,60,131133.0,322097.0,64419.400000002344
