order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-10-01,842892,11683,1.39,8089,792125,23602,7091,3606,2543,5851,8880,2556,77,173357.0,450365.0,90072.99999999964
2022-10-02,639261,9873,1.54,7676,599818,18165,5202,2549,1739,4125,7185,1573,69,148478.0,381874.0,76374.8000000006
2022-10-03,778497,11073,1.42,8507,734740,20195,5764,2772,2050,4482,8178,1845,94,166368.0,422611.0,84522.19999999883
2022-10-04,703712,10282,1.46,7875,663452,18325,5208,2646,1868,4349,7572,1720,61,154084.0,363896.0,72779.20000000068
2022-10-05,550135,8415,1.53,6424,516107,15947,4504,2121,1503,3538,6177,1424,62,130156.5,312366.0,62473.20000000097
2022-10-06,713877,9848,1.38,7305,675491,17787,5112,2494,1892,3806,7396,1865,69,148712.5,383475.0,76694.99999999993
2022-10-07,762882,10323,1.35,7600,722942,18008,5360,2622,1929,4425,7812,1866,90,155134.5,398467.0,79693.40000000014
2022-10-08,683998,9135,1.34,6296,645639,17269,5403,2868,1894,4634,6901,1964,100,130668.0,364305.0,72861.00000000016
2022-10-09,589843,8701,1.48,6379,555186,15404,4704,2354,1806,4029,6536,1552,80,122612.0,343737.0,68747.40000000146
2022-10-10,777651,10929,1.41,7401,734893,19133,5982,3131,2233,4886,8371,2464,100,153029.0,447127.0,89425.39999999855
2022-10-11,790689,11130,1.41,7935,747875,19226,5603,2932,2183,4946,8486,2143,75,155778.5,419548.0,83909.60000000044
2022-10-12,811528,11372,1.4,8071,767375,19905,5894,3074,2314,4907,8656,2219,55,162320.0,413127.0,82625.3999999987
2022-10-13,801525,11299,1.41,8375,758460,18999,5586,2941,2150,5025,8558,2009,84,159119.0,429336.0,85867.19999999851
2022-10-14,816183,11450,1.4,8232,771252,19847,6073,3090,2416,5281,8625,2197,85,162894.0,439636.0,87927.20000000036
