order_month,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
01/10/22,22165715,321861,1.45,235393,20908967,559499,166336,86250,64175,145427,242830,58661,2662,4619712,12224004,2444800.8
01/11/22,23599480,368076,1.56,280748,22256635,570570,169405,91355,70264,160832,278917,57167,2683,5276560.5,13421082,2684216.4
01/12/22,25307786,380490,1.5,309684,23835452,632470,184677,97046,74374,174455,275546,48816,2991,5327001.5,13601402,2720280.4
01/01/23,23964426,353247,1.47,288387,21869946,1275992,210415,93265,68916,157920,255597,46389,2759,4790606,11920763,2384152.6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
order_month,Total_orders,total_spd_orders,service,,,,,,,,,,,,,
01/10/22,22165715,321861,taxi,321861,1.45%,,,,,,,,,,,
01/11/22,23599480,368076,taxi,368076,1.56%,,,,,,,,,,,
01/12/22,25307786,380490,taxi,380490,1.50%,,,,,,,,,,,
01/01/23,23964426,353247,taxi,353247,1.47%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
order_month,Total_orders,distance<200m_orders,service,,,,,,,,,,,,,
01/10/22,22165715,235393,taxi,235393,1.06%,,,,,,,,,,,
01/11/22,23599480,280748,taxi,280748,1.19%,,,,,,,,,,,
01/12/22,25307786,309684,taxi,309684,1.22%,,,,,,,,,,,
01/01/23,23964426,288387,taxi,288387,1.20%,,,,,,,,,,,
