order_week,segment,total_orders,total_partial_orders,partial_orders_%,expected_commission,short_partial_orders,long_partial_orders,short_partial_%,long_partial_%,actual_fare,estimated_fare,uniq_captain,partial_uniq_captain,uniq_customer,partial_uniq_customer
2022-08-22,0. New,76457,2153,5.78,29299.00000000007,1165,988,6.55,5.08,65172.0,146495.0,11681,1778,52027,2046
2022-08-22,1. UHP Daily,164649,2608,7.0,38423.599999999715,1941,667,10.91,3.43,95375.0,192118.0,1962,1224,120087,2447
2022-08-22,2. UHP Intra/Inter,28637,490,1.32,7037.6,376,114,2.11,0.59,14496.5,35188.0,552,256,23413,475
2022-08-22,3. HP Daily,356227,6396,17.17,113192.19999999864,3536,2860,19.88,14.69,235161.0,565961.0,8021,3879,273284,6234
2022-08-22,4. HP Intra/Inter,75854,1446,3.88,24410.6000000001,878,568,4.94,2.92,48818.5,122053.0,2911,974,69254,1421
2022-08-22,5. MP Daily,529518,10854,29.13,190578.59999999896,5054,5800,28.41,29.8,373362.5,952893.0,30406,8149,413924,10686
2022-08-22,6. MP Intra/Inter,216871,4602,12.35,79978.99999999985,2058,2544,11.57,13.07,151110.0,399895.0,22084,3709,193180,4563
2022-08-22,7. LP Daily,123402,2847,7.64,55141.40000000004,882,1965,4.96,10.09,102442.0,275707.0,15389,2342,111865,2823
2022-08-22,8. LP Intra/Inter,237062,5860,15.73,106753.99999999994,1900,3960,10.68,20.34,188495.5,533770.0,66722,5068,205536,5807
2022-08-15,0. New,79412,2159,5.87,30725.400000000063,1163,996,6.81,5.06,65500.0,153627.0,11356,1763,55087,2041
2022-08-15,1. UHP Daily,154900,2573,7.0,38081.999999999774,1906,667,11.16,3.39,93024.0,190410.0,1900,1229,116622,2451
2022-08-15,2. UHP Intra/Inter,24996,451,1.23,6662.199999999998,356,95,2.09,0.48,14170.5,33311.0,516,235,20194,436
2022-08-15,3. HP Daily,355088,6417,17.46,119089.2000000002,3521,2896,20.62,14.72,228743.0,595446.0,8048,3894,279877,6279
2022-08-15,4. HP Intra/Inter,76112,1393,3.79,25976.800000000014,776,617,4.54,3.14,46417.5,129884.0,2868,975,70276,1382
2022-08-15,5. MP Daily,539344,10834,29.48,195609.79999999976,4844,5990,28.37,30.44,370050.5,978049.0,30616,8159,430180,10703
2022-08-15,6. MP Intra/Inter,218795,4616,12.56,83833.4000000001,2011,2605,11.78,13.24,152083.5,419167.0,21854,3678,196820,4586
2022-08-15,7. LP Daily,120754,2724,7.41,54059.99999999999,842,1882,4.93,9.56,98692.5,270300.0,15204,2278,110999,2698
2022-08-15,8. LP Intra/Inter,217609,5587,15.2,107372.80000000009,1655,3932,9.69,19.98,180649.5,536864.0,61975,4802,192631,5532
2022-08-08,0. New,78904,2342,5.95,32249.400000000027,1266,1076,7.07,5.02,72128.5,161247.0,10820,1884,55701,2215
2022-08-08,1. UHP Daily,168879,3009,7.64,42188.79999999995,2268,741,12.66,3.46,105572.5,210944.0,1926,1317,125909,2845
2022-08-08,2. UHP Intra/Inter,27725,498,1.27,6990.799999999994,366,132,2.04,0.62,15297.5,34954.0,535,261,23946,489
2022-08-08,3. HP Daily,385008,6998,17.78,126039.399999999,3763,3235,21.0,15.08,250685.5,630197.0,8207,4150,302763,6835
2022-08-08,4. HP Intra/Inter,85536,1581,4.02,27832.800000000043,865,716,4.83,3.34,50374.0,139164.0,2880,1078,79419,1563
2022-08-08,5. MP Daily,577160,11775,29.91,211829.7999999994,4948,6827,27.62,31.83,400478.5,1059149.0,31675,8833,463341,11600
2022-08-08,6. MP Intra/Inter,224455,4711,11.97,84964.79999999996,2022,2689,11.29,12.54,154054.5,424824.0,21194,3852,203850,4663
2022-08-08,7. LP Daily,130682,2901,7.37,57733.00000000005,838,2063,4.68,9.62,103865.5,288665.0,16022,2435,120278,2882
2022-08-08,8. LP Intra/Inter,215270,5549,14.1,108037.00000000013,1581,3968,8.82,18.5,186106.5,540185.0,60186,4889,192466,5502
2022-08-01,0. New,74062,2328,5.51,31404.000000000033,1293,1035,6.15,4.88,72081.5,157020.0,10938,1878,50480,2191
2022-08-01,1. UHP Daily,172025,3254,7.7,43688.99999999986,2497,757,11.87,3.57,113473.5,218445.0,1872,1316,126835,2961
2022-08-01,2. UHP Intra/Inter,28412,589,1.39,7991.200000000003,445,144,2.12,0.68,17463.5,39956.0,525,277,23968,560
2022-08-01,3. HP Daily,404615,7517,17.79,128195.19999999901,4487,3030,21.33,14.28,267477.5,640976.0,7964,4364,312938,7288
2022-08-01,4. HP Intra/Inter,89845,1725,4.08,29947.200000000073,990,735,4.71,3.46,55747.0,149736.0,2933,1164,82678,1697
2022-08-01,5. MP Daily,612977,12762,30.2,220322.00000000015,6005,6757,28.54,31.85,428743.5,1101610.0,32211,9528,480831,12491
