order_week,segment,total_orders,total_spd_orders,spd_orders_%,expected_commission,short_spd_orders,long_spd_orders,short_spd_%,long_spd_%,actual_fare,estimated_fare,uniq_captain,spd_uniq_captain,uniq_customer,spd_uniq_customer
2022-08-22,0. New,512641,10634,17.47,63742.00000000095,6972,3662,21.01,13.23,125432.5,318710.0,41488,9968,272234,9968
2022-08-22,1. UHP Daily,371293,2642,4.34,17174.000000000033,1544,1098,4.65,3.97,33597.0,85870.0,5013,2594,289056,2594
2022-08-22,2. UHP Intra/Inter,11844,103,0.17,665.5999999999997,76,27,0.23,0.1,1263.5,3328.0,536,103,11149,103
2022-08-22,3. HP Daily,771005,8187,13.45,44528.60000000055,4392,3795,13.24,13.71,102732.5,222643.0,18583,8015,557639,8015
2022-08-22,4. HP Intra/Inter,57544,641,1.05,3155.6000000000054,365,276,1.1,1.0,7823.5,15778.0,3978,634,55163,634
2022-08-22,5. MP Daily,1284826,20758,34.11,111919.6000000007,10524,10234,31.72,36.98,268716.0,559598.0,72243,20269,819013,20269
2022-08-22,6. MP Intra/Inter,187681,3248,5.34,17986.999999999913,1929,1319,5.81,4.77,42307.0,89935.0,27540,3206,170913,3206
2022-08-22,7. LP Daily,342621,11502,18.9,66703.40000000052,5472,6030,16.49,21.79,140527.0,333517.0,44908,11276,283036,11276
2022-08-22,8. LP Intra/Inter,112655,3140,5.16,17320.59999999994,1903,1237,5.74,4.47,39947.5,86603.0,38432,3045,105358,3045
2022-08-15,0. New,492898,9905,17.54,57006.400000001515,6483,3422,21.69,12.88,117857.5,285032.0,38366,9357,272641,9357
2022-08-15,1. UHP Daily,355369,2536,4.49,14193.799999999936,1462,1074,4.89,4.04,32253.5,70969.0,5057,2502,283600,2502
2022-08-15,2. UHP Intra/Inter,14010,130,0.23,645.5999999999996,91,39,0.3,0.15,1640.0,3228.0,644,129,12982,129
2022-08-15,3. HP Daily,729482,7652,13.55,41097.20000000032,3941,3711,13.18,13.97,96041.5,205486.0,18318,7520,545140,7520
2022-08-15,4. HP Intra/Inter,59702,700,1.24,3521.800000000003,377,323,1.26,1.22,8613.5,17609.0,4060,695,57327,695
2022-08-15,5. MP Daily,1161425,19352,34.27,107692.40000000034,9460,9892,31.65,37.23,249190.0,538462.0,65491,19000,781505,19000
2022-08-15,6. MP Intra/Inter,183447,3282,5.81,16785.5999999999,1877,1405,6.28,5.29,42470.0,83928.0,26131,3247,168682,3247
2022-08-15,7. LP Daily,308120,10135,17.95,58085.80000000046,4603,5532,15.4,20.82,123459.0,290429.0,40643,9964,258639,9964
2022-08-15,8. LP Intra/Inter,101296,2771,4.91,14899.599999999937,1600,1171,5.35,4.41,35014.5,74498.0,34039,2720,95370,2720
2022-08-08,0. New,496932,10314,19.15,59742.000000001135,6677,3637,23.94,14.01,124711.5,298710.0,38856,9682,285731,9682
2022-08-08,1. UHP Daily,374800,2757,5.12,14863.399999999932,1532,1225,5.49,4.72,35716.0,74317.0,5258,2732,296841,2732
2022-08-08,2. UHP Intra/Inter,16134,161,0.3,774.2000000000004,104,57,0.37,0.22,1958.0,3871.0,669,155,15279,155
2022-08-08,3. HP Daily,685911,7376,13.7,40755.400000000205,3599,3777,12.9,14.55,92858.0,203777.0,17368,7269,522922,7269
2022-08-08,4. HP Intra/Inter,64142,773,1.44,3930.4000000000033,453,320,1.62,1.23,9519.0,19652.0,3884,772,61647,772
2022-08-08,5. MP Daily,1056359,17744,32.95,98043.20000000006,8363,9381,29.99,36.14,228095.5,490216.0,60514,17418,732900,17418
2022-08-08,6. MP Intra/Inter,177137,3017,5.6,16305.199999999939,1644,1373,5.89,5.29,39307.0,81526.0,22646,2980,163163,2980
2022-08-08,7. LP Daily,288196,8984,16.68,54883.6000000003,3902,5082,13.99,19.58,109569.0,274418.0,37396,8826,241385,8826
2022-08-08,8. LP Intra/Inter,98763,2722,5.05,15485.599999999946,1615,1107,5.79,4.26,34325.0,77428.0,29475,2652,93125,2652
2022-08-01,0. New,498162,9785,17.86,53450.80000000163,6365,3420,21.46,13.6,117284.5,267254.0,38050,9214,263871,9214
2022-08-01,1. UHP Daily,379445,2837,5.18,16272.799999999968,1567,1270,5.28,5.05,36471.5,81364.0,5223,2795,291485,2795
2022-08-01,2. UHP Intra/Inter,13577,153,0.28,745.5999999999996,113,40,0.38,0.16,1757.5,3728.0,583,148,11925,148
2022-08-01,3. HP Daily,740556,7935,14.48,43977.800000000374,4250,3685,14.33,14.66,99293.5,219889.0,18126,7791,541658,7791
2022-08-01,4. HP Intra/Inter,52433,624,1.14,3120.6000000000054,389,235,1.31,0.93,7586.5,15603.0,3515,620,50513,620
2022-08-01,5. MP Daily,1179806,18932,34.55,100248.40000000015,9487,9445,31.99,37.57,242576.5,501242.0,66219,18478,766103,18478
2022-08-01,6. MP Intra/Inter,165598,2749,5.02,14357.399999999907,1558,1191,5.25,4.74,35361.0,71787.0,23804,2714,152476,2714
2022-08-01,7. LP Daily,316872,9205,16.8,53035.20000000045,4383,4822,14.78,19.18,110855.5,265176.0,41126,9055,260245,9055
2022-08-01,8. LP Intra/Inter,99191,2574,4.7,14276.999999999925,1543,1031,5.2,4.1,32874.0,71385.0,33304,2509,93168,2509
2022-10-24,0. New,945,887,1.71,4933.000000000006,562,325,2.23,1.22,10616.5,24665.0,741,819,876,819
